Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 6742.0; 10739.0; 5019.0; 1043.0; 0.0; 23543.0; 22800.0; 3224.0; 35540.0; 5030.0; 70918.0; 94461.0; 25653.0; 36136.0; 8813.0; 49673.0; 75326.0; 23.0; 68872.0; -14743.0; 0.0; 19135.0; 94461.0
2022-06-30; 5692.0; 10498.0; 5287.0; 1156.0; 0.0; 22633.0; 22694.0; 3519.0; 35638.0; 4274.0; 70470.0; 93103.0; 27223.0; 33247.0; 9121.0; 47206.0; 74429.0; 23.0; 67763.0; -14416.0; 0.0; 18674.0; 93103.0
2022-03-31; 6904.0; 9424.0; 4762.0; 1252.0; 0.0; 22342.0; 22017.0; 3595.0; 36212.0; 4495.0; 70620.0; 92962.0; 25824.0; 34590.0; 9156.0; 48818.0; 74642.0; 23.0; 67934.0; -15343.0; 0.0; 18320.0; 92962.0
2021-12-31; 5988.0; 8680.0; 4347.0; 980.0; 1788.0; 21783.0; 22407.0; 2350.0; 37046.0; 4481.0; 70594.0; 92377.0; 26220.0; 36026.0; 9154.0; 50006.0; 76226.0; 23.0; 65165.0; -14898.0; 0.0; 16151.0; 92377.0
2021-09-30; 6850.0; 9545.0; 4364.0; 1058.0; 1893.0; 23710.0; 21257.0; 2791.0; 37406.0; 3733.0; 69544.0; 93254.0; 25077.0; 37023.0; 10635.0; 52187.0; 77264.0; 23.0; 65336.0; -15125.0; 0.0; 15990.0; 93254.0
2021-06-30; 5777.0; 9722.0; 5006.0; 1092.0; 0.0; 21597.0; 21619.0; 2774.0; 38317.0; 3708.0; 70788.0; 92385.0; 23623.0; 38034.0; 10705.0; 53364.0; 76987.0; 23.0; 64605.0; -14859.0; 0.0; 15398.0; 92385.0
2021-03-31; 6625.0; 8885.0; 4556.0; 1130.0; 0.0; 21196.0; 21249.0; 2777.0; 38110.0; 3522.0; 70028.0; 91224.0; 22693.0; 38991.0; 10996.0; 54478.0; 77171.0; 23.0; 63740.0; -15246.0; 0.0; 14053.0; 91224.0
2020-12-31; 9551.0; 8404.0; 4172.0; 874.0; 0.0; 23001.0; 21369.0; 2792.0; 38072.0; 3312.0; 69917.0; 92918.0; 23372.0; 40370.0; 11340.0; 55994.0; 79366.0; 23.0; 63443.0; -15476.0; 0.0; 13552.0; 92918.0
2020-09-30; 9705.0; 9295.0; 4135.0; 925.0; 0.0; 24060.0; 19726.0; 2752.0; 37789.0; 3357.0; 67981.0; 92041.0; 26009.0; 37879.0; 10341.0; 52437.0; 78446.0; 23.0; 63013.0; -15357.0; 0.0; 13595.0; 92041.0
2020-06-30; 9123.0; 8780.0; 4314.0; 972.0; 0.0; 23189.0; 19187.0; 2715.0; 36840.0; 3243.0; 66336.0; 89525.0; 23827.0; 38371.0; 10537.0; 53111.0; 76938.0; 23.0; 62145.0; -15778.0; 0.0; 12587.0; 89525.0
2020-03-31; 11247.0; 8477.0; 3600.0; 944.0; 0.0; 24268.0; 18980.0; 2719.0; 31444.0; 3294.0; 60794.0; 85062.0; 22078.0; 35361.0; 10004.0; 49425.0; 71503.0; 23.0; 61920.0; -15057.0; 0.0; 13559.0; 85062.0
2019-12-31; 5738.0; 7822.0; 3338.0; 747.0; 0.0; 17645.0; 19305.0; 2683.0; 31544.0; 3011.0; 60902.0; 78547.0; 20461.0; 29148.0; 9979.0; 43218.0; 63679.0; 23.0; 61946.0; -14300.0; 0.0; 14868.0; 78547.0
2019-09-30; 5908.0; 8735.0; 3667.0; 888.0; 0.0; 19198.0; 17586.0; 2690.0; 31150.0; 2480.0; 58246.0; 77444.0; 20131.0; 29630.0; 9816.0; 43089.0; 63220.0; 23.0; 61514.0; -15126.0; 0.0; 14224.0; 77444.0
2019-06-30; 3734.0; 8502.0; 3988.0; 988.0; 0.0; 17212.0; 17442.0; 2510.0; 31213.0; 2354.0; 57872.0; 75084.0; 19928.0; 27712.0; 9749.0; 41119.0; 61047.0; 23.0; 60752.0; -14984.0; 0.0; 14037.0; 75084.0
2019-03-31; 5551.0; 7604.0; 3554.0; 1208.0; 0.0; 17917.0; 17550.0; 2476.0; 30920.0; 2242.0; 57549.0; 75466.0; 19090.0; 28458.0; 10003.0; 42080.0; 61170.0; 23.0; 60060.0; -14656.0; 0.0; 14296.0; 75466.0
2018-12-31; 10990.0; 7142.0; 3128.0; 633.0; 0.0; 21893.0; 17589.0; 2409.0; 30633.0; 760.0; 55755.0; 77648.0; 22138.0; 28295.0; 9114.0; 40908.0; 63046.0; 23.0; 59947.0; -15119.0; 0.0; 14602.0; 77648.0
2018-09-30; 13898.0; 7975.0; 3142.0; 827.0; 0.0; 25842.0; 16541.0; 2394.0; 27798.0; 1057.0; 47790.0; 73632.0; 19704.0; 30643.0; 9538.0; 43539.0; 63243.0; 24.0; 54404.0; -14253.0; 0.0; 10389.0; 73632.0
2018-06-30; 18129.0; 7841.0; 3491.0; 909.0; 0.0; 30370.0; 16762.0; 2401.0; 28221.0; 977.0; 48361.0; 78731.0; 24558.0; 30638.0; 9968.0; 43952.0; 68510.0; 24.0; 53223.0; -13580.0; 0.0; 10221.0; 78731.0
2018-03-31; 20610.0; 7171.0; 3335.0; 1931.0; 0.0; 33047.0; 17141.0; 2115.0; 28638.0; 946.0; 48840.0; 81887.0; 25885.0; 31931.0; 9855.0; 45017.0; 70902.0; 24.0; 52726.0; -12717.0; 0.0; 10985.0; 81887.0
2017-12-31; 19510.0; 7024.0; 2947.0; 1546.0; 0.0; 31027.0; 17240.0; 2042.0; 28582.0; 913.0; 48777.0; 79804.0; 20502.0; 33796.0; 11283.0; 48321.0; 68823.0; 24.0; 52839.0; -13057.0; 0.0; 10981.0; 79804.0
2017-09-30; 18278.0; 7923.0; 3251.0; 745.0; 0.0; 30197.0; 16960.0; 1950.0; 28585.0; 771.0; 48266.0; 78463.0; 22358.0; 31452.0; 6823.0; 42694.0; 65052.0; 24.0; 54698.0; -12875.0; 0.0; 13411.0; 78463.0
