Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 291.4; 0.0; 0.0; 0.0; 0.0; 729.6; 11773.08; 0.0; 138.57; 1461.44; 13482.24; 14211.84; 2844.01; 2045.17; 979.53; 3203.84; 6047.84; 2.28; 4835.93; 0.0; 0.0; 8164.0; 14211.84
2022-06-30; 732.1; 0.0; 0.0; 0.0; 0.0; 1285.89; 10729.44; 0.0; 141.34; 1423.14; 12414.44; 13700.34; 2729.22; 2030.11; 1027.94; 3225.89; 5955.12; 2.33; 4423.74; 0.0; 0.0; 7745.22; 13700.34
2022-03-31; 1211.87; 0.0; 0.0; 0.0; 0.0; 1722.14; 9869.89; 0.0; 144.1; 1296.47; 11442.09; 13164.24; 2550.41; 2030.11; 998.94; 3200.57; 5750.98; 2.4; 4100.98; -0.02; 0.0; 7413.26; 13164.24
2021-12-31; 1833.57; 0.0; 0.0; 0.0; 0.0; 2780.7; 9047.57; 0.0; 146.92; 1238.4; 10571.93; 13352.63; 2823.77; 2029.04; 844.78; 3039.35; 5863.12; 2.49; 4196.28; -0.04; 0.0; 7489.52; 13352.63
2021-09-30; 1624.65; 0.0; 0.0; 0.0; 0.0; 2226.06; 8917.44; 0.0; 149.85; 1136.74; 10345.79; 12571.85; 2424.73; 2059.92; 823.54; 3005.37; 5430.1; 2.55; 3853.98; -0.07; 0.0; 7141.75; 12571.85
2021-06-30; 1721.12; 0.0; 0.0; 0.0; 0.0; 2302.27; 8378.95; 0.0; 153.46; 1103.89; 9779.75; 12082.02; 2230.7; 2046.33; 731.0; 2892.85; 5123.55; 2.6; 3675.18; -0.1; 0.0; 6958.47; 12082.02
2021-03-31; 1644.05; 0.0; 0.0; 0.0; 0.0; 2139.1; 7975.21; 0.0; 158.43; 1040.79; 9306.64; 11445.74; 2028.01; 2031.94; 589.63; 2732.45; 4760.47; 2.64; 3408.6; -0.12; 0.0; 6685.27; 11445.74
2020-12-31; 2632.24; 0.0; 0.0; 0.0; 0.0; 3197.21; 7721.8; 0.0; 163.43; 986.79; 9008.28; 12205.5; 2330.18; 2752.3; 449.47; 3305.32; 5635.51; 2.67; 3306.06; -0.14; 0.0; 6569.99; 12205.5
2020-09-30; 2114.21; 0.0; 0.0; 0.0; 0.0; 2514.28; 7615.47; 0.0; 168.47; 985.98; 8850.75; 11365.02; 1926.62; 2778.97; 419.42; 3198.39; 5125.01; 2.68; 2980.57; -0.17; 0.0; 6240.02; 11365.02
2020-06-30; 1697.8; 0.0; 0.0; 0.0; 0.0; 2092.08; 7584.74; 0.0; 173.51; 987.39; 8866.4; 10958.49; 1854.43; 2770.62; 481.77; 3252.39; 5106.82; 2.68; 2596.61; -0.2; 0.0; 5851.67; 10958.49
2020-03-31; 1851.25; 0.0; 0.0; 0.0; 0.0; 2215.11; 7857.66; 0.0; 178.55; 1021.66; 9208.27; 11423.37; 2719.53; 2755.93; 417.52; 3173.45; 5892.98; 2.68; 2280.45; -0.22; 0.0; 5530.39; 11423.37
2019-12-31; 1251.46; 0.0; 0.0; 0.0; 0.0; 1760.42; 7680.61; 0.0; 124.99; 979.46; 8955.17; 10715.6; 2197.95; 2765.04; 294.43; 3059.47; 5257.42; 2.7; 2220.57; -0.24; 0.0; 5458.18; 10715.6
2019-09-30; 768.64; 0.0; 0.0; 0.0; 0.0; 1152.54; 7830.06; 0.0; 128.59; 961.52; 9111.98; 10264.51; 1966.44; 2744.18; 372.3; 3116.48; 5082.92; 2.71; 1948.2; -0.27; 0.0; 5181.59; 10264.51
2019-06-30; 659.27; 0.0; 0.0; 0.0; 0.0; 1003.01; 7802.49; 0.0; 132.19; 933.74; 9092.53; 10095.54; 1923.01; 2740.32; 362.4; 3102.72; 5025.73; 2.75; 1841.48; -0.29; 0.0; 5069.81; 10095.54
2019-03-31; 1080.95; 0.0; 0.0; 0.0; 0.0; 1407.95; 7506.54; 0.0; 123.74; 918.22; 8799.39; 10207.34; 1936.83; 3024.41; 312.66; 3337.07; 5273.9; 2.77; 1714.52; -0.32; 0.0; 4933.44; 10207.34
2018-12-31; 1133.7; 0.0; 0.0; 0.0; 0.0; 1595.05; 7253.35; 0.0; 127.19; 921.8; 8577.92; 10172.98; 2060.92; 3028.07; 266.2; 3294.27; 5355.19; 2.77; 1613.93; -0.34; 0.0; 4817.78; 10172.98
2018-09-30; 759.01; 0.0; 0.0; 0.0; 0.0; 1108.8; 7489.45; 0.0; 130.64; 918.16; 8946.28; 10055.08; 1968.08; 3005.42; 352.7; 3358.12; 5326.2; 2.82; 1530.08; -0.37; 0.0; 4728.88; 10055.08
2018-06-30; 401.92; 0.0; 0.0; 0.0; 0.0; 771.55; 7499.66; 0.0; 134.09; 898.89; 9044.03; 9815.58; 1905.72; 3005.69; 377.45; 3383.14; 5288.86; 2.84; 1333.18; -0.4; 0.0; 4526.71; 9815.58
2018-03-31; 184.79; 0.0; 0.0; 0.0; 0.0; 570.24; 7465.03; 0.0; 137.54; 918.69; 9136.15; 9706.4; 1919.49; 3087.72; 424.53; 3512.25; 5431.74; 2.86; 1087.7; -0.42; 0.0; 4274.66; 9706.4
2017-12-31; 306.17; 0.0; 0.0; 0.0; 0.0; 876.77; 7147.13; 0.0; 140.99; 876.46; 8809.88; 9686.65; 2187.95; 3006.97; 337.7; 3344.67; 5532.62; 2.87; 980.06; -0.45; 0.0; 4154.03; 9686.65
2017-09-30; 197.1; 0.0; 0.0; 0.0; 0.0; 561.83; 7370.15; 0.0; 144.44; 955.09; 9409.44; 9971.27; 2209.56; 3109.98; 306.64; 3416.62; 5626.18; 2.94; 1179.44; -0.47; 0.0; 4345.09; 9971.27
2017-06-30; 239.85; 0.0; 0.0; 0.0; 0.0; 604.79; 7090.16; 0.0; 147.89; 983.24; 9208.08; 9812.88; 1967.99; 3109.99; 290.89; 3400.88; 5368.88; 3.04; 1288.54; -0.48; 0.0; 4444.0; 9812.88
2017-03-31; 423.86; 0.0; 0.0; 0.0; 0.0; 769.24; 7028.34; 0.0; 151.34; 943.48; 9151.57; 9920.81; 1867.98; 3110.0; 282.69; 3392.69; 5260.67; 3.16; 1516.06; -0.51; 0.0; 4660.15; 9920.81
2016-12-31; 723.25; 0.0; 0.0; 0.0; 0.0; 1262.74; 6770.65; 0.0; 154.79; 940.6; 8915.45; 10178.2; 2166.79; 3129.3; 222.75; 3352.05; 5518.84; 3.19; 1540.21; -0.53; 0.0; 4659.36; 10178.2
2016-09-30; 461.19; 0.0; 0.0; 0.0; 0.0; 810.2; 6950.24; 0.0; 158.24; 756.94; 9061.33; 9871.53; 1807.57; 3110.07; 281.86; 3391.93; 5199.5; 3.32; 1548.38; -0.55; 0.0; 4672.03; 9871.53
2016-06-30; 255.67; 0.0; 0.0; 0.0; 0.0; 619.67; 6629.46; 0.0; 161.37; 819.45; 8887.38; 9507.06; 1799.67; 2603.03; 286.24; 2889.27; 4688.94; 3.44; 1700.21; -0.57; 0.0; 4818.12; 9507.06
2016-03-31; 1018.12; 0.0; 0.0; 0.0; 0.0; 1308.69; 6202.48; 0.0; 163.19; 824.27; 8534.79; 9843.48; 1745.44; 3067.36; 257.15; 3324.51; 5069.95; 3.46; 1661.77; -0.59; 0.0; 4773.53; 9843.48
2015-12-31; 775.43; 0.0; 0.0; 0.0; 0.0; 1218.15; 5450.06; 0.0; 110.22; 1016.1; 7971.26; 9189.41; 2112.39; 2074.51; 243.19; 2317.7; 4430.08; 3.49; 1662.64; -0.61; 0.0; 4759.32; 9189.41
2015-09-30; 760.1; 0.0; 0.0; 0.0; 0.0; 1030.75; 5240.93; 0.0; 113.44; 867.15; 7770.82; 8801.58; 1853.92; 2084.1; 291.95; 2376.06; 4229.97; 3.49; 1466.19; -0.63; 0.0; 4571.6; 8801.58
2015-06-30; 477.54; 0.0; 0.0; 0.0; 0.0; 747.08; 4888.56; 0.0; 116.67; 788.04; 7410.88; 8157.96; 1702.03; 1583.58; 266.09; 1849.67; 3551.7; 3.55; 1507.1; -0.65; 0.0; 4606.26; 8157.96
2015-03-31; 1068.26; 0.0; 0.0; 0.0; 0.0; 1294.55; 4633.05; 0.0; 119.89; 705.93; 7138.73; 8433.28; 1646.12; 1820.07; 225.11; 2045.18; 3691.29; 3.65; 1646.57; -0.67; 0.0; 4741.99; 8433.28
2014-12-31; 1309.22; 0.0; 0.0; 0.0; 0.0; 1648.75; 4392.1; 0.0; 123.11; 684.78; 6920.66; 8569.41; 1754.53; 1818.56; 191.36; 2009.92; 3764.46; 3.69; 1728.95; -0.69; 0.0; 4804.95; 8569.41
2014-09-30; 1246.82; 0.0; 0.0; 0.0; 0.0; 1483.19; 4431.8; 0.0; 126.34; 651.02; 7131.45; 8614.65; 1698.42; 1817.05; 388.76; 2205.82; 3904.24; 3.74; 1639.34; -0.71; 0.0; 4710.41; 8614.65
2014-06-30; 1272.54; 0.0; 0.0; 0.0; 0.0; 1494.15; 4197.12; 0.0; 129.6; 644.74; 6973.19; 8467.34; 1613.61; 1815.55; 400.14; 2215.68; 3829.29; 3.76; 1569.0; -0.73; 0.0; 4638.04; 8467.34
2014-03-31; 1343.76; 0.0; 0.0; 0.0; 0.0; 1553.68; 4034.29; 0.0; 132.87; 595.9; 6797.73; 8351.41; 1498.92; 1814.04; 374.38; 2188.42; 3687.35; 3.79; 1599.57; -0.76; 0.0; 4664.06; 8351.41
2013-12-31; 1653.04; 0.0; 0.0; 0.0; 0.0; 1940.98; 3978.56; 0.0; 136.15; 591.7; 6793.17; 8734.14; 1686.15; 2058.17; 340.87; 2399.04; 4085.19; 3.81; 1593.92; -0.8; 0.0; 4648.95; 8734.14
2013-09-30; 1419.41; 0.0; 0.0; 0.0; 0.0; 1716.34; 4150.96; 0.0; 139.42; 578.24; 6977.39; 8693.72; 1774.85; 2056.66; 370.54; 2427.19; 4202.04; 3.83; 1430.63; -0.72; 0.0; 4491.69; 8693.72
2013-06-30; 1279.11; 0.0; 0.0; 0.0; 0.0; 1516.71; 4183.07; 0.0; 142.7; 609.8; 4935.56; 6452.27; 1674.27; 2082.06; 367.72; 2449.78; 4124.06; 3.88; -729.82; -0.8; 0.0; 2328.22; 6452.27
2013-03-31; 1659.5; 0.0; 0.0; 0.0; 0.0; 1897.7; 4112.8; 0.0; 145.97; 584.67; 4843.44; 6741.14; 1630.96; 2511.73; 322.93; 2834.66; 4465.63; 3.88; -766.22; -0.94; 0.0; 2275.51; 6741.14
2012-12-31; 1476.71; 0.0; 0.0; 0.0; 0.0; 1795.64; 4214.05; 0.0; 149.25; 575.47; 4938.77; 6734.41; 1735.13; 2509.61; 300.05; 2809.66; 4544.79; 3.87; -844.15; -0.99; 0.0; 2189.62; 6734.41
2012-09-30; 1640.38; 0.0; 0.0; 0.0; 0.0; 1903.76; 4470.57; 0.0; 152.52; 613.73; 5236.82; 7140.58; 1694.27; 2999.84; 324.42; 3324.26; 5018.53; 3.86; -902.89; -1.13; 0.0; 2122.05; 7140.58
2012-06-30; 1397.27; 0.0; 0.0; 0.0; 0.0; 1631.61; 4551.89; 0.0; 155.8; 613.53; 5321.22; 6952.82; 1554.43; 3093.55; 329.8; 3423.34; 4977.78; 3.84; -1019.5; -1.19; 0.0; 1975.05; 6952.82
2012-03-31; 1301.6; 0.0; 0.0; 0.0; 0.0; 1485.77; 4720.65; 0.0; 159.07; 493.95; 5373.68; 6859.44; 1552.94; 3090.95; 286.73; 3377.68; 4930.61; 3.84; -1061.93; -1.25; 0.0; 1928.83; 6859.44
2011-12-31; 1184.93; 0.0; 0.0; 0.0; 0.0; 1443.01; 4636.47; 0.0; 162.35; 643.8; 5442.61; 6885.62; 1608.39; 3088.34; 250.27; 3338.62; 4947.01; 3.83; -1050.14; -1.31; 0.0; 1938.62; 6885.62
2011-09-30; 1255.81; 0.0; 0.0; 0.0; 0.0; 1429.77; 4889.67; 0.0; 165.62; 743.6; 5798.89; 7228.65; 1670.26; 3335.36; 299.56; 3634.93; 5305.19; 3.83; -1064.2; -1.43; 0.0; 1923.47; 7228.65
2011-06-30; 1203.46; 0.0; 0.0; 0.0; 0.0; 1352.01; 4905.12; 0.0; 409.44; 759.04; 6073.6; 7425.6; 1667.04; 3332.26; 376.57; 3708.84; 5375.88; 3.83; -934.96; -1.5; 0.0; 2049.73; 7425.6
2011-03-31; 1426.35; 0.0; 0.0; 0.0; 0.0; 1570.2; 4767.22; 0.0; 412.71; 766.5; 5946.43; 7516.63; 1679.48; 3380.98; 356.03; 3737.01; 5416.49; 3.83; -879.54; -1.56; 0.0; 2100.14; 7516.63
2010-12-31; 1507.99; 0.0; 0.0; 0.0; 0.0; 1684.15; 4781.81; 0.0; 415.99; 817.42; 6015.22; 7699.38; 1826.41; 3391.67; 346.13; 3737.8; 5564.21; 3.82; -840.05; -1.52; 0.0; 2135.17; 7699.38
2010-09-30; 2656.24; 0.0; 0.0; 0.0; 0.0; 2810.01; 4975.91; 0.0; 419.26; 887.46; 6282.63; 9092.64; 2113.02; 4286.38; 396.81; 4683.2; 6796.21; 3.82; -674.77; -2.0; 0.0; 2296.42; 9092.64
2010-06-30; 2775.63; 0.0; 0.0; 0.0; 0.0; 3019.19; 4883.05; 0.0; 1077.46; 935.8; 6896.31; 9915.5; 1960.91; 4284.77; 388.04; 4672.8; 6633.71; 3.83; 320.44; -2.07; 0.0; 3281.79; 9915.5
2010-03-31; 2612.33; 0.0; 0.0; 0.0; 0.0; 2782.05; 5022.64; 0.0; 1081.19; 1023.1; 7126.93; 9908.98; 1966.82; 4283.15; 462.46; 4745.61; 6712.43; 3.83; 244.16; -2.15; 0.0; 3196.55; 9908.98
2009-12-31; 1890.61; 0.0; 0.0; 0.0; 0.0; 2057.43; 4940.36; 0.0; 1084.47; 1968.97; 7993.8; 10051.22; 2140.27; 4281.53; 434.98; 4716.51; 6856.78; 3.81; 257.14; -2.25; 0.0; 3194.44; 10051.22
2009-09-30; 1551.12; 0.0; 0.0; 0.0; 0.0; 1776.92; 5630.82; 0.0; 1588.79; 1248.37; 8505.56; 10282.47; 2309.96; 4279.91; 379.19; 4659.11; 6969.06; 3.8; 374.19; -0.47; 0.0; 3313.41; 10282.47
2009-06-30; 1636.04; 0.0; 0.0; 0.0; 0.0; 1726.63; 3677.09; 0.0; 0.0; 999.19; 4676.27; 6402.91; 1088.68; 2974.37; 190.35; 3164.72; 4253.4; 2.59; 737.39; -1.89; 0.0; 2149.51; 6402.91
2009-03-31; 1745.8; 0.0; 0.0; 0.0; 0.0; 1873.7; 3854.04; 0.0; 0.0; 1087.2; 4941.24; 6814.93; 1147.79; 3166.61; 172.74; 3339.35; 4487.15; 2.59; 926.89; -4.59; 0.0; 2327.79; 6814.93
