Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 636.28; 0.0; 0.0; 0.0; 0.0; 636.28; 47396.29; 0.0; 0.0; 12912.95; 60309.25; 60945.53; 1318.38; 18139.3; 1881.53; 20020.83; 21339.21; 7.4; -312.94; -71.63; 0.0; 39606.32; 60945.53
2022-06-30; 437.51; 0.0; 0.0; 0.0; 0.0; 437.51; 47019.04; 0.0; 0.0; 12307.27; 59326.3; 59763.82; 1042.09; 18040.83; 1806.96; 19847.79; 20889.88; 7.4; -740.76; -328.76; 0.0; 38873.94; 59763.82
2022-03-31; 1912.75; 0.0; 0.0; 0.0; 0.0; 1912.75; 45601.48; 0.0; 0.0; 12265.64; 57867.12; 59779.87; 1206.22; 18368.54; 1742.91; 20111.44; 21317.67; 7.4; -764.42; -681.12; 0.0; 38462.2; 59779.87
2021-12-31; 556.12; 0.0; 0.0; 0.0; 0.0; 556.12; 45337.0; 0.0; 0.0; 12593.1; 57930.1; 58486.22; 1252.77; 17715.05; 1776.19; 19491.24; 20744.01; 7.4; -1327.83; -878.25; 0.0; 37742.21; 58486.22
2021-09-30; 585.07; 0.0; 0.0; 0.0; 0.0; 585.07; 45054.39; 0.0; 0.0; 11377.21; 56431.6; 57016.67; 1441.78; 17135.67; 1681.75; 18817.42; 20259.2; 7.39; -2107.99; -983.91; 0.0; 36757.47; 57016.67
2021-06-30; 601.45; 0.0; 0.0; 0.0; 0.0; 601.45; 44413.61; 0.0; 0.0; 11426.33; 55839.94; 56441.39; 1304.54; 16985.3; 1670.74; 18656.04; 19960.58; 7.39; -2363.35; -1035.12; 0.0; 36480.8; 56441.39
2021-03-31; 676.07; 0.0; 0.0; 0.0; 0.0; 676.07; 43635.54; 0.0; 0.0; 11421.19; 55056.73; 55732.81; 1138.92; 16503.46; 1705.22; 18208.68; 19347.61; 7.4; -2495.34; -1021.55; 0.0; 36385.2; 55732.81
2020-12-31; 598.09; 0.0; 0.0; 0.0; 0.0; 598.09; 43845.17; 0.0; 0.0; 11621.75; 55466.92; 56065.0; 1143.37; 16849.08; 1747.98; 18597.05; 19740.43; 7.39; -2394.69; -1193.74; 0.0; 36324.58; 56065.0
2020-09-30; 940.19; 0.0; 0.0; 0.0; 0.0; 940.19; 42876.61; 0.0; 0.0; 11487.09; 54363.7; 55759.6; 1119.12; 16518.13; 1184.51; 17702.63; 19270.29; 7.39; -2245.92; -1184.46; 0.0; 36489.31; 55759.6
2020-06-30; 549.13; 0.0; 0.0; 0.0; 0.0; 549.13; 42647.43; 0.0; 0.0; 11527.49; 54174.93; 55221.86; 1140.57; 15666.87; 1179.66; 16846.53; 18475.65; 7.39; -2115.68; -1142.13; 0.0; 36746.21; 55221.86
