Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 5368.0; 4611.0; 7153.0; 0.0; 1903.0; 19035.0; 5610.0; 4087.0; 8351.0; 2952.0; 21682.0; 40717.0; 20772.0; 21762.0; 4663.0; 27348.0; 48120.0; 0.0; 33865.0; -9288.0; 0.0; -7403.0; 40717.0
2022-06-30; 5036.0; 4593.0; 7551.0; 0.0; 1196.0; 18376.0; 5965.0; 4328.0; 8974.0; 2603.0; 22584.0; 40960.0; 20547.0; 22345.0; 4472.0; 27673.0; 48220.0; 0.0; 33755.0; -9043.0; 0.0; -7260.0; 40960.0
2022-03-31; 4622.0; 4418.0; 8684.0; 0.0; 1000.0; 18724.0; 6004.0; 4312.0; 9418.0; 2581.0; 23009.0; 41733.0; 20417.0; 24019.0; 4749.0; 29519.0; 49936.0; 0.0; 33468.0; -9760.0; 0.0; -8203.0; 41733.0
2021-12-31; 4496.0; 3940.0; 8720.0; 0.0; 561.0; 17717.0; 6168.0; 4463.0; 9498.0; 2549.0; 23573.0; 41290.0; 19255.0; 24783.0; 4734.0; 30243.0; 49498.0; 0.0; 33082.0; -9577.0; 0.0; -8208.0; 41290.0
2021-09-30; 4491.0; 4182.0; 8173.0; 0.0; 1000.0; 17846.0; 6061.0; 4624.0; 9707.0; 2268.0; 23743.0; 41589.0; 17877.0; 25768.0; 5856.0; 32344.0; 50221.0; 0.0; 32935.0; -10520.0; 0.0; -8632.0; 41589.0
2021-06-30; 4915.0; 4445.0; 8690.0; 0.0; 693.0; 18743.0; 5975.0; 4633.0; 7800.0; 2423.0; 21943.0; 40686.0; 15884.0; 27414.0; 6083.0; 34002.0; 49886.0; 0.0; 32465.0; -10665.0; 0.0; -9200.0; 40686.0
2021-03-31; 3902.0; 4087.0; 9019.0; 0.0; 902.0; 17910.0; 5952.0; 4637.0; 7720.0; 2515.0; 21894.0; 39804.0; 15215.0; 27276.0; 6376.0; 34163.0; 49378.0; 0.0; 32178.0; -10746.0; 0.0; -9574.0; 39804.0
2020-12-31; 7280.0; 3761.0; 9591.0; 0.0; 860.0; 21492.0; 6365.0; 4798.0; 7983.0; 2767.0; 23323.0; 44815.0; 19615.0; 28168.0; 6979.0; 35831.0; 55446.0; 0.0; 31638.0; -11181.0; 0.0; -10631.0; 44815.0
2020-09-30; 4821.0; 3712.0; 8160.0; 0.0; 760.0; 17453.0; 6134.0; 4579.0; 7573.0; 2165.0; 21676.0; 39129.0; 15525.0; 27346.0; 5842.0; 33849.0; 49374.0; 0.0; 31537.0; -10567.0; 0.0; -10245.0; 39129.0
2020-06-30; 4200.0; 3944.0; 8968.0; 0.0; 664.0; 17776.0; 6184.0; 4516.0; 7601.0; 1926.0; 21386.0; 39162.0; 15792.0; 27043.0; 5672.0; 33490.0; 49282.0; 0.0; 31103.0; -10009.0; 0.0; -10120.0; 39162.0
