Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 1828.0; 1938.0; 420.0; 0.0; 97.0; 4283.0; 28961.0; 0.0; 243.0; 1899.0; 31103.0; 35746.0; 4170.0; 4228.0; 852.0; 8627.0; 12797.0; 2.0; 5561.0; 0.0; 0.0; 22949.0; 35746.0
2022-06-30; 3091.0; 2344.0; 606.0; 0.0; 280.0; 6321.0; 28548.0; 0.0; 243.0; 1859.0; 30650.0; 37301.0; 4749.0; 4576.0; 875.0; 8762.0; 13511.0; 2.0; 5630.0; 0.0; 0.0; 23790.0; 37301.0
2022-03-31; 3265.0; 2397.0; 493.0; 0.0; 94.0; 6249.0; 28225.0; 0.0; 243.0; 1823.0; 30291.0; 36860.0; 4056.0; 5446.0; 897.0; 9136.0; 13192.0; 2.0; 5047.0; 0.0; 0.0; 23668.0; 36860.0
2021-12-31; 4077.0; 1685.0; 369.0; 0.0; 42.0; 6173.0; 28182.0; 0.0; 243.0; 1865.0; 30290.0; 36811.0; 4073.0; 6688.0; 932.0; 9901.0; 13974.0; 2.0; 3960.0; 0.0; 0.0; 22837.0; 36811.0
2021-09-30; 627.0; 1681.0; 340.0; 0.0; 193.0; 2841.0; 32244.0; 0.0; 261.0; 1884.0; 34389.0; 37549.0; 4535.0; 6685.0; 1083.0; 9821.0; 14356.0; 2.0; 4087.0; 0.0; 0.0; 23193.0; 37549.0
2021-06-30; 142.0; 1671.0; 350.0; 0.0; 196.0; 2359.0; 31929.0; 0.0; 261.0; 1889.0; 34079.0; 36784.0; 4273.0; 6926.0; 1168.0; 9873.0; 14146.0; 2.0; 3550.0; 0.0; 0.0; 22638.0; 36784.0
2021-03-31; 724.0; 1274.0; 327.0; 0.0; 227.0; 2552.0; 25332.0; 0.0; 261.0; 1837.0; 27430.0; 30351.0; 3243.0; 6177.0; 1092.0; 8962.0; 12205.0; 2.0; 3308.0; 0.0; 0.0; 18146.0; 30351.0
2020-12-31; 1501.0; 695.0; 224.0; 0.0; 175.0; 2595.0; 14439.0; 0.0; 261.0; 1737.0; 16437.0; 19229.0; 1906.0; 3160.0; 1118.0; 5754.0; 7660.0; 2.0; 3478.0; 0.0; 0.0; 11569.0; 19229.0
2020-09-30; 1391.0; 684.0; 191.0; 0.0; 154.0; 2420.0; 14351.0; 0.0; 261.0; 1747.0; 16359.0; 18977.0; 1688.0; 3148.0; 968.0; 5635.0; 7323.0; 2.0; 3582.0; 0.0; 0.0; 11654.0; 18977.0
2020-06-30; 249.0; 587.0; 170.0; 0.0; 189.0; 1195.0; 14445.0; 0.0; 261.0; 1789.0; 16495.0; 17906.0; 1584.0; 2054.0; 1001.0; 4582.0; 6166.0; 2.0; 3693.0; 0.0; 0.0; 11740.0; 17906.0
2020-03-31; 858.0; 564.0; 188.0; 0.0; 459.0; 2069.0; 14625.0; 0.0; 261.0; 1846.0; 16732.0; 19051.0; 2080.0; 2140.0; 1009.0; 4760.0; 6840.0; 2.0; 4223.0; 0.0; 0.0; 12211.0; 19051.0
2019-12-31; 705.0; 1042.0; 205.0; 0.0; 239.0; 2191.0; 14445.0; 0.0; 261.0; 1911.0; 16617.0; 19088.0; 2496.0; 1839.0; 1054.0; 4456.0; 6952.0; 2.0; 4042.0; 0.0; 0.0; 12136.0; 19088.0
2019-09-30; 664.0; 859.0; 246.0; 0.0; 154.0; 1923.0; 14271.0; 0.0; 261.0; 1303.0; 15835.0; 18078.0; 2460.0; 1838.0; 462.0; 3762.0; 6222.0; 2.0; 3755.0; 0.0; 0.0; 11856.0; 18078.0
2019-06-30; 718.0; 795.0; 249.0; 0.0; 413.0; 2175.0; 14002.0; 0.0; 262.0; 1335.0; 15599.0; 18106.0; 2525.0; 1837.0; 465.0; 3705.0; 6230.0; 2.0; 3597.0; 0.0; 0.0; 11876.0; 18106.0
2019-03-31; 956.0; 883.0; 253.0; 0.0; 413.0; 2505.0; 14045.0; 11.0; 264.0; 1174.0; 15494.0; 18355.0; 2532.0; 1836.0; 306.0; 3614.0; 6146.0; 2.0; 3766.0; 0.0; 0.0; 12209.0; 18355.0
2018-12-31; 1268.0; 821.0; 242.0; 0.0; 249.0; 2580.0; 13548.0; 125.0; 264.0; 1386.0; 15323.0; 17903.0; 1818.0; 2284.0; 538.0; 3974.0; 5792.0; 2.0; 3470.0; 0.0; 0.0; 12111.0; 17903.0
2018-09-30; 1476.0; 883.0; 269.0; 0.0; 32.0; 2660.0; 12931.0; 193.0; 267.0; 1973.0; 15364.0; 18024.0; 2225.0; 2286.0; 555.0; 3905.0; 6130.0; 2.0; 3147.0; 0.0; 0.0; 11894.0; 18024.0
2018-06-30; 1183.0; 860.0; 236.0; 0.0; 25.0; 2459.0; 12490.0; 313.0; 269.0; 1918.0; 14990.0; 17449.0; 2262.0; 2285.0; 471.0; 3703.0; 5965.0; 2.0; 2764.0; 0.0; 0.0; 11484.0; 17449.0
2018-03-31; 1723.0; 833.0; 218.0; 0.0; 30.0; 2824.0; 12230.0; 93.0; 269.0; 1907.0; 14499.0; 17323.0; 2250.0; 2284.0; 459.0; 3671.0; 5921.0; 2.0; 2698.0; 0.0; 0.0; 11402.0; 17323.0
2017-12-31; 2109.0; 652.0; 212.0; 0.0; 34.0; 3007.0; 11766.0; 66.0; 270.0; 1894.0; 13996.0; 17003.0; 2128.0; 2283.0; 414.0; 3596.0; 5724.0; 2.0; 2547.0; 0.0; 0.0; 11279.0; 17003.0
2017-09-30; 1993.0; 650.0; 187.0; 0.0; 71.0; 2901.0; 11347.0; 151.0; 270.0; 1796.0; 13564.0; 16465.0; 1715.0; 2282.0; 396.0; 4153.0; 5868.0; 2.0; 1882.0; 0.0; 0.0; 10597.0; 16465.0
