Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 490.7; 1736.7; 1054.2; 0.0; 329.1; 3610.7; 586.5; 1056.0; 4426.0; 374.2; 7148.0; 10758.7; 3572.2; 2867.8; 567.3; 4169.8; 7742.0; 181.4; 8411.8; -917.5; 0.0; 3016.7; 10758.7
2022-06-30; 482.9; 1702.2; 989.1; 0.0; 318.1; 3492.3; 568.5; 1201.0; 4518.5; 312.8; 7307.6; 10799.9; 3281.2; 3464.1; 506.3; 4833.1; 8114.3; 181.4; 8072.8; -957.5; 0.0; 2685.6; 10799.9
2022-03-31; 443.0; 1572.5; 931.2; 0.0; 338.2; 3284.9; 576.8; 1272.6; 4588.7; 300.4; 7430.6; 10715.5; 3027.6; 3466.0; 508.0; 4758.0; 7785.6; 181.4; 8035.1; -833.1; 0.0; 2929.9; 10715.5
2021-12-31; 540.0; 1487.4; 868.9; 0.0; 236.0; 3132.3; 584.1; 1369.8; 4616.4; 296.8; 7611.0; 10743.3; 2914.1; 3469.1; 535.8; 5022.4; 7936.5; 181.4; 8111.7; -1012.2; 0.0; 2806.8; 10743.3
2021-09-30; 662.2; 1424.5; 798.1; 0.0; 178.6; 3063.4; 581.9; 1363.5; 4647.7; 286.5; 7638.2; 10701.6; 2992.2; 3464.6; 516.5; 5015.3; 8007.5; 181.4; 8000.4; -1017.1; 0.0; 2694.1; 10701.6
2021-06-30; 913.8; 1431.1; 734.4; 0.0; 206.9; 3286.2; 551.1; 1589.4; 2428.8; 198.5; 5286.9; 8573.1; 2456.3; 1977.1; 519.3; 3538.7; 5995.0; 181.4; 7921.9; -1075.0; 0.0; 2578.1; 8573.1
2021-03-31; 641.9; 1458.7; 681.1; 0.0; 187.8; 2969.5; 551.3; 1534.9; 2422.1; 192.2; 5348.2; 8317.7; 2139.8; 1978.4; 521.4; 4049.2; 6189.0; 181.4; 7899.3; -1526.0; 0.0; 2128.7; 8317.7
2020-12-31; 730.4; 1379.0; 640.6; 0.0; 182.1; 2932.1; 567.7; 1345.9; 2442.5; 189.9; 5238.9; 8171.0; 2188.6; 1980.3; 572.9; 4108.6; 6297.2; 181.4; 7608.8; -1527.3; 0.0; 1873.8; 8171.0
2020-09-30; 704.6; 1249.1; 584.0; 0.0; 148.1; 2685.8; 574.4; 953.5; 2129.6; 162.9; 4578.9; 7264.7; 1810.8; 1974.7; 573.7; 4107.1; 5917.9; 181.4; 7139.8; -1614.2; 0.0; 1346.8; 7264.7
2020-06-30; 909.8; 1202.1; 674.8; 0.0; 155.8; 2942.5; 564.5; 900.1; 2121.7; 127.1; 4387.0; 7329.5; 2242.1; 1974.4; 571.9; 3998.3; 6240.4; 181.4; 6877.2; -1569.9; 0.0; 1089.1; 7329.5
