Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 13968.0; 0.0; 0.0; 0.0; 0.0; 89063.0; 346.0; 122592.0; 517.0; 0.0; 123455.0; 212867.0; 190371.0; 3368.0; 2889.0; 6257.0; 197057.0; 0.0; 8676.0; -2085.0; 0.0; 15810.0; 212867.0
2022-06-30; 15398.0; 0.0; 0.0; 0.0; 0.0; 88585.0; 294.0; 124682.0; 523.0; 0.0; 125499.0; 214389.0; 191648.0; 3367.0; 2721.0; 6088.0; 198113.0; 0.0; 8247.0; -1198.0; 0.0; 16276.0; 214389.0
2022-03-31; 20606.0; 0.0; 0.0; 0.0; 0.0; 91938.0; 283.0; 127303.0; 529.0; 0.0; 128115.0; 220355.0; 198233.0; 2571.0; 2817.0; 5388.0; 203995.0; 0.0; 7914.0; -760.0; 0.0; 16360.0; 220355.0
2021-12-31; 14586.0; 0.0; 0.0; 0.0; 0.0; 82231.0; 270.0; 127959.0; 535.0; 0.0; 128764.0; 211308.0; 189274.0; 2570.0; 2467.0; 5037.0; 194699.0; 0.0; 7442.0; -9.0; 0.0; 16609.0; 211308.0
2021-09-30; 18940.0; 0.0; 0.0; 0.0; 0.0; 82103.0; 247.0; 107834.0; 500.0; 0.0; 108581.0; 190996.0; 171279.0; 1925.0; 2733.0; 4658.0; 176327.0; 0.0; 7071.0; 65.0; 0.0; 14669.0; 190996.0
2021-06-30; 23959.0; 0.0; 0.0; 0.0; 0.0; 76967.0; 196.0; 85811.0; 200.0; 0.0; 86207.0; 163399.0; 145872.0; 1834.0; 3449.0; 5283.0; 151432.0; 0.0; 6706.0; 142.0; 0.0; 11967.0; 163399.0
2021-03-31; 21254.86; 0.0; 0.0; 0.0; 0.0; 72722.39; 179.67; 69008.85; 202.01; 0.0; 69390.53; 142346.6; 124188.5; 1338.18; 6411.7; 7749.89; 132225.8; 0.05; 6203.97; 20.96; 0.0; 10120.78; 142346.6
2020-12-31; 17675.0; 0.0; 0.0; 0.0; 0.0; 65614.0; 176.0; 49307.0; 204.0; 0.0; 49687.0; 115511.0; 102003.0; 844.0; 3972.0; 4816.0; 107078.0; 0.0; 5672.0; 623.0; 0.0; 8433.0; 115511.0
2020-09-30; 15687.78; 0.0; 0.0; 0.0; 0.0; 55905.69; 173.48; 40433.91; 183.2; 0.0; 40790.59; 96916.77; 84792.09; 843.43; 3067.22; 3910.65; 88949.39; 0.05; 5283.43; 620.39; 0.0; 7967.38; 96916.77
2020-06-30; 14202.11; 0.0; 0.0; 0.0; 0.0; 52580.49; 169.31; 32581.31; 184.55; 0.0; 32935.18; 85730.98; 74556.69; 843.22; 2623.41; 3466.63; 78262.67; 0.05; 4841.72; 614.74; 0.0; 7468.31; 85730.98
2020-03-31; 9561.45; 0.0; 0.0; 0.0; 0.0; 47039.63; 154.78; 27422.95; 185.9; 0.0; 27763.62; 75009.64; 65050.12; 348.08; 2200.95; 2549.03; 67826.42; 0.05; 4612.78; 592.53; 0.0; 7183.22; 75009.64
