Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-11-30; 185.0; 921.0; 1802.0; 617.9; 0.0; 3525.9; 6523.8; 771.4; 10638.1; 762.1; 20937.1; 24463.0; 2725.0; 11287.1; 0.0; 13021.3; 15746.3; 2.1; 12267.8; -200.9; 0.0; 8716.7; 24463.0
2022-08-31; 165.1; 978.9; 1651.0; 735.2; 0.0; 3530.2; 6234.0; 833.4; 10662.2; 728.8; 20750.7; 24280.9; 2511.9; 10278.7; 0.0; 12058.1; 14570.0; 2.2; 13448.4; -355.4; 0.0; 9710.9; 24280.9
2022-05-31; 101.8; 879.9; 1656.4; 664.1; 0.0; 3302.2; 6163.3; 2534.0; 10680.8; 826.0; 22538.9; 25841.1; 2365.8; 10278.2; 0.0; 11916.8; 14282.6; 2.2; 14746.2; -166.3; 0.0; 11558.5; 25841.1
2022-02-28; 199.4; 899.0; 1573.2; 658.1; 0.0; 3329.7; 6059.6; 2688.7; 10617.6; 808.7; 22526.1; 25855.8; 2698.8; 9488.2; 0.0; 11109.2; 13808.0; 2.2; 14505.4; -412.7; 0.0; 12047.8; 25855.8
2021-11-30; 361.3; 917.8; 1518.9; 578.6; 0.0; 3376.6; 5519.3; 2756.4; 10604.8; 856.0; 22150.7; 25527.3; 2248.6; 10083.8; 0.0; 11732.3; 13980.9; 2.2; 14251.6; -623.1; 0.0; 11546.4; 25527.3
2021-08-31; 103.4; 972.8; 1339.0; 528.5; 0.0; 2943.7; 5505.4; 2819.0; 10528.6; 1095.6; 22396.6; 25340.3; 2187.1; 10081.7; 0.0; 11628.6; 13815.7; 2.2; 13922.2; -290.4; 0.0; 11524.6; 25340.3
2021-05-31; 503.8; 922.8; 1377.6; 508.9; 0.0; 3313.1; 5392.2; 2656.7; 10540.7; 1698.7; 22879.3; 26192.4; 2062.8; 9914.8; 0.0; 11532.0; 13594.8; 2.2; 14063.6; -236.6; 0.0; 12597.6; 26192.4
2021-02-28; 460.6; 785.3; 1291.1; 507.5; 0.0; 3044.5; 5821.6; 2788.4; 10525.6; 2432.2; 24060.3; 27104.8; 1269.1; 10413.1; 0.0; 11906.6; 13175.7; 2.2; 15117.8; -335.5; 0.0; 13929.1; 27104.8
2020-11-30; 152.9; 915.4; 1376.9; 455.5; 546.4; 3447.1; 5580.7; 2959.9; 10528.7; 2551.2; 24183.5; 27630.6; 2041.4; 10416.1; 0.0; 11936.7; 13978.1; 2.2; 14879.1; -357.4; 0.0; 13652.5; 27630.6
2020-08-31; 204.6; 926.3; 1328.4; 497.1; 580.8; 3537.2; 5184.9; 2931.9; 10455.7; 1778.0; 22925.3; 26462.5; 1909.9; 11066.8; 0.0; 12548.8; 14458.7; 2.2; 13742.2; -815.5; 0.0; 12003.8; 26462.5
