Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 408.7; 1503.2; 6347.2; 436.8; 108.7; 8804.6; 2305.6; 0.0; 12860.9; 1552.8; 16719.3; 25523.9; 7607.0; 5350.5; 1939.9; 8368.2; 15975.2; 442.3; 9504.1; -2426.3; 0.0; 9548.7; 25523.9
2022-06-30; 282.3; 1592.1; 6635.5; 506.8; 956.1; 9972.8; 2310.6; 0.0; 13031.8; 4046.2; 19388.6; 29361.4; 11760.7; 5351.8; 2108.6; 8518.8; 20279.5; 442.3; 8775.0; -2151.0; 0.0; 9081.9; 29361.4
2022-03-31; 165.8; 1842.0; 6267.7; 495.3; 965.4; 9736.2; 2365.6; 0.0; 13237.3; 4019.6; 19622.5; 29358.7; 10955.0; 5355.5; 2575.7; 9048.9; 20003.9; 442.3; 8801.4; -1873.3; 0.0; 9354.8; 29358.7
2021-12-31; 142.1; 1481.7; 5419.9; 507.0; 975.7; 8526.4; 2336.8; 0.0; 13285.7; 4031.1; 19653.6; 28180.0; 8767.4; 4353.6; 2281.3; 7820.2; 16587.6; 442.3; 8742.4; -1845.6; 0.0; 11592.4; 28180.0
2021-09-30; 292.7; 1989.0; 4134.4; 419.3; 41.0; 6876.4; 2051.3; 0.0; 13837.0; 1561.9; 17450.2; 24326.6; 5580.8; 4246.9; 2046.7; 7427.6; 13008.4; 442.3; 8541.4; -1874.8; 0.0; 11318.2; 24326.6
2021-06-30; 440.4; 1994.7; 3679.5; 408.4; 32.7; 6555.7; 2038.4; 0.0; 13934.7; 1434.1; 17407.2; 23962.9; 5402.5; 4246.2; 2077.1; 7474.4; 12876.9; 442.3; 8258.6; -1787.0; 0.0; 11086.0; 23962.9
2021-03-31; 949.2; 1994.8; 3137.4; 419.7; 21.9; 6523.0; 2016.5; 0.0; 13965.2; 1371.3; 17353.0; 23876.0; 4578.4; 4245.7; 2455.6; 7892.8; 12471.2; 442.3; 7915.5; -1811.4; 0.0; 11404.8; 23876.0
2020-12-31; 1241.9; 1164.5; 2638.9; 326.8; 663.9; 6036.0; 1973.1; 0.0; 11924.2; 3633.0; 17530.3; 23566.3; 4558.3; 4245.4; 2566.3; 7941.6; 12499.9; 442.3; 7542.2; -1713.7; 0.0; 11066.4; 23566.3
2020-09-30; 683.0; 1764.2; 2874.7; 0.0; 465.1; 5787.0; 2005.9; 0.0; 13956.0; 1292.0; 17253.9; 23040.9; 4221.8; 4658.5; 2598.4; 8439.8; 12661.6; 442.3; 7200.4; -1961.1; 0.0; 10379.3; 23040.9
2020-06-30; 859.8; 1719.4; 2753.4; 0.0; 436.9; 5769.5; 2024.4; 0.0; 13911.6; 1278.9; 17214.9; 22984.4; 4578.3; 4658.7; 2584.3; 8440.5; 13018.8; 442.3; 6924.5; -2040.6; 0.0; 9965.6; 22984.4
2020-03-31; 987.1; 1681.5; 2532.4; 0.0; 491.9; 5692.9; 2036.7; 0.0; 13877.4; 1298.0; 17212.1; 22905.0; 5370.3; 4662.6; 2598.9; 8575.5; 13945.8; 442.3; 6796.6; -2143.4; 0.0; 8959.2; 22905.0
2019-12-31; 297.7; 1454.6; 2255.0; 395.4; 53.9; 4456.6; 1959.5; 0.0; 12859.5; 1321.0; 16140.0; 20596.6; 4405.7; 3176.4; 2531.7; 7048.7; 11454.4; 442.3; 6768.1; -1884.6; -2.3; 9142.2; 20596.6
2019-09-30; 311.7; 1902.6; 2743.5; 0.0; 370.2; 5328.0; 1911.9; 0.0; 12813.0; 1269.6; 15994.5; 21322.5; 5441.9; 3908.8; 2429.9; 7612.4; 13054.3; 442.3; 6678.1; -1944.9; -2.3; 8268.2; 21322.5
2019-06-30; 310.7; 1823.9; 2863.2; 0.0; 347.4; 5345.2; 1933.3; 0.0; 12954.9; 1290.2; 16178.4; 21523.6; 5653.1; 3909.1; 2422.2; 7637.2; 13290.3; 442.3; 6549.9; -1814.0; -3.4; 8233.3; 21523.6
2019-03-31; 281.8; 1882.1; 2791.6; 0.0; 298.4; 5253.9; 1927.4; 0.0; 13028.3; 1250.7; 16206.4; 21460.3; 5766.2; 3909.4; 2521.8; 7757.4; 13523.6; 442.3; 6291.3; -1813.3; -6.3; 7936.7; 21460.3
2018-12-31; 288.7; 1607.8; 2373.5; 240.5; 58.9; 4569.4; 1915.2; 0.0; 12441.1; 482.3; 14838.6; 19408.0; 4001.6; 3819.8; 2446.0; 7566.5; 11568.1; 442.3; 6219.0; -1814.3; -10.5; 7839.9; 19408.0
2018-09-30; 368.7; 2236.2; 2649.7; 0.0; 300.8; 5555.4; 1846.2; 0.0; 12554.1; 492.0; 14892.3; 20447.7; 6052.0; 2830.6; 2468.0; 6310.6; 12362.6; 442.3; 6424.3; -1751.2; -13.3; 8085.1; 20447.7
2018-06-30; 385.8; 2151.4; 2444.2; 0.0; 341.2; 5322.6; 1817.1; 0.0; 12544.4; 495.5; 14857.0; 20179.6; 5638.9; 2831.2; 2451.0; 6352.9; 11991.8; 442.3; 6273.9; -1772.4; -14.4; 8187.8; 20179.6
2018-03-31; 405.6; 1986.1; 2350.3; 0.0; 335.9; 5077.9; 1770.2; 0.0; 12325.1; 510.0; 14605.3; 19683.2; 4810.2; 2827.6; 2534.5; 6431.2; 11241.4; 442.3; 6074.5; -1493.3; -15.5; 8441.8; 19683.2
2017-12-31; 637.5; 1628.7; 2018.4; 234.6; 39.8; 4559.0; 1742.5; 0.0; 12283.5; 512.7; 14538.7; 19097.7; 4391.5; 2828.2; 2507.0; 6401.2; 10792.7; 442.3; 5998.7; -1589.1; -18.8; 8305.0; 19097.7
2017-09-30; 483.3; 2009.8; 2247.4; 0.0; 288.2; 5028.7; 1677.3; 0.0; 12240.8; 826.4; 14744.5; 19773.2; 4002.2; 3818.0; 2116.2; 7752.2; 11754.4; 442.3; 5803.9; -1618.8; -20.0; 8018.8; 19773.2
2017-06-30; 539.5; 1927.9; 2078.0; 0.0; 293.7; 4839.1; 1649.8; 0.0; 12020.2; 803.2; 14473.2; 19312.3; 3866.9; 3817.4; 2099.8; 7739.0; 11605.9; 442.3; 5624.4; -1722.4; -21.1; 7706.4; 19312.3
2017-03-31; 378.0; 1728.0; 1976.7; 0.0; 285.6; 4368.3; 1538.3; 0.0; 11967.5; 788.0; 14293.8; 18662.1; 4214.4; 3815.6; 2001.6; 7629.6; 11844.0; 442.3; 5433.8; -1807.7; -22.3; 6818.1; 18662.1
2016-12-31; 1131.8; 1302.8; 1478.0; 193.2; 682.7; 4788.5; 1451.2; 0.0; 8993.5; 401.7; 10846.4; 15634.9; 2807.5; 3815.3; 1258.8; 6453.8; 9261.3; 442.3; 5127.3; -1921.2; -25.9; 6373.6; 15634.9
2016-09-30; 420.8; 1730.2; 1720.3; 0.0; 390.8; 4262.1; 1480.1; 0.0; 9589.3; 389.2; 11458.6; 15720.7; 3463.0; 3815.1; 983.6; 6176.5; 9639.5; 442.3; 4958.7; -1681.8; -27.1; 6081.2; 15720.7
2016-06-30; 568.2; 1571.0; 1688.6; 0.0; 465.4; 4293.2; 1462.5; 0.0; 9592.6; 392.5; 11447.6; 15740.8; 3709.9; 3814.1; 952.8; 6180.8; 9890.7; 442.3; 4793.8; -1711.2; -28.4; 5850.1; 15740.8
2016-03-31; 352.2; 1592.8; 1685.0; 0.0; 386.8; 4016.8; 1462.9; 0.0; 9700.9; 426.8; 11590.6; 15607.4; 3696.6; 3817.2; 900.7; 6195.6; 9892.2; 442.3; 4601.8; -1614.4; -29.6; 5715.2; 15607.4
2015-12-31; 465.4; 1331.8; 1526.4; 172.4; 166.1; 3662.1; 1450.2; 0.0; 9625.8; 389.7; 11465.7; 15127.8; 2802.6; 3792.1; 1178.6; 6466.0; 9268.6; 442.3; 4491.7; -1694.2; -34.9; 5859.2; 15127.8
2015-09-30; 293.3; 1690.9; 1867.0; 0.0; 422.1; 4273.3; 1407.6; 0.0; 9739.6; 450.4; 11597.6; 15870.9; 3422.3; 3847.3; 1227.5; 6728.0; 10150.3; 442.3; 4306.4; -1581.7; -36.2; 5720.6; 15870.9
2015-06-30; 391.9; 1645.9; 1839.6; 0.0; 467.4; 4344.8; 1419.2; 0.0; 9798.7; 436.1; 11654.0; 15998.8; 3385.0; 3823.2; 1217.5; 6747.3; 10132.3; 442.3; 4157.0; -1455.3; -37.5; 5866.5; 15998.8
2015-03-31; 435.5; 1612.8; 1742.2; 0.0; 534.2; 4324.7; 1411.5; 0.0; 9788.6; 418.9; 11619.0; 15943.7; 3446.8; 3855.7; 1246.6; 6799.7; 10246.5; 442.3; 4006.4; -1527.5; -38.8; 5697.2; 15943.7
