Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 397.26; 391.25; 530.09; 140.78; 0.0; 1459.38; 422.36; 0.0; 4591.56; 166.99; 5298.7; 6758.09; 610.94; 1593.5; 131.19; 2251.98; 2862.93; 47.94; 3754.66; -459.19; 0.0; 3895.16; 6758.09
2022-06-30; 308.12; 415.3; 510.53; 151.4; 0.0; 1385.35; 429.37; 0.0; 4687.96; 104.31; 5346.5; 6731.85; 610.45; 1605.95; 135.99; 2268.67; 2879.12; 47.94; 3668.72; -408.69; 0.0; 3852.73; 6731.85
2022-03-31; 466.66; 407.16; 491.42; 128.96; 0.0; 1494.2; 436.02; 0.0; 4736.28; 75.62; 5379.11; 6873.31; 656.2; 1740.78; 158.03; 2421.58; 3077.78; 47.93; 3579.15; -368.25; 0.0; 3795.53; 6873.31
2021-12-31; 445.08; 383.57; 477.64; 122.82; 0.0; 1429.12; 443.76; 0.0; 4793.27; 69.1; 5442.6; 6871.72; 680.12; 1740.1; 165.41; 2436.86; 3116.97; 47.93; 3517.95; -346.96; 0.0; 3754.75; 6871.72
2021-09-30; 481.17; 399.74; 484.35; 176.58; 0.0; 1541.84; 446.32; 0.0; 4860.2; 53.19; 5498.12; 7039.96; 562.21; 1948.67; 227.49; 2819.88; 3382.09; 47.91; 3405.81; -324.94; 0.0; 3657.87; 7039.96
2021-06-30; 361.78; 414.19; 490.32; 144.0; 26.94; 1437.23; 449.75; 0.0; 4918.76; 137.09; 5629.16; 7066.39; 526.85; 2215.67; 222.02; 3073.44; 3600.28; 47.88; 3222.55; -311.96; 0.0; 3466.1; 7066.39
2021-03-31; 324.63; 401.11; 512.28; 140.76; 0.0; 1378.78; 467.65; 0.0; 5036.12; 42.88; 5649.24; 7028.02; 508.05; 2295.44; 229.74; 3144.18; 3652.23; 47.83; 3155.2; -319.74; 0.0; 3375.79; 7028.02
2020-12-31; 375.88; 395.07; 513.2; 138.28; 0.0; 1422.42; 473.91; 0.0; 5105.71; 41.8; 5730.13; 7152.56; 540.03; 2377.89; 252.91; 3276.07; 3816.1; 47.81; 3096.23; -297.3; 0.0; 3336.46; 7152.56
2020-09-30; 347.48; 390.48; 526.12; 156.48; 0.0; 1420.56; 445.24; 0.0; 4592.77; 46.88; 5192.73; 6613.29; 475.25; 2035.82; 232.49; 2901.84; 3377.09; 47.7; 3035.93; -323.69; 0.0; 3236.2; 6613.29
2020-06-30; 553.53; 374.89; 514.75; 101.44; 0.0; 1544.62; 432.4; 0.0; 4604.42; 76.12; 5220.51; 6765.13; 456.62; 2328.79; 240.57; 3211.11; 3667.73; 47.59; 2935.17; -346.81; 0.0; 3097.4; 6765.13
2020-03-31; 406.48; 441.71; 488.86; 109.74; 0.0; 1446.79; 427.45; 0.0; 4629.59; 84.92; 5254.78; 6701.56; 402.3; 2340.89; 232.96; 3226.24; 3628.54; 47.56; 2939.51; -364.72; 0.0; 3073.02; 6701.56
2019-12-31; 301.08; 418.67; 476.56; 110.02; 0.0; 1306.33; 430.72; 0.0; 4401.59; 52.45; 5003.49; 6309.82; 563.05; 1858.94; 284.85; 2767.45; 3330.5; 47.54; 2824.92; -344.39; 0.0; 2979.32; 6309.82
2019-09-30; 257.54; 396.66; 472.59; 110.81; 0.0; 1237.61; 429.57; 0.0; 4407.0; 64.86; 5019.57; 6257.18; 530.36; 1949.07; 279.68; 2873.84; 3404.21; 47.46; 2732.41; -364.5; 0.0; 2852.98; 6257.18
2019-06-30; 303.9; 382.14; 461.32; 97.78; 0.0; 1245.14; 425.48; 0.0; 4492.49; 40.71; 5069.27; 6314.41; 493.89; 2081.37; 286.8; 3155.67; 3649.57; 47.4; 2519.2; -325.91; 0.0; 2664.84; 6314.41
2019-03-31; 271.21; 375.76; 445.57; 90.08; 0.0; 1182.61; 409.96; 0.0; 4522.26; 38.46; 5085.45; 6268.07; 520.92; 2072.94; 303.74; 3177.28; 3698.19; 47.32; 2451.53; -340.69; 0.0; 2569.88; 6268.07
2018-12-31; 357.16; 366.29; 427.78; 84.94; 0.0; 1236.17; 432.77; 0.0; 4571.63; 34.98; 5041.82; 6277.99; 582.46; 2072.2; 382.22; 3155.56; 3738.01; 47.25; 2427.6; -341.08; 0.0; 2539.98; 6277.99
2018-09-30; 356.28; 374.34; 411.07; 95.89; 3.24; 1240.81; 421.26; 0.0; 4486.25; 50.09; 4959.91; 6200.72; 549.29; 2075.83; 363.1; 3144.36; 3693.66; 47.19; 2352.65; -289.17; 0.0; 2507.07; 6200.72
2018-06-30; 346.3; 359.12; 405.43; 71.19; 3.24; 1185.28; 410.98; 0.0; 4527.09; 49.59; 4990.04; 6175.32; 536.45; 2145.47; 349.91; 3204.89; 3741.34; 47.08; 2311.71; -306.42; 0.0; 2433.98; 6175.32
