Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 1896.1; 831.4; 0.0; 347.0; 176.6; 3251.1; 333.8; 0.0; 12234.4; 351.6; 14241.8; 17492.9; 3467.0; 2935.5; 426.4; 4592.4; 8059.4; 1.9; 1928.0; -236.3; 0.0; 9433.5; 17492.9
2022-06-30; 1841.4; 773.8; 0.0; 255.7; 165.1; 3036.0; 300.2; 0.0; 12681.8; 485.2; 14708.9; 17744.9; 3286.7; 2935.5; 404.6; 4795.9; 8082.6; 1.9; 2185.0; -120.5; 0.0; 9662.3; 17744.9
2022-03-31; 2912.0; 579.4; 0.0; 193.4; 186.3; 3871.1; 242.0; 0.0; 941.1; 445.2; 2675.2; 6546.3; 2105.0; 0.0; 327.6; 631.6; 2736.6; 1.4; 2289.0; -57.3; 0.0; 3809.7; 6546.3
2021-12-31; 2732.76; 647.91; 11.68; 249.72; 47.58; 3705.01; 235.96; 0.0; 954.29; 434.54; 2652.94; 6357.95; 2072.34; 0.0; 342.01; 619.87; 2692.22; 1.39; 2178.02; -34.58; 0.0; 3665.74; 6357.95
2021-09-30; 3051.9; 804.47; 12.58; 307.37; 54.54; 4243.46; 231.23; 0.0; 950.67; 288.45; 2375.57; 6619.03; 2566.87; 0.0; 323.52; 582.49; 3149.36; 1.39; 2033.52; -19.75; 0.0; 3469.67; 6619.03
2021-06-30; 3189.13; 487.17; 11.49; 300.38; 14.62; 4013.61; 224.88; 0.0; 951.3; 275.41; 2300.64; 6314.26; 2165.33; 0.0; 309.35; 517.62; 2682.95; 1.39; 2023.23; -2.77; 0.0; 3631.31; 6314.26
2021-03-31; 3270.4; 552.76; 17.74; 320.65; 43.44; 4220.52; 149.36; 0.0; 656.9; 255.58; 1807.7; 6028.22; 2234.72; 0.0; 264.64; 461.61; 2696.33; 1.38; 1870.97; -8.66; 0.0; 3331.89; 6028.22
2020-12-31; 3186.93; 581.14; 26.73; 296.52; 48.78; 4159.96; 135.26; 0.0; 652.15; 292.97; 1806.14; 5966.1; 2341.79; 0.0; 280.37; 469.02; 2810.81; 1.38; 1652.16; -5.58; 0.0; 3155.29; 5966.1
2020-09-30; 2836.03; 787.82; 26.93; 192.19; 73.71; 3932.1; 133.4; 0.0; 647.39; 445.87; 1904.06; 5836.15; 2325.84; 0.0; 425.36; 609.04; 2934.87; 1.37; 1469.91; -34.82; 0.0; 2901.28; 5836.15
2020-06-30; 2752.57; 685.17; 19.49; 183.71; 31.71; 3686.93; 128.9; 0.0; 436.57; 427.96; 1682.31; 5369.24; 2148.74; 0.0; 383.12; 569.47; 2718.21; 1.37; 1370.59; -52.13; 0.0; 2651.03; 5369.24
2020-03-31; 2548.27; 592.55; 19.11; 273.5; 40.32; 3493.35; 131.89; 0.0; 437.75; 213.1; 1455.48; 4948.83; 2038.54; 0.0; 190.65; 371.05; 2409.59; 1.36; 1282.09; -58.38; 0.0; 2539.24; 4948.83
2019-12-31; 2441.7; 647.46; 24.43; 228.57; 59.8; 3435.04; 127.42; 0.0; 448.41; 163.22; 1444.6; 4879.63; 2096.33; 0.0; 196.91; 381.27; 2477.6; 1.36; 1159.36; -38.49; 0.0; 2402.03; 4879.63
2019-09-30; 2173.02; 858.6; 39.29; 218.67; 62.33; 3388.33; 129.17; 0.0; 444.94; 95.09; 1426.78; 4815.11; 2290.23; 0.0; 198.95; 343.12; 2633.35; 1.36; 995.72; -54.46; 0.0; 2181.76; 4815.11
