Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 41652.0; 0.0; 0.0; 0.0; 0.0; 381990.0; 3155.0; 154097.0; 14729.0; 47002.0; 218983.0; 600973.0; 496214.0; 32228.0; 24553.0; 56781.0; 552995.0; 21.0; 71782.0; -12500.0; 0.0; 47978.0; 600973.0
2022-06-30; 39124.0; 0.0; 0.0; 0.0; 0.0; 369604.0; 3177.0; 160309.0; 14644.0; 43647.0; 221777.0; 591381.0; 492065.0; 29408.0; 20839.0; 50247.0; 542312.0; 21.0; 70772.0; -10361.0; 0.0; 49069.0; 591381.0
2022-03-31; 44303.0; 0.0; 0.0; 0.0; 0.0; 360894.0; 3207.0; 167247.0; 14444.0; 40725.0; 225623.0; 586517.0; 482588.0; 32931.0; 19330.0; 52261.0; 534849.0; 21.0; 69987.0; -6938.0; 0.0; 51668.0; 586517.0
2021-12-31; 28905.0; 0.0; 0.0; 0.0; 0.0; 342984.0; 3305.0; 174821.0; 14000.0; 38174.0; 230300.0; 573284.0; 467879.0; 32125.0; 17893.0; 50018.0; 517897.0; 21.0; 69201.0; -1943.0; 0.0; 55387.0; 573284.0
2021-09-30; 63904.0; 0.0; 0.0; 0.0; 0.0; 361911.0; 3262.0; 149376.0; 13524.0; 39422.0; 205584.0; 567495.0; 458990.0; 35671.0; 18456.0; 54127.0; 513117.0; 21.0; 68297.0; -1792.0; 0.0; 54378.0; 567495.0
2021-06-30; 44573.0; 0.0; 0.0; 0.0; 0.0; 341315.0; 3295.0; 160288.0; 13274.0; 40714.0; 217571.0; 558886.0; 450595.0; 36360.0; 18257.0; 54617.0; 505212.0; 21.0; 67039.0; -1202.0; 0.0; 53674.0; 558886.0
2021-03-31; 43501.0; 0.0; 0.0; 0.0; 0.0; 340576.0; 3388.0; 156003.0; 13367.0; 40041.0; 212799.0; 553375.0; 445859.0; 37419.0; 17789.0; 55208.0; 501067.0; 21.0; 65740.0; -2095.0; 0.0; 52308.0; 553375.0
2020-12-31; 62580.0; 0.0; 0.0; 0.0; 0.0; 361734.0; 3468.0; 136840.0; 12782.0; 39081.0; 192171.0; 553905.0; 441536.0; 41297.0; 17347.0; 58644.0; 500180.0; 21.0; 64188.0; 322.0; 0.0; 53725.0; 553905.0
2020-09-30; 44047.0; 0.0; 0.0; 0.0; 0.0; 351243.0; 3516.0; 134032.0; 12543.0; 39121.0; 189212.0; 540455.0; 426940.0; 42443.0; 17877.0; 60320.0; 487260.0; 21.0; 63391.0; 612.0; 0.0; 53195.0; 540455.0
2020-06-30; 52392.0; 0.0; 0.0; 0.0; 0.0; 363522.0; 3616.0; 128120.0; 12360.0; 39034.0; 183130.0; 546652.0; 433901.0; 42579.0; 17692.0; 60271.0; 494172.0; 21.0; 62526.0; 798.0; 0.0; 52480.0; 546652.0
2020-03-31; 46805.0; 0.0; 0.0; 0.0; 0.0; 363517.0; 3660.0; 123681.0; 12465.0; 39586.0; 179392.0; 542909.0; 421198.0; 52298.0; 17251.0; 69549.0; 490747.0; 21.0; 62544.0; 503.0; 0.0; 52162.0; 542909.0
2019-12-31; 22405.0; 0.0; 0.0; 0.0; 0.0; 320065.0; 3702.0; 122613.0; 12878.0; 36168.0; 175361.0; 495426.0; 385639.0; 40167.0; 17137.0; 57304.0; 442943.0; 21.0; 63186.0; -1373.0; 0.0; 52483.0; 495426.0
2019-09-30; 15272.0; 0.0; 0.0; 0.0; 0.0; 310431.0; 3673.0; 121079.0; 12615.0; 39873.0; 177240.0; 487671.0; 374294.0; 41274.0; 17956.0; 59230.0; 433524.0; 21.0; 62419.0; -1173.0; 0.0; 54147.0; 487671.0
2019-06-30; 16932.0; 0.0; 0.0; 0.0; 0.0; 308760.0; 3690.0; 115580.0; 12709.0; 40980.0; 172959.0; 481719.0; 368209.0; 41008.0; 18962.0; 59970.0; 428179.0; 21.0; 61252.0; -1344.0; 0.0; 53540.0; 481719.0
2019-03-31; 18115.0; 0.0; 0.0; 0.0; 0.0; 304549.0; 3686.0; 114398.0; 12888.0; 40254.0; 171226.0; 475775.0; 363483.0; 40680.0; 18926.0; 59606.0; 423089.0; 21.0; 60092.0; -1773.0; 0.0; 52686.0; 475775.0
2018-12-31; 21453.0; 0.0; 0.0; 0.0; 0.0; 306346.0; 2457.0; 112165.0; 12761.0; 33645.0; 161028.0; 467374.0; 359614.0; 41340.0; 14763.0; 56103.0; 415717.0; 21.0; 59065.0; -2322.0; 0.0; 51657.0; 467374.0
2018-09-30; 20082.0; 0.0; 0.0; 0.0; 0.0; 302122.0; 2438.0; 110958.0; 13074.0; 36015.0; 162485.0; 464607.0; 355046.0; 40894.0; 17660.0; 58554.0; 413600.0; 21.0; 57878.0; -2573.0; 0.0; 51007.0; 464607.0
2018-06-30; 19021.0; 0.0; 0.0; 0.0; 0.0; 298534.0; 2431.0; 112402.0; 12840.0; 35122.0; 162795.0; 461329.0; 358216.0; 37172.0; 15684.0; 52856.0; 411072.0; 21.0; 56742.0; -2315.0; 0.0; 50257.0; 461329.0
2018-03-31; 19246.0; 0.0; 0.0; 0.0; 0.0; 298016.0; 2441.0; 111737.0; 12828.0; 35097.0; 162103.0; 460119.0; 362229.0; 33201.0; 14877.0; 48078.0; 410307.0; 21.0; 55549.0; -2193.0; 0.0; 49812.0; 460119.0
2017-12-31; 19505.0; 0.0; 0.0; 0.0; 0.0; 299566.0; 2432.0; 112499.0; 12662.0; 34881.0; 162474.0; 462040.0; 363866.0; 32259.0; 16249.0; 48508.0; 412374.0; 21.0; 54142.0; -1404.0; 0.0; 49666.0; 462040.0
2017-09-30; 20540.0; 0.0; 0.0; 0.0; 0.0; 299108.0; 2402.0; 111790.0; 12563.0; 33364.0; 160119.0; 459227.0; 358445.0; 34515.0; 16916.0; 51431.0; 409876.0; 21.0; 53023.0; -1219.0; 0.0; 49351.0; 459227.0
2017-06-30; 28964.0; 0.0; 0.0; 0.0; 0.0; 306052.0; 2413.0; 111114.0; 12577.0; 31688.0; 157792.0; 463844.0; 361674.0; 37814.0; 15407.0; 53221.0; 414895.0; 21.0; 52033.0; -1246.0; 0.0; 48949.0; 463844.0
2017-03-31; 20319.0; 0.0; 0.0; 0.0; 0.0; 292818.0; 2432.0; 110424.0; 12661.0; 31187.0; 156704.0; 449522.0; 349056.0; 35948.0; 16085.0; 52033.0; 401089.0; 21.0; 51069.0; -1439.0; 0.0; 48433.0; 449522.0
2016-12-31; 15705.0; 0.0; 0.0; 0.0; 0.0; 289925.0; 2443.0; 109275.0; 12647.0; 31674.0; 156039.0; 445964.0; 348553.0; 33323.0; 16155.0; 49478.0; 398031.0; 21.0; 50151.0; -1535.0; 0.0; 47933.0; 445964.0
2016-09-30; 23664.0; 0.0; 0.0; 0.0; 0.0; 296731.0; 2449.0; 110028.0; 12244.0; 32682.0; 157403.0; 454134.0; 350290.0; 37978.0; 17467.0; 55445.0; 405735.0; 21.0; 49231.0; -579.0; 0.0; 48399.0; 454134.0
2016-06-30; 14038.0; 0.0; 0.0; 0.0; 0.0; 283064.0; 2459.0; 108520.0; 12211.0; 32209.0; 155399.0; 438463.0; 336023.0; 36941.0; 17470.0; 54411.0; 390434.0; 21.0; 48269.0; -562.0; 0.0; 48029.0; 438463.0
2016-03-31; 10981.0; 0.0; 0.0; 0.0; 0.0; 275655.0; 2486.0; 107025.0; 12410.0; 31062.0; 152983.0; 428638.0; 330125.0; 34872.0; 16248.0; 51120.0; 381245.0; 21.0; 47267.0; -744.0; 0.0; 47393.0; 428638.0
