Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 980.2; 0.0; 0.0; 0.0; 68.3; 1048.5; 235.2; 0.0; 197.5; 32.7; 695.9; 1744.4; 1095.1; 1787.4; 64.9; 2191.7; 3286.8; 12843.8; -14383.5; -2.7; 0.0; -1542.4; 1744.4
2022-06-30; 996.9; 0.0; 0.0; 0.0; 65.3; 1062.2; 240.1; 0.0; 197.5; 32.1; 700.3; 1762.5; 1067.2; 1786.8; 64.8; 2150.3; 3217.5; 13100.9; -14553.0; -2.9; 0.0; -1455.0; 1762.5
2022-03-31; 1209.6; 0.0; 0.0; 0.0; 58.1; 1267.7; 244.9; 0.0; 197.5; 32.3; 705.5; 1973.2; 1088.5; 1786.3; 79.3; 2169.8; 3258.3; 13438.2; -14720.3; -3.0; 0.0; -1285.1; 1973.2
2021-12-31; 1205.8; 0.0; 0.0; 0.0; 62.9; 1268.7; 251.2; 0.0; 197.5; 35.7; 715.1; 1983.8; 1074.0; 1785.7; 78.6; 2170.3; 3244.3; 13620.1; -14877.8; -2.8; 0.0; -1260.5; 1983.8
2021-09-30; 1198.42; 0.0; 0.0; 0.0; 65.99; 1264.41; 249.09; 0.0; 197.53; 38.51; 550.3; 1814.71; 1048.17; 1785.15; 84.87; 2184.11; 3232.28; 13793.05; -15207.85; -2.77; 0.0; -1417.58; 1814.71
2021-06-30; 1122.99; 0.0; 0.0; 0.0; 66.08; 1189.07; 247.69; 0.0; 197.53; 40.65; 552.31; 1741.38; 998.33; 1784.65; 86.3; 2160.83; 3159.16; 13949.53; -15364.48; -2.83; 0.0; -1417.79; 1741.38
2021-03-31; 1181.18; 0.0; 0.0; 0.0; 54.37; 1235.55; 241.14; 0.0; 197.53; 41.11; 547.35; 1782.9; 1010.22; 1790.71; 95.44; 2176.44; 3186.66; 14111.24; -15512.25; -2.75; 0.0; -1403.76; 1782.9
2020-12-31; 1166.91; 0.0; 0.0; 0.0; 51.03; 1217.94; 245.57; 0.0; 197.53; 37.96; 548.97; 1766.91; 988.69; 1790.08; 95.49; 2168.41; 3157.11; 14275.16; -15662.6; -2.76; 0.0; -1390.2; 1766.91
2020-09-30; 1150.36; 0.0; 0.0; 0.0; 55.77; 1206.13; 248.59; 0.0; 197.53; 35.16; 558.18; 1764.31; 978.01; 1789.45; 101.21; 2172.55; 3150.55; 14436.41; -15819.92; -2.74; 0.0; -1386.25; 1764.31
2020-06-30; 1194.57; 0.0; 0.0; 0.0; 55.08; 1249.65; 250.29; 0.0; 197.53; 40.61; 570.48; 1820.13; 1018.33; 1788.82; 131.65; 2202.12; 3220.45; 14592.93; -15990.89; -2.36; 0.0; -1400.32; 1820.13
2020-03-31; 1138.63; 0.0; 0.0; 0.0; 46.86; 1185.49; 247.76; 0.0; 197.53; 38.69; 568.37; 1753.86; 955.67; 1788.19; 138.08; 2207.3; 3162.97; 14734.62; -16143.37; -0.36; 0.0; -1409.11; 1753.86
2019-12-31; 1218.06; 0.0; 0.0; 0.0; 60.53; 1278.59; 250.28; 0.0; 197.53; 39.81; 575.42; 1854.01; 965.17; 1787.57; 312.68; 2378.94; 3344.11; 14990.01; -16477.49; -2.62; 0.0; -1490.1; 1854.01
2019-09-30; 1230.01; 0.0; 0.0; 0.0; 68.14; 1298.15; 250.16; 0.0; 197.53; 40.33; 588.58; 1886.73; 960.88; 1786.93; 309.1; 2377.77; 3338.65; 0.35; -16625.81; -2.42; 0.0; -1451.92; 1886.73
2019-06-30; 1224.94; 0.0; 0.0; 0.0; 70.44; 1295.38; 250.82; 0.0; 197.53; 36.25; 594.52; 1889.9; 934.68; 1786.31; 307.94; 2380.38; 3315.07; 0.35; -16779.73; -2.73; 0.0; -1425.17; 1889.9
2019-03-31; 1252.99; 0.0; 0.0; 0.0; 62.28; 1315.27; 252.24; 0.0; 197.53; 34.45; 604.41; 1919.68; 941.28; 1785.68; 309.12; 2384.53; 3325.8; 0.35; -16927.26; -2.76; 0.0; -1406.13; 1919.68
2018-12-31; 1269.67; 0.0; 0.0; 0.0; 47.37; 1317.03; 253.91; 0.0; 197.53; 41.05; 597.47; 1914.5; 947.59; 1785.05; 281.62; 2352.39; 3299.98; 0.35; -17089.79; -2.81; 0.0; -1385.47; 1914.5
2018-09-30; 1178.97; 0.0; 0.0; 0.0; 57.02; 1235.98; 256.27; 0.0; 197.53; 27.08; 648.65; 1884.63; 913.64; 1784.42; 300.94; 2372.09; 3285.73; 0.35; -17271.98; -3.0; 0.0; -1401.1; 1884.63
2018-06-30; 1171.28; 0.0; 0.0; 0.0; 57.64; 1228.91; 256.06; 0.0; 197.53; 27.18; 682.67; 1911.59; 921.23; 1783.79; 298.56; 2371.35; 3292.57; 0.35; -17409.66; -2.68; 0.0; -1380.99; 1911.59
2018-03-31; 2356.46; 0.0; 0.0; 0.0; 52.07; 2408.53; 257.54; 0.0; 197.53; 26.31; 496.8; 2905.32; 1548.95; 1783.16; 303.58; 2591.11; 4140.06; 0.33; -17538.02; -2.7; 0.0; -1234.73; 2905.32
2017-12-31; 2414.75; 0.0; 0.0; 0.0; 31.4; 2446.15; 263.51; 0.0; 197.53; 18.6; 495.04; 2941.19; 1560.53; 1782.53; 128.2; 2640.93; 4201.46; 0.33; -17694.79; -2.94; 0.0; -1260.27; 2941.19
2017-09-30; 2365.73; 0.0; 0.0; 0.0; 40.29; 2406.02; 265.31; 0.0; 197.53; 19.05; 502.34; 2908.36; 1535.52; 1781.91; 130.25; 2602.78; 4138.3; 0.33; -17797.63; -3.15; 0.0; -1229.94; 2908.36
2017-06-30; 1808.44; 0.0; 0.0; 0.0; 35.65; 1844.09; 261.87; 0.0; 197.53; 20.12; 500.16; 2344.25; 1523.14; 1238.11; 112.33; 2024.27; 3547.41; 0.33; -17900.07; -2.89; 0.0; -1203.16; 2344.25
2017-03-31; 1786.37; 0.0; 0.0; 0.0; 30.85; 1817.22; 262.35; 0.0; 197.53; 18.15; 498.3; 2315.52; 1499.39; 1237.65; 113.21; 2003.88; 3503.27; 0.33; -18023.17; -3.11; 0.0; -1187.75; 2315.52
2016-12-31; 1797.91; 0.0; 0.0; 0.0; 44.44; 1842.34; 266.12; 0.0; 197.53; 19.19; 492.23; 2334.57; 1521.95; 1237.19; 117.17; 2013.22; 3535.17; 0.32; -18184.95; -3.45; 0.0; -1200.6; 2334.57
2016-09-30; 1757.71; 15.77; 0.0; 0.0; 21.49; 1794.97; 270.17; 0.0; 197.53; 22.5; 503.01; 2297.98; 1482.43; 1236.73; 116.67; 1984.79; 3467.22; 0.32; -18290.51; -2.69; 0.0; -1169.24; 2297.98
