Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 514.0; 1462.0; 2023.0; 0.0; 200.0; 4199.0; 1402.0; 0.0; 11771.0; 890.0; 14063.0; 18262.0; 3328.0; 3824.0; 835.0; 5009.0; 8337.0; 2.0; 4447.0; -808.0; 0.0; 9925.0; 18262.0
2022-06-30; 501.0; 1422.0; 1918.0; 0.0; 205.0; 4046.0; 1428.0; 0.0; 11990.0; 869.0; 14287.0; 18333.0; 3190.0; 3987.0; 852.0; 5196.0; 8386.0; 2.0; 4314.0; -641.0; 0.0; 9947.0; 18333.0
2022-03-31; 488.0; 1382.0; 1828.0; 0.0; 213.0; 3911.0; 1468.0; 0.0; 12199.0; 860.0; 14527.0; 18438.0; 2880.0; 4225.0; 869.0; 5470.0; 8350.0; 2.0; 4176.0; -449.0; 0.0; 10088.0; 18438.0
2021-12-31; 473.0; 1477.0; 1689.0; 0.0; 193.0; 3832.0; 1497.0; 0.0; 12292.0; 833.0; 14622.0; 18454.0; 2910.0; 4056.0; 884.0; 5305.0; 8215.0; 2.0; 4055.0; -466.0; 0.0; 10239.0; 18454.0
2021-09-30; 456.4; 1367.0; 1689.6; 0.0; 247.1; 3760.1; 1509.0; 0.0; 12384.5; 698.3; 14591.8; 18351.9; 2811.6; 4067.2; 993.0; 5349.1; 8160.7; 2.0; 3887.8; -432.6; 0.0; 10191.2; 18351.9
2021-06-30; 453.5; 1452.6; 1661.2; 0.0; 240.9; 3808.2; 1544.3; 0.0; 12529.2; 630.7; 14704.2; 18512.4; 2844.7; 4079.6; 958.1; 5339.9; 8184.6; 2.0; 3780.1; -375.8; 0.0; 10327.8; 18512.4
2021-03-31; 483.5; 1403.0; 1671.5; 0.0; 221.0; 3779.0; 1575.5; 0.0; 12552.9; 635.8; 14764.2; 18543.2; 3168.9; 3923.3; 977.5; 5197.2; 8366.1; 2.0; 3678.3; -409.0; 0.0; 10177.1; 18543.2
2020-12-31; 599.0; 1412.0; 1642.0; 0.0; 227.0; 3880.0; 1601.0; 0.0; 12354.0; 619.0; 14574.0; 18454.0; 3226.0; 3792.0; 1001.0; 5075.0; 8301.0; 2.0; 3589.0; -339.0; 0.0; 10153.0; 18454.0
2020-09-30; 559.3; 1433.5; 1779.7; 0.0; 163.7; 3936.2; 1603.7; 0.0; 12255.7; 648.8; 14508.2; 18444.4; 3228.6; 3799.9; 1094.3; 5163.4; 8392.0; 2.0; 3524.2; -482.2; 0.0; 10052.4; 18444.4
2020-06-30; 587.9; 1410.3; 1799.5; 0.0; 172.0; 3969.7; 1612.4; 0.0; 12245.3; 638.0; 14495.7; 18465.4; 3483.2; 3768.7; 1070.7; 5101.6; 8584.8; 2.0; 3419.0; -537.8; 0.0; 9880.6; 18465.4
2020-03-31; 615.9; 1672.0; 1785.7; 0.0; 167.5; 4241.1; 1623.0; 0.0; 12283.7; 625.3; 14532.0; 18773.1; 2981.6; 4655.1; 1078.1; 5993.8; 8975.4; 2.0; 3355.6; -560.6; 0.0; 9797.7; 18773.1
2019-12-31; 604.2; 1663.9; 1773.1; 0.0; 150.9; 4192.1; 1655.8; 0.0; 12464.6; 631.7; 14752.1; 18944.2; 3258.0; 4333.6; 1100.7; 5692.6; 8950.6; 2.0; 3267.0; -382.6; 0.0; 9993.6; 18944.2
2019-09-30; 587.4; 1673.3; 1957.3; 0.0; 192.4; 4410.4; 1622.7; 0.0; 12310.2; 557.6; 14490.5; 18900.9; 3198.9; 4633.5; 1173.9; 5972.6; 9171.5; 2.0; 3154.8; -468.6; 0.0; 9729.4; 18900.9
2019-06-30; 461.37; 1707.41; 1881.79; 0.0; 178.57; 4229.14; 1646.1; 0.0; 12515.03; 552.33; 14713.45; 18942.59; 3211.32; 4528.77; 1101.87; 5896.12; 9107.44; 1.98; 3087.47; -289.18; 0.0; 9835.16; 18942.59
2019-03-31; 512.87; 1726.82; 1947.22; 0.0; 194.22; 4381.14; 1634.97; 0.0; 12506.49; 555.31; 14696.77; 19077.9; 3254.43; 4641.29; 1129.09; 6043.02; 9297.46; 1.98; 3005.81; -309.0; 0.0; 9780.45; 19077.9
2018-12-31; 2342.3; 1146.8; 844.9; 0.0; 115.6; 4449.6; 563.8; 0.0; 3526.4; 109.4; 4199.6; 8649.2; 1646.6; 3792.8; 47.0; 4133.5; 5780.1; 1.3; 3022.0; -256.6; 0.0; 2869.1; 8649.2
2018-09-30; 2135.38; 1240.52; 866.21; 0.0; 111.44; 4353.55; 557.42; 0.0; 3569.98; 72.28; 4199.68; 8553.23; 1530.29; 3818.06; 45.66; 4112.58; 5642.87; 1.32; 2999.14; -205.73; 0.0; 2910.35; 8553.23
2018-06-30; 245.57; 1213.23; 863.79; 0.0; 124.29; 2446.89; 555.83; 0.0; 3602.99; 71.89; 4230.72; 6677.61; 1606.47; 1857.81; 84.35; 2196.51; 3802.98; 1.32; 2922.99; -156.2; 0.0; 2874.63; 6677.61
2018-03-31; 249.89; 1268.7; 829.28; 0.0; 117.95; 2465.81; 573.4; 0.0; 3760.55; 76.02; 4409.97; 6875.78; 1648.05; 1871.08; 80.09; 2239.5; 3887.55; 1.32; 2850.14; 34.02; 0.0; 2988.23; 6875.78
2017-12-31; 233.4; 1166.79; 742.63; 0.0; 122.29; 2265.11; 573.97; 0.0; 3664.53; 76.36; 4314.87; 6579.98; 1573.33; 1823.3; 75.18; 2178.12; 3751.45; 1.32; 2773.3; -44.99; 0.0; 2828.53; 6579.98
2017-09-30; 228.08; 1144.34; 764.78; 0.0; 139.93; 2277.12; 550.37; 0.0; 3525.14; 97.01; 4172.52; 6449.65; 1465.44; 1824.16; 32.95; 2247.84; 3713.28; 1.32; 2735.88; -91.93; 0.0; 2736.37; 6449.65
2017-06-30; 328.52; 1128.99; 746.24; 0.0; 141.06; 2344.81; 547.84; 0.0; 3472.97; 73.12; 4093.93; 6438.74; 1482.1; 1934.6; 37.36; 2372.27; 3854.37; 1.32; 2679.99; -184.55; 0.0; 2584.37; 6438.74
2017-03-31; 280.18; 1051.54; 703.88; 0.0; 130.63; 2166.23; 524.06; 0.0; 3277.61; 62.99; 3864.67; 6030.9; 1471.41; 1782.62; 39.75; 2190.72; 3662.13; 1.32; 2617.57; -331.65; 0.0; 2368.77; 6030.9
2016-12-31; 398.48; 942.51; 658.51; 0.0; 868.13; 2867.63; 518.38; 0.0; 3132.62; 62.39; 3713.39; 6581.02; 1446.64; 1762.97; 38.31; 2157.55; 3604.19; 1.32; 2553.26; -379.61; 0.0; 2976.82; 6581.02
2016-09-30; 250.38; 624.23; 496.0; 0.0; 248.78; 1695.13; 357.97; 0.0; 1334.32; 40.74; 1733.03; 3428.16; 624.93; 819.77; 40.45; 1072.73; 1697.67; 1.32; 2524.35; -286.06; 0.0; 1730.49; 3428.16
2016-06-30; 302.94; 586.35; 493.44; 0.0; 241.93; 1700.36; 348.65; 0.0; 1290.36; 39.83; 1678.84; 3379.2; 664.55; 744.14; 42.61; 988.8; 1653.36; 1.32; 2450.88; -290.35; 0.0; 1725.84; 3379.2
2016-03-31; 262.77; 619.79; 478.72; 0.0; 253.04; 1686.57; 353.87; 0.0; 1304.77; 35.58; 1694.22; 3380.78; 657.67; 801.88; 41.96; 1044.73; 1702.4; 1.32; 2367.61; -249.1; 0.0; 1678.39; 3380.78
2015-12-31; 226.19; 598.79; 478.57; 0.0; 236.47; 1540.02; 353.19; 0.0; 1299.07; 37.23; 1689.49; 3229.51; 664.78; 691.8; 43.31; 863.4; 1528.17; 1.32; 2280.8; -276.72; 0.0; 1701.34; 3229.51
2015-09-30; 208.24; 625.34; 517.49; 0.0; 253.0; 1650.09; 351.23; 0.0; 1289.99; 34.77; 1675.99; 3326.08; 654.65; 450.59; 43.21; 685.99; 1340.64; 1.32; 2186.67; -257.21; 0.0; 1985.44; 3326.08
2015-06-30; 264.84; 680.27; 535.0; 0.0; 55.64; 1579.97; 356.97; 0.0; 1319.45; 41.73; 1718.16; 3298.12; 699.53; 400.35; 44.09; 642.26; 1341.79; 1.32; 2095.22; -209.7; 0.0; 1956.33; 3298.12
2015-03-31; 249.13; 665.67; 515.95; 0.0; 28.77; 1503.93; 349.04; 0.0; 1275.52; 39.01; 1663.57; 3167.51; 695.77; 420.41; 42.13; 654.38; 1350.15; 1.32; 1999.52; -245.59; 0.0; 1817.35; 3167.51
2014-12-31; 425.85; 631.23; 510.95; 0.0; 25.89; 1637.86; 339.11; 0.0; 1285.15; 41.72; 1665.98; 3303.84; 738.8; 520.4; 41.52; 756.74; 1495.54; 1.32; 1909.14; -159.49; 0.0; 1808.3; 3303.84
2014-09-30; 212.54; 715.11; 489.05; 0.0; 64.87; 1533.81; 342.37; 0.0; 1313.99; 38.22; 1694.58; 3228.39; 674.75; 521.09; 37.02; 764.03; 1438.78; 1.32; 1822.22; -84.28; 0.0; 1789.61; 3228.39
2014-06-30; 225.91; 717.05; 481.51; 0.0; 49.87; 1526.85; 343.15; 0.0; 1257.0; 36.86; 1637.02; 3163.87; 668.42; 500.22; 46.0; 729.76; 1398.18; 1.32; 1737.85; -25.96; 0.0; 1765.69; 3163.87
2014-03-31; 295.1; 636.65; 420.06; 0.0; 30.46; 1434.18; 273.65; 0.0; 1168.15; 40.54; 1482.34; 2916.52; 580.9; 450.25; 37.16; 655.23; 1236.13; 1.32; 1653.01; -34.06; 0.0; 1680.39; 2916.52
2013-12-31; 285.76; 554.5; 403.23; 0.0; 38.93; 1333.05; 276.08; 0.0; 1172.11; 40.76; 1488.95; 2822.0; 579.4; 450.29; 40.65; 655.43; 1234.83; 1.32; 1576.7; -34.86; 0.0; 1587.17; 2822.0
2013-09-30; 281.01; 570.28; 400.3; 0.0; 31.65; 1344.43; 266.95; 0.0; 1166.89; 38.7; 1472.55; 2816.98; 541.76; 539.61; 39.8; 758.17; 1299.93; 1.32; 1506.51; -52.08; 0.0; 1517.05; 2816.98
2013-06-30; 214.5; 488.45; 405.94; 0.0; 20.72; 1189.98; 240.97; 0.0; 1044.79; 40.65; 1326.4; 2516.39; 524.27; 396.92; 38.77; 586.41; 1110.68; 1.32; 1436.57; -86.11; 0.0; 1405.71; 2516.39
2013-03-31; 225.34; 432.8; 428.58; 0.0; 21.36; 1168.99; 242.72; 0.0; 1053.32; 41.16; 1337.19; 2506.18; 560.98; 417.53; 43.19; 613.93; 1174.91; 0.66; 1365.0; -79.3; 0.0; 1331.27; 2506.18
2012-12-31; 215.77; 389.92; 407.04; 0.0; 19.32; 1092.94; 244.09; 0.0; 974.34; 39.99; 1258.6; 2351.54; 553.06; 317.85; 41.05; 516.47; 1069.53; 1.32; 1297.11; -53.56; 0.0; 1282.02; 2351.54
2012-09-30; 282.06; 430.23; 391.59; 0.0; 21.58; 1184.05; 229.15; 0.0; 941.82; 41.02; 1211.99; 2396.04; 540.69; 432.85; 40.34; 624.33; 1165.03; 0.66; 1235.42; -55.08; 0.0; 1231.02; 2396.04
2012-06-30; 234.1; 442.14; 388.8; 0.0; 19.61; 1143.46; 226.71; 0.0; 921.62; 40.11; 1188.43; 2331.9; 550.31; 443.09; 33.42; 627.43; 1177.74; 0.66; 1174.8; -66.3; 0.0; 1154.15; 2331.9
2012-03-31; 269.3; 396.49; 370.74; 0.0; 20.16; 1114.02; 225.02; 0.0; 847.87; 32.58; 1105.55; 2219.57; 535.56; 385.83; 35.55; 560.14; 1095.69; 0.66; 1111.53; -49.67; 0.0; 1123.88; 2219.57
2011-12-31; 285.62; 346.28; 348.17; 0.0; 18.37; 1055.78; 222.02; 0.0; 844.89; 36.02; 1103.17; 2158.95; 541.38; 395.81; 36.06; 569.92; 1111.31; 0.66; 1053.71; -60.9; 0.0; 1047.64; 2158.95
2011-09-30; 221.14; 346.44; 324.88; 0.0; 18.9; 950.38; 209.92; 0.0; 803.05; 39.99; 1055.24; 2005.62; 453.59; 366.09; 38.36; 537.76; 991.36; 0.66; 1008.89; -46.0; 0.0; 1014.26; 2005.62
2011-06-30; 221.47; 336.67; 311.17; 0.0; 23.18; 931.93; 218.44; 0.0; 821.38; 36.43; 1079.55; 2011.48; 456.14; 356.19; 37.95; 537.02; 993.16; 0.66; 963.73; -10.39; 0.0; 1018.32; 2011.48
