Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 307061.0; 0.0; 0.0; 0.0; 0.0; 1249830.0; 8493.0; 475829.0; 36199.0; 107394.0; 627915.0; 1877745.0; 1519524.0; 156412.0; 23400.0; 179812.0; 1699336.0; 9136.0; 186551.0; -14344.0; 0.0; 178409.0; 1877745.0
2022-06-30; 299843.0; 0.0; 0.0; 0.0; 0.0; 1241465.0; 8444.0; 489389.0; 35564.0; 106280.0; 639677.0; 1881142.0; 1533890.0; 150291.0; 17168.0; 167459.0; 1701349.0; 9136.0; 184475.0; -10608.0; 0.0; 179793.0; 1881142.0
2022-03-31; 356331.0; 0.0; 0.0; 0.0; 0.0; 1276458.0; 8473.0; 519999.0; 34934.0; 99845.0; 663251.0; 1939709.0; 1589184.0; 153337.0; 15499.0; 168836.0; 1758020.0; 9136.0; 182623.0; -6767.0; 0.0; 181689.0; 1939709.0
2021-12-31; 388718.0; 0.0; 0.0; 0.0; 0.0; 1295239.0; 8571.0; 522152.0; 33369.0; 88737.0; 652829.0; 1948068.0; 1587845.0; 160689.0; 9424.0; 170113.0; 1757958.0; 9136.0; 180322.0; -1702.0; 0.0; 190110.0; 1948068.0
2021-09-30; 429437.0; 0.0; 0.0; 0.0; 0.0; 1303558.0; 8599.0; 514576.0; 34339.0; 93829.0; 651343.0; 1954901.0; 1587872.0; 162982.0; 12976.0; 175958.0; 1763830.0; 9136.0; 175709.0; -1177.0; 0.0; 191071.0; 1954901.0
2021-06-30; 427049.0; 0.0; 0.0; 0.0; 0.0; 1289795.0; 8745.0; 515385.0; 34203.0; 97868.0; 656201.0; 1945996.0; 1558662.0; 179656.0; 14551.0; 194207.0; 1752869.0; 9136.0; 171765.0; -564.0; 0.0; 193127.0; 1945996.0
2021-03-31; 439019.0; 0.0; 0.0; 0.0; 0.0; 1319097.0; 8760.0; 493023.0; 35122.0; 103541.0; 640446.0; 1959543.0; 1572953.0; 183312.0; 14930.0; 198242.0; 1771195.0; 9136.0; 166772.0; -1250.0; 0.0; 188348.0; 1959543.0
2020-12-31; 405379.0; 0.0; 0.0; 0.0; 0.0; 1310884.0; 8895.0; 486120.0; 33829.0; 113183.0; 642027.0; 1952911.0; 1537740.0; 212950.0; 16509.0; 229459.0; 1767199.0; 9136.0; 162683.0; 194.0; 0.0; 185712.0; 1952911.0
2020-09-30; 389327.0; 0.0; 0.0; 0.0; 0.0; 1314950.0; 8977.0; 454337.0; 34067.0; 109889.0; 607270.0; 1922220.0; 1510710.0; 215711.0; 13767.0; 229478.0; 1740188.0; 9136.0; 160913.0; -750.0; 0.0; 182032.0; 1922220.0
2020-06-30; 416471.0; 0.0; 0.0; 0.0; 0.0; 1366394.0; 9025.0; 450395.0; 34565.0; 108387.0; 602372.0; 1968766.0; 1546355.0; 230921.0; 11368.0; 242289.0; 1788644.0; 9136.0; 159952.0; -798.0; 0.0; 180122.0; 1968766.0
2020-03-31; 317699.0; 0.0; 0.0; 0.0; 0.0; 1339957.0; 9108.0; 475185.0; 35913.0; 121186.0; 641392.0; 1981349.0; 1545059.0; 237342.0; 15618.0; 252960.0; 1798019.0; 9136.0; 165308.0; -1564.0; 0.0; 183330.0; 1981349.0
2019-12-31; 323123.0; 0.0; 0.0; 0.0; 0.0; 1300156.0; 9309.0; 485633.0; 39337.0; 93120.0; 627399.0; 1927555.0; 1502301.0; 228191.0; 9079.0; 237270.0; 1739571.0; 9136.0; 166697.0; -1311.0; 0.0; 187984.0; 1927555.0
2019-09-30; 330895.0; 0.0; 0.0; 0.0; 0.0; 1303075.0; 9315.0; 488299.0; 38857.0; 104404.0; 640875.0; 1943950.0; 1508935.0; 230651.0; 9948.0; 240599.0; 1749534.0; 9136.0; 166320.0; -1639.0; 0.0; 194416.0; 1943950.0
2019-06-30; 346754.0; 0.0; 0.0; 0.0; 0.0; 1311119.0; 9435.0; 473396.0; 39918.0; 89520.0; 612269.0; 1923388.0; 1473476.0; 241476.0; 8399.0; 249875.0; 1723351.0; 9136.0; 164551.0; -2224.0; 0.0; 200037.0; 1923388.0
2019-03-31; 317967.0; 0.0; 0.0; 0.0; 0.0; 1272350.0; 8825.0; 471529.0; 41183.0; 93905.0; 615442.0; 1887792.0; 1445327.0; 236339.0; 7393.0; 243732.0; 1689059.0; 9136.0; 160776.0; -3682.0; 0.0; 198733.0; 1887792.0
2018-12-31; 323483.0; 0.0; 0.0; 0.0; 0.0; 1283985.0; 8920.0; 469848.0; 42510.0; 90620.0; 611898.0; 1895883.0; 1461274.0; 229044.0; 8499.0; 237543.0; 1698817.0; 9136.0; 158163.0; -6336.0; 0.0; 197066.0; 1895883.0
2018-09-30; 308182.0; 0.0; 0.0; 0.0; 0.0; 1261451.0; 8802.0; 468850.0; 43819.0; 90059.0; 611530.0; 1872981.0; 1443393.0; 221323.0; 8586.0; 229909.0; 1673302.0; 9136.0; 154576.0; -6873.0; 0.0; 199679.0; 1872981.0
2018-06-30; 309235.0; 0.0; 0.0; 0.0; 0.0; 1268224.0; 8882.0; 467398.0; 43247.0; 91949.0; 611476.0; 1879700.0; 1445840.0; 219284.0; 8507.0; 227791.0; 1673631.0; 9136.0; 150803.0; -5461.0; 0.0; 206069.0; 1879700.0
2018-03-31; 335811.0; 0.0; 0.0; 0.0; 0.0; 1294271.0; 8828.0; 472037.0; 42897.0; 97355.0; 621117.0; 1915388.0; 1474293.0; 227302.0; 7883.0; 235185.0; 1709478.0; 9136.0; 147928.0; -4921.0; 0.0; 205910.0; 1915388.0
2017-12-31; 353596.0; 0.0; 0.0; 0.0; 0.0; 1320563.0; 8847.0; 478239.0; 41636.0; 102472.0; 631194.0; 1951757.0; 1509862.0; 225020.0; 8796.0; 233816.0; 1743678.0; 9136.0; 145263.0; -2144.0; 0.0; 208079.0; 1951757.0
2017-09-30; 380715.0; 0.0; 0.0; 0.0; 0.0; 1341676.0; 8449.0; 414633.0; 41325.0; 128856.0; 593263.0; 1934939.0; 1479725.0; 238893.0; 9497.0; 248390.0; 1728115.0; 9136.0; 141761.0; -1627.0; 0.0; 206824.0; 1934939.0
2017-06-30; 368561.0; 0.0; 0.0; 0.0; 0.0; 1339874.0; 8403.0; 409594.0; 40761.0; 132239.0; 590997.0; 1930871.0; 1474221.0; 238869.0; 11636.0; 250505.0; 1724726.0; 9136.0; 139524.0; -2110.0; 0.0; 206145.0; 1930871.0
