Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 1130.75; 5913.52; 0.0; 0.0; 0.0; 7044.27; 414.23; 22815.72; 169.65; 1866.02; 26032.55; 33076.82; 22495.19; 2842.48; 1369.17; 4211.65; 26706.84; 105.8; 9805.24; -1385.81; 0.0; 6369.98; 33076.82
2022-06-30; 1316.6; 5856.5; 0.0; 0.0; 0.0; 7173.1; 415.45; 22401.7; 169.65; 1779.36; 25519.35; 32692.45; 21937.05; 2840.28; 1378.24; 4218.52; 26155.57; 105.8; 9602.95; -1029.63; 0.0; 6536.87; 32692.45
2022-03-31; 2114.84; 5528.52; 0.0; 0.0; 0.0; 7643.36; 417.89; 21807.69; 169.65; 1495.72; 24607.59; 32250.95; 21331.01; 2841.99; 1190.16; 4032.15; 25363.15; 105.8; 9582.79; -649.23; 0.0; 6887.8; 32250.95
2021-12-31; 1568.84; 5446.0; 0.0; 0.0; 0.0; 7014.84; 419.88; 22294.75; 169.65; 1472.6; 25033.04; 32047.88; 20806.66; 3267.07; 1306.41; 4573.48; 25380.15; 105.8; 9015.14; -281.95; 0.0; 6667.73; 32047.88
2021-09-30; 2069.03; 5538.09; 0.0; 0.0; 0.0; 7607.11; 419.94; 21237.28; 169.65; 1447.66; 23937.17; 31544.29; 20246.37; 3266.12; 1368.09; 4634.21; 24880.58; 70.53; 8920.33; -190.86; 0.0; 6663.71; 31544.29
2021-06-30; 1790.2; 5530.5; 0.0; 0.0; 0.0; 7320.7; 428.72; 20350.03; 169.65; 1401.17; 22977.22; 30297.92; 19560.76; 2919.05; 1230.16; 4149.21; 23709.96; 70.53; 8682.09; -122.44; 0.0; 6587.95; 30297.92
2021-03-31; 2014.91; 5067.52; 0.0; 0.0; 0.0; 7082.43; 404.28; 20157.33; 169.65; 1383.27; 22708.84; 29791.27; 18832.25; 3310.41; 1141.66; 4528.74; 23360.99; 70.53; 8556.62; -148.25; 0.0; 6430.28; 29791.27
2020-12-31; 2372.37; 5117.03; 0.0; 0.0; 0.0; 7489.39; 405.93; 18602.23; 169.65; 1354.48; 21117.52; 28606.91; 18283.74; 2725.33; 1188.59; 3997.37; 22281.12; 70.53; 8348.38; -62.17; 0.0; 6325.8; 28606.91
2020-09-30; 2571.45; 4738.25; 0.0; 0.0; 0.0; 7309.69; 410.23; 18407.4; 169.65; 1354.66; 20902.67; 28212.37; 17920.67; 3072.81; 1179.21; 4252.02; 22172.7; 70.53; 8057.56; -170.89; 0.0; 6039.67; 28212.37
2020-06-30; 2430.83; 4714.83; 0.0; 0.0; 0.0; 7145.66; 414.33; 17667.06; 169.65; 1378.63; 20177.63; 27323.29; 17416.62; 2924.65; 1125.71; 4061.28; 21477.9; 70.53; 7927.28; -249.35; 0.0; 5845.39; 27323.29
2020-03-31; 965.01; 4386.71; 0.0; 0.0; 0.0; 5351.72; 422.01; 18180.14; 169.65; 1340.71; 20738.21; 26089.93; 16901.88; 2631.07; 1019.44; 3650.5; 20552.38; 70.53; 7877.37; -589.52; 0.0; 5537.54; 26089.93
