Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 729.0; 485.3; 413.1; 0.0; 106.2; 1733.6; 1069.0; 188.6; 122.1; 52.7; 1583.2; 3316.8; 456.7; 207.2; 33.9; 389.3; 846.0; 18.8; 2913.1; -308.5; 0.0; 2470.8; 3316.8
2022-06-30; 718.5; 528.4; 411.6; 0.0; 112.6; 1771.1; 1077.4; 193.3; 126.6; 49.4; 1590.6; 3361.7; 565.1; 207.8; 34.8; 372.2; 937.3; 18.8; 2792.5; -245.9; 0.0; 2424.4; 3361.7
2022-03-31; 667.7; 498.7; 416.5; 0.0; 107.6; 1690.5; 1065.9; 208.1; 130.6; 40.5; 1604.2; 3294.7; 584.8; 208.3; 38.2; 383.7; 968.5; 18.8; 2617.3; -182.4; 0.0; 2326.2; 3294.7
2021-12-31; 762.6; 489.0; 378.4; 0.0; 112.0; 1742.0; 1057.5; 207.7; 132.9; 39.2; 1571.8; 3313.8; 594.1; 208.8; 38.2; 384.3; 978.4; 18.8; 2456.7; -159.6; 0.0; 2335.4; 3313.8
2021-09-30; 688.0; 476.4; 353.8; 0.0; 80.1; 1598.3; 1006.5; 215.7; 135.0; 31.6; 1544.3; 3142.6; 558.6; 209.9; 27.8; 381.7; 940.3; 18.8; 2335.8; -155.7; 0.0; 2202.3; 3142.6
2021-06-30; 576.2; 480.5; 345.2; 0.0; 75.1; 1477.0; 973.1; 211.7; 137.8; 26.3; 1456.5; 2933.5; 472.6; 251.8; 29.6; 428.3; 900.9; 18.8; 2160.2; -133.2; 0.0; 2032.6; 2933.5
2021-03-31; 483.7; 465.7; 310.2; 0.0; 67.4; 1327.0; 930.8; 211.9; 138.2; 24.8; 1412.7; 2739.7; 482.8; 252.3; 28.3; 427.9; 910.7; 18.8; 1985.4; -140.2; 0.0; 1829.0; 2739.7
2020-12-31; 615.5; 385.3; 321.3; 0.0; 51.6; 1373.7; 943.2; 214.7; 141.6; 23.4; 1420.1; 2793.8; 503.4; 252.9; 31.8; 435.9; 939.3; 18.8; 1846.7; -110.6; 0.0; 1854.5; 2793.8
2020-09-30; 519.4; 373.0; 294.9; 0.0; 51.0; 1238.3; 883.4; 209.6; 139.9; 21.8; 1344.5; 2582.8; 447.7; 253.4; 46.8; 416.2; 863.9; 18.8; 1773.4; -159.5; 0.0; 1718.9; 2582.8
2020-06-30; 445.9; 340.6; 274.8; 0.0; 49.3; 1110.6; 839.8; 199.6; 138.8; 21.3; 1281.7; 2392.3; 375.2; 253.9; 43.4; 410.8; 786.0; 18.8; 1703.0; -187.8; 0.0; 1606.3; 2392.3
