Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 1948.54; 210.03; 68.31; 96.52; 0.0; 2323.41; 8498.81; 0.0; 250.9; 358.32; 9455.94; 11779.34; 1635.04; 11570.44; 62.74; 11741.27; 13376.31; 1.32; -2744.22; 10.39; 0.0; -1596.96; 11779.34
2022-06-30; 2020.5; 186.38; 69.08; 95.26; 0.0; 2371.21; 8596.65; 0.0; 256.52; 207.32; 9417.32; 11788.53; 1617.27; 11367.86; 68.01; 11545.52; 13162.79; 1.32; -2601.33; 9.83; 0.0; -1374.25; 11788.53
2022-03-31; 2323.09; 187.01; 72.24; 83.27; 0.0; 2665.61; 8670.73; 0.0; 272.29; 206.79; 9513.7; 12179.31; 1154.25; 11872.89; 72.11; 12058.32; 13212.57; 1.32; -2471.28; 9.3; 0.0; -1033.26; 12179.31
2021-12-31; 2527.43; 199.46; 69.97; 79.06; 0.0; 2875.92; 8765.31; 0.0; 307.58; 210.66; 9654.91; 12530.83; 1287.88; 11884.55; 79.43; 12079.16; 13367.04; 1.31; -2288.08; 6.0; 0.0; -836.22; 12530.83
2021-09-30; 2479.38; 221.93; 64.04; 90.53; 0.0; 2855.89; 8859.16; 0.0; 286.12; 228.18; 9751.81; 12607.7; 1286.59; 11693.79; 102.75; 11913.69; 13200.28; 1.31; -2110.89; 4.12; 0.0; -592.59; 12607.7
2021-06-30; 2805.29; 245.96; 66.1; 97.74; 0.0; 3215.09; 8925.39; 0.0; 291.51; 204.18; 9807.58; 13022.67; 2538.3; 10612.56; 106.17; 10838.2; 13376.5; 1.31; -1944.67; 6.29; 0.0; -353.84; 13022.67
2021-03-31; 2893.22; 215.34; 65.25; 75.96; 0.0; 3249.77; 9050.18; 0.0; 287.84; 188.53; 9917.15; 13166.91; 1369.88; 11755.17; 123.85; 11999.97; 13369.85; 1.31; -1813.32; 6.5; 0.0; -202.94; 13166.91
2020-12-31; 3482.03; 200.16; 66.28; 64.67; 0.0; 3813.15; 9196.64; 0.0; 278.19; 182.97; 10056.4; 13869.55; 1880.89; 12469.36; 133.49; 12725.98; 14606.86; 1.24; -1532.42; 3.6; 0.0; -737.32; 13869.55
2020-09-30; 3554.89; 178.83; 73.63; 62.13; 0.0; 3869.48; 9313.07; 0.0; 138.74; 239.43; 10097.64; 13967.12; 1688.7; 12562.97; 136.23; 12825.05; 14513.75; 1.23; -1262.95; -0.9; 0.0; -546.63; 13967.12
2020-06-30; 3797.74; 296.32; 84.78; 57.54; 0.0; 4236.38; 9415.31; 0.0; 141.3; 245.66; 10649.29; 14885.67; 1869.85; 12477.18; 110.05; 12741.63; 14611.48; 1.23; -505.09; -0.91; 0.0; 274.2; 14885.67
2020-03-31; 2880.97; 380.77; 86.18; 67.44; 0.0; 3415.36; 9539.41; 0.0; 143.86; 240.75; 10857.98; 14273.35; 1884.84; 11133.05; 106.86; 11396.03; 13280.87; 1.23; 132.27; -0.95; 0.0; 992.48; 14273.35
2019-12-31; 2351.9; 346.43; 88.52; 69.48; 0.0; 2856.34; 9623.83; 0.0; 146.41; 229.52; 11014.94; 13871.28; 1982.88; 10079.98; 107.76; 10346.92; 12329.81; 1.23; 641.82; -1.68; 0.0; 1541.47; 13871.28
2019-09-30; 1676.11; 286.61; 80.49; 68.05; 0.0; 2111.25; 9621.27; 0.0; 148.97; 231.79; 11165.81; 13277.06; 1930.38; 9421.84; 108.98; 9680.8; 11611.18; 1.23; 822.07; -2.7; 0.0; 1665.88; 13277.06
2019-06-30; 1501.89; 296.7; 81.77; 86.97; 0.0; 1967.32; 9640.7; 0.0; 133.07; 232.97; 11197.95; 13165.27; 1975.35; 9095.29; 92.25; 9338.99; 11314.33; 1.23; 932.91; -1.99; 0.0; 1850.94; 13165.27
2019-03-31; 1822.89; 259.8; 67.37; 91.76; 0.0; 2241.83; 9361.91; 0.0; 133.84; 243.03; 10919.4; 13161.23; 1877.93; 9133.56; 94.03; 9368.06; 11245.98; 1.23; 945.97; -2.59; 0.0; 1915.24; 13161.23
2018-12-31; 2215.0; 276.64; 66.63; 83.1; 0.0; 2641.38; 9385.92; 0.0; 222.51; 230.01; 10574.89; 13216.27; 1882.06; 9411.14; 108.28; 9519.42; 11401.48; 1.22; 921.78; -1.95; 0.0; 1814.79; 13216.27
2018-09-30; 1949.25; 232.67; 63.08; 91.32; 0.0; 2336.32; 9221.03; 0.0; 223.38; 235.45; 10041.17; 12377.49; 2047.4; 8695.33; 94.47; 8789.8; 10837.21; 1.22; 537.77; -2.08; 0.0; 1540.28; 12377.49
