Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 30464.0; 0.0; 24096.0; 0.0; 2318.0; 99289.0; 203102.0; 50235.0; 0.0; 17526.0; 270863.0; 370152.0; 74057.0; 39246.0; 25733.0; 103052.0; 177109.0; 16106.0; 423877.0; -17803.0; 0.0; 193043.0; 370152.0
2022-06-30; 18861.0; 0.0; 23585.0; 0.0; 2654.0; 93163.0; 209159.0; 46820.0; 0.0; 18632.0; 274611.0; 367774.0; 80110.0; 39516.0; 25425.0; 103156.0; 183266.0; 16018.0; 407902.0; -15017.0; 0.0; 184508.0; 367774.0
2022-03-31; 11074.0; 0.0; 22177.0; 0.0; 1862.0; 77255.0; 212773.0; 46329.0; 0.0; 18414.0; 277516.0; 354771.0; 72059.0; 42651.0; 25747.0; 106186.0; 178245.0; 15879.0; 393779.0; -12914.0; 0.0; 176526.0; 354771.0
2021-12-31; 6802.0; 0.0; 18780.0; 0.0; 1189.0; 59154.0; 216552.0; 45195.0; 0.0; 18022.0; 279769.0; 338923.0; 56643.0; 43428.0; 24574.0; 106597.0; 163240.0; 15746.0; 392059.0; -13764.0; 0.0; 175683.0; 338923.0
2021-09-30; 4768.0; 0.0; 19607.0; 0.0; 1664.0; 55555.0; 218795.0; 45641.0; 0.0; 16697.0; 281133.0; 336688.0; 61856.0; 43639.0; 23619.0; 107326.0; 169182.0; 16104.0; 386952.0; -16696.0; 0.0; 167506.0; 336688.0
2021-06-30; 3465.0; 0.0; 19275.0; 0.0; 1562.0; 52842.0; 223012.0; 44774.0; 0.0; 16661.0; 284447.0; 337289.0; 62238.0; 45319.0; 23583.0; 109495.0; 171733.0; 16006.0; 383922.0; -15586.0; 0.0; 165556.0; 337289.0
2021-03-31; 3515.0; 0.0; 18357.0; 0.0; 1568.0; 48195.0; 224641.0; 44181.0; 0.0; 16753.0; 285575.0; 333770.0; 60150.0; 45137.0; 24434.0; 109519.0; 169669.0; 15884.0; 382953.0; -16090.0; 0.0; 164101.0; 333770.0
2020-12-31; 4364.0; 0.0; 18850.0; 0.0; 1098.0; 44893.0; 227553.0; 43515.0; 0.0; 16789.0; 287857.0; 332750.0; 56363.0; 47182.0; 24495.0; 112257.0; 168620.0; 15688.0; 383943.0; -16705.0; 0.0; 164130.0; 332750.0
2020-09-30; 8832.0; 0.0; 17885.0; 0.0; 2002.0; 48693.0; 250496.0; 43609.0; 0.0; 15245.0; 309350.0; 358043.0; 56468.0; 46888.0; 23511.0; 116963.0; 173431.0; 15997.0; 407728.0; -20189.0; 0.0; 184612.0; 358043.0
2020-06-30; 12576.0; 0.0; 19657.0; 0.0; 1747.0; 53016.0; 250524.0; 43192.0; 0.0; 14763.0; 308479.0; 361495.0; 57270.0; 46563.0; 23443.0; 117072.0; 174342.0; 15812.0; 412124.0; -21617.0; 0.0; 187153.0; 361495.0
2020-03-31; 11412.0; 0.0; 16501.0; 0.0; 1465.0; 50249.0; 248409.0; 42981.0; 0.0; 14165.0; 305555.0; 355804.0; 64773.0; 31857.0; 23655.0; 102288.0; 167061.0; 15636.0; 416919.0; -24339.0; 0.0; 188743.0; 355804.0
2019-12-31; 3089.0; 0.0; 18528.0; 0.0; 1469.0; 50052.0; 253018.0; 43164.0; 0.0; 16363.0; 312545.0; 362597.0; 63989.0; 26342.0; 25404.0; 99670.0; 163659.0; 15637.0; 421341.0; -19493.0; 0.0; 198938.0; 362597.0
2019-09-30; 5351.0; 0.0; 17590.0; 0.0; 1759.0; 50008.0; 250512.0; 42920.0; 0.0; 15921.0; 309353.0; 359361.0; 64195.0; 25950.0; 26229.0; 98057.0; 162252.0; 15795.0; 419367.0; -19277.0; 0.0; 197109.0; 359361.0
2019-06-30; 4213.0; 0.0; 18835.0; 0.0; 1563.0; 51743.0; 250853.0; 42533.0; 0.0; 15600.0; 308986.0; 360729.0; 70287.0; 19001.0; 26308.0; 91977.0; 162264.0; 15639.0; 419913.0; -18205.0; 0.0; 198465.0; 360729.0
2019-03-31; 4586.0; 0.0; 18332.0; 0.0; 1553.0; 51576.0; 248563.0; 42068.0; 0.0; 13982.0; 304613.0; 356189.0; 66632.0; 19031.0; 25167.0; 91536.0; 158168.0; 15476.0; 420498.0; -18782.0; 0.0; 198021.0; 356189.0
2018-12-31; 3042.0; 0.0; 18958.0; 0.0; 1272.0; 47973.0; 247101.0; 40790.0; 0.0; 10332.0; 298223.0; 346196.0; 57138.0; 20538.0; 22476.0; 90530.0; 147668.0; 15258.0; 421653.0; -19564.0; 0.0; 198528.0; 346196.0
2018-09-30; 5669.0; 0.0; 18761.0; 0.0; 1665.0; 53975.0; 249153.0; 40427.0; 0.0; 11073.0; 300653.0; 354628.0; 65288.0; 20624.0; 23353.0; 92509.0; 157797.0; 15254.0; 419155.0; -18370.0; 0.0; 196831.0; 354628.0
2018-06-30; 3430.0; 0.0; 18483.0; 0.0; 1649.0; 50555.0; 248209.0; 39691.0; 0.0; 10335.0; 298235.0; 348790.0; 62447.0; 20720.0; 23803.0; 92810.0; 155257.0; 15086.0; 416418.0; -18609.0; 0.0; 193533.0; 348790.0
2018-03-31; 4125.0; 0.0; 18048.0; 0.0; 1456.0; 48315.0; 250352.0; 40350.0; 0.0; 9809.0; 300511.0; 348826.0; 60306.0; 20781.0; 24372.0; 93609.0; 153915.0; 14888.0; 415970.0; -16992.0; 0.0; 194911.0; 348826.0
2017-12-31; 3177.0; 0.0; 16992.0; 0.0; 1368.0; 47134.0; 252630.0; 39160.0; 0.0; 9767.0; 301557.0; 348691.0; 57771.0; 24406.0; 23989.0; 96420.0; 154191.0; 14656.0; 414540.0; -16262.0; 0.0; 194500.0; 348691.0
2017-09-30; 4266.0; 0.0; 16743.0; 0.0; 1480.0; 45752.0; 255556.0; 37649.0; 0.0; 10470.0; 303675.0; 349427.0; 53777.0; 24869.0; 26279.0; 106452.0; 160229.0; 14783.0; 409449.0; -16651.0; 0.0; 189198.0; 349427.0
