Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 5163.0; 0.0; 0.0; 0.0; 0.0; 58565.0; 1388.0; 24639.0; 1034.0; 2848.0; 29909.0; 88474.0; 81358.0; 647.0; 1773.0; 2420.0; 83778.0; 1799.0; 5597.0; -3140.0; 0.0; 4696.0; 88474.0
2022-06-30; 4385.0; 0.0; 0.0; 0.0; 0.0; 56289.0; 1372.0; 26751.0; 1015.0; 2357.0; 31495.0; 87784.0; 80079.0; 671.0; 1402.0; 2073.0; 82152.0; 1845.0; 5447.0; -2100.0; 0.0; 5632.0; 87784.0
2022-03-31; 8520.0; 0.0; 0.0; 0.0; 0.0; 59327.0; 1346.0; 27413.0; 1015.0; 2025.0; 31799.0; 91126.0; 82989.0; 689.0; 1154.0; 1843.0; 84832.0; 1889.0; 5311.0; -1346.0; 0.0; 6294.0; 91126.0
2021-12-31; 13383.0; 0.0; 0.0; 0.0; 0.0; 63804.0; 1319.0; 25340.0; 1015.0; 1722.0; 29396.0; 93200.0; 83692.0; 1012.0; 1033.0; 2045.0; 85737.0; 1928.0; 5175.0; -80.0; 0.0; 7463.0; 93200.0
2021-09-30; 12202.0; 0.0; 0.0; 0.0; 0.0; 62456.0; 1282.0; 21788.0; 1015.0; 1765.0; 25850.0; 88306.0; 78463.0; 1020.0; 1049.0; 2069.0; 80532.0; 2245.0; 5025.0; 64.0; 0.0; 7774.0; 88306.0
2021-06-30; 12506.0; 0.0; 0.0; 0.0; 0.0; 63435.0; 1239.0; 19685.0; 1015.0; 1834.0; 23773.0; 87208.0; 76846.0; 1308.0; 1021.0; 2329.0; 79175.0; 2565.0; 4853.0; 175.0; 0.0; 8033.0; 87208.0
2021-03-31; 10507.0; 0.0; 0.0; 0.0; 0.0; 63410.0; 1236.0; 18042.0; 1016.0; 1417.0; 21711.0; 85121.0; 74885.0; 1299.0; 1004.0; 2303.0; 77188.0; 2653.0; 4566.0; 148.0; 0.0; 7933.0; 85121.0
2020-12-31; 7648.0; 0.0; 0.0; 0.0; 0.0; 60428.0; 1209.0; 17184.0; 1016.0; 1642.0; 21051.0; 81479.0; 69653.0; 2908.0; 1032.0; 3940.0; 73593.0; 2686.0; 4309.0; 325.0; 0.0; 7886.0; 81479.0
2020-09-30; 4434.0; 0.0; 0.0; 0.0; 0.0; 58415.0; 1187.0; 16084.0; 1016.0; 1655.0; 19942.0; 78357.0; 68346.0; 1347.0; 996.0; 2343.0; 70689.0; 2680.0; 4090.0; 332.0; 0.0; 7668.0; 78357.0
2020-06-30; 2575.0; 0.0; 0.0; 0.0; 0.0; 56949.0; 1173.0; 15702.0; 1014.0; 1609.0; 19498.0; 76447.0; 66544.0; 1353.0; 975.0; 2328.0; 68872.0; 2675.0; 3979.0; 355.0; 0.0; 7575.0; 76447.0
