Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-12-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -158.0; -662.0; 0.0; 0.0; 2376.0; -116.0; 2260.0; -46.0; 1552.0; -1344.0; 0.0; -1344.0; -21.0; -21.0; 0.0; 81.0; -1284.0; 110.0; 0.0; 0.0
2022-09-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -593.0; -437.0; 0.0; 0.0; 1298.0; -5.0; 1293.0; -72.0; 784.0; -254.0; 0.0; -254.0; 16.0; 16.0; 0.0; -14.0; -252.0; -61.0; 0.0; 0.0
2022-06-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1739.0; -587.0; 0.0; 0.0; -12.0; -236.0; -248.0; -94.0; -929.0; -791.0; 0.0; -791.0; -16.0; -16.0; 0.0; 22.0; -785.0; 25.0; 0.0; 0.0
2022-03-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1185.0; -799.0; 0.0; 0.0; 54.0; 36.0; 90.0; -62.0; -771.0; -294.0; 0.0; -294.0; 0.0; 0.0; 0.0; -16.0; -310.0; 104.0; 0.0; 0.0
2021-12-31; -1993.0; 2335.0; -717.0; 1618.0; -304.0; 0.0; 0.0; 884.0; 1041.0; -1200.0; -171.0; 0.0; 0.0; 2017.0; -23.0; 1994.0; -85.0; 1738.0; -610.0; 0.0; -610.0; -18.0; -18.0; 0.0; 67.0; -561.0; -23.0; 98.0; 0.0
2021-09-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -1740.0; -123.0; 0.0; 0.0; 3458.0; 0.0; 3458.0; -20.0; 3315.0; -1599.0; 0.0; -1599.0; 13.0; 13.0; 0.0; -23.0; -1609.0; -34.0; 0.0; 0.0
2021-06-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 3470.0; 152.0; 0.0; 0.0; -4265.0; 194.0; -4071.0; 35.0; -3884.0; 249.0; 0.0; 249.0; 131.0; 131.0; 0.0; 65.0; 445.0; 31.0; 0.0; 0.0
2021-03-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 174.0; 127.0; 0.0; 0.0; -7142.0; -194.0; -7336.0; 57.0; -7152.0; 6807.0; 0.0; 6807.0; 316.0; 316.0; 0.0; -110.0; 7013.0; 35.0; 0.0; 0.0
2020-12-31; -8885.0; 2370.0; -1292.0; 1078.0; 538.0; 0.0; 0.0; 1305.0; 1217.0; -2863.0; -48.0; 0.0; 0.0; 1422.0; 41.0; 1463.0; 281.0; 1696.0; -301.0; 0.0; -301.0; 1443.0; 1443.0; 0.0; 127.0; 1269.0; 102.0; 91.0; 0.0
2020-09-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -2604.0; -474.0; 0.0; 0.0; 1391.0; 0.0; 1391.0; 6.0; 923.0; 1559.0; 0.0; 1559.0; 0.0; 0.0; 0.0; -48.0; 1511.0; -170.0; 0.0; 0.0
2020-06-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -908.0; -275.0; 0.0; 0.0; -6608.0; 0.0; -6608.0; 84.0; -6799.0; 6215.0; 0.0; 6215.0; 1525.0; 1525.0; 0.0; -52.0; 7688.0; -19.0; 0.0; 0.0
2020-03-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -168.0; -810.0; 0.0; 0.0; 417.0; 0.0; 417.0; 231.0; -162.0; 772.0; 0.0; 772.0; -171.0; -171.0; -43.0; -32.0; 526.0; 196.0; 0.0; -43.0
2019-12-31; 1686.0; 2318.0; 740.0; 3058.0; 73.0; 0.0; 0.0; -1267.0; -867.0; 600.0; -1127.0; 0.0; 0.0; 1311.0; 2.0; 1313.0; 453.0; 639.0; -945.0; 0.0; -945.0; -272.0; -272.0; -43.0; -12.0; -1272.0; -33.0; 94.0; -43.0
2019-09-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 828.0; -783.0; 0.0; 0.0; 236.0; 0.0; 236.0; 78.0; -469.0; -93.0; 0.0; -93.0; -200.0; -200.0; -45.0; -28.0; -366.0; -7.0; 0.0; -45.0
2019-06-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 736.0; -1006.0; 0.0; 0.0; -1071.0; -2.0; -1073.0; 146.0; -1933.0; 1257.0; 0.0; 1257.0; -17.0; -17.0; -44.0; -17.0; 1179.0; -18.0; 0.0; -44.0
2019-03-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1651.0; -1298.0; 0.0; 0.0; 481.0; 0.0; 481.0; 337.0; -480.0; -449.0; 0.0; -449.0; -608.0; -608.0; -46.0; -6.0; -1109.0; 62.0; 0.0; -46.0
2018-12-31; 1412.0; 2159.0; 625.0; 2784.0; 222.0; 0.0; 0.0; -641.0; -566.0; 716.0; -1758.0; 0.0; 0.0; 67.0; 207.0; 274.0; 1094.0; -390.0; -296.0; 0.0; -296.0; 0.0; 0.0; -46.0; -12.0; -354.0; -28.0; 86.0; -46.0
2018-09-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -77.0; -403.0; 0.0; 0.0; -140.0; 0.0; -140.0; -5.0; -548.0; 701.0; 0.0; 701.0; 0.0; 0.0; -46.0; -21.0; 634.0; 9.0; 0.0; -46.0
2018-06-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1094.0; -716.0; 0.0; 0.0; 637.0; 0.0; 637.0; 0.0; -79.0; -660.0; 0.0; -660.0; -376.0; -376.0; -46.0; -28.0; -1110.0; -95.0; 0.0; -46.0
2018-03-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1800.0; -757.0; 0.0; 0.0; -199.0; 0.0; -199.0; 0.0; -956.0; -332.0; 0.0; -332.0; -461.0; -461.0; -48.0; -1.0; -842.0; 2.0; 0.0; -48.0
2017-12-31; 1282.0; 2017.0; 2308.0; 4325.0; -190.0; 0.0; 0.0; -830.0; -721.0; 437.0; -2145.0; 0.0; 0.0; 735.0; 0.0; 735.0; 853.0; -557.0; 379.0; 0.0; 379.0; -243.0; -243.0; -48.0; -13.0; 75.0; -45.0; 90.0; -48.0
2017-09-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 369.0; -851.0; 0.0; 0.0; 1239.0; -203.0; 1036.0; 0.0; 185.0; -177.0; 0.0; -177.0; -359.0; -359.0; -48.0; -15.0; -599.0; -45.0; 0.0; -48.0
2017-06-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1688.0; -1199.0; 0.0; 0.0; -195.0; 0.0; -195.0; 0.0; -1394.0; 311.0; 0.0; 311.0; -529.0; -529.0; -51.0; -3.0; -272.0; 22.0; 0.0; -51.0
2017-03-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 2250.0; -1682.0; 0.0; 0.0; -188.0; 0.0; -188.0; 0.0; -1870.0; 213.0; 0.0; 213.0; -484.0; -484.0; -51.0; -27.0; -349.0; 31.0; 0.0; -51.0
2016-12-31; 2584.0; 1699.0; 1858.0; 3557.0; -160.0; 0.0; 0.0; 254.0; 401.0; 627.0; -1395.0; 0.0; 0.0; 335.0; 0.0; 335.0; 0.0; -1060.0; 1016.0; 0.0; 1016.0; -569.0; -569.0; -52.0; -25.0; 370.0; -63.0; 100.0; -52.0
2016-09-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1064.0; -1180.0; 0.0; 0.0; 309.0; 0.0; 309.0; 0.0; -871.0; 499.0; 0.0; 499.0; -695.0; -695.0; -53.0; -9.0; -258.0; -65.0; 0.0; -53.0
2016-06-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 2213.0; -1478.0; 0.0; 0.0; -179.0; 0.0; -179.0; 0.0; -1657.0; 1169.0; 0.0; 1169.0; -1711.0; -1711.0; -58.0; -5.0; -605.0; -49.0; 0.0; -58.0
2016-03-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 2620.0; -1553.0; 0.0; 0.0; -561.0; 0.0; -561.0; 0.0; -2114.0; 1190.0; 0.0; 1190.0; -1525.0; -1525.0; -61.0; -5.0; -401.0; 105.0; 0.0; -61.0
2015-12-31; 7610.0; 1487.0; -2650.0; -1163.0; 352.0; 0.0; 0.0; -711.0; -186.0; 228.0; -1518.0; 0.0; 0.0; 1956.0; 0.0; 1956.0; 0.0; 438.0; 214.0; 0.0; 214.0; -1435.0; -1435.0; -72.0; 1.0; -1292.0; -626.0; 284.0; -72.0
2015-09-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1180.0; -1481.0; 0.0; 0.0; 3528.0; -3384.0; 144.0; 0.0; -1337.0; 1753.0; 0.0; 1753.0; -1480.0; -1480.0; -66.0; 14.0; 221.0; 64.0; 0.0; -66.0
2015-06-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 2347.0; -1712.0; 0.0; 0.0; -3217.0; 3436.0; 219.0; 0.0; -1493.0; -131.0; 0.0; -131.0; -750.0; -750.0; -70.0; 1.0; -950.0; -96.0; 0.0; -70.0
2015-03-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 2494.0; -1405.0; 0.0; 0.0; -1797.0; 0.0; -1797.0; 0.0; -3202.0; 1020.0; 0.0; 1020.0; -181.0; -181.0; -70.0; -7.0; 762.0; 54.0; 0.0; -70.0
2014-12-31; 2882.0; 1342.0; 539.0; 1881.0; -160.0; 0.0; 0.0; -1636.0; -1686.0; 804.0; -1296.0; 0.0; 0.0; 510.0; 0.0; 510.0; 0.0; -786.0; 543.0; 0.0; 543.0; -906.0; -906.0; -72.0; 233.0; -202.0; -184.0; 304.0; -72.0
2014-09-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -361.0; -1313.0; 0.0; 0.0; 1535.0; 0.0; 1535.0; 0.0; 222.0; 238.0; 0.0; 238.0; -127.0; -127.0; -72.0; 68.0; 107.0; -32.0; 0.0; -72.0
2014-06-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1381.0; -1625.0; 0.0; 0.0; 221.0; 0.0; 221.0; 0.0; -1404.0; -334.0; 0.0; -334.0; 56.0; 56.0; 0.0; 252.0; -26.0; -49.0; 0.0; 0.0
2014-03-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1256.0; -1044.0; 0.0; 0.0; -206.0; 0.0; -206.0; 307.0; -943.0; -277.0; 0.0; -277.0; -75.0; -75.0; 0.0; 158.0; -194.0; 119.0; 0.0; 0.0
2013-12-31; -1834.0; 1020.0; 1949.0; 2969.0; -93.0; 0.0; 0.0; -362.0; -384.0; -1212.0; -613.0; 0.0; 206.0; 1685.0; 0.0; 1685.0; 0.0; 1278.0; 178.0; 0.0; 178.0; 0.0; 0.0; 0.0; 179.0; 357.0; 423.0; 39.0; 0.0
2013-09-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 17.0; -595.0; 0.0; 0.0; -512.0; 0.0; -512.0; 0.0; -1107.0; 897.0; 0.0; 897.0; 0.0; 0.0; 0.0; 306.0; 1203.0; 113.0; 0.0; 0.0
2013-06-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1170.0; -919.0; 0.0; 0.0; -1978.0; 0.0; -1978.0; 0.0; -2897.0; 1366.0; 0.0; 1366.0; 0.0; 0.0; 0.0; 359.0; 1725.0; -2.0; 0.0; 0.0
