Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-12-31; 813.2; 389.5; 57.3; 446.8; -202.6; 0.0; 10.2; -283.9; -360.3; 899.7; -49.7; -92.1; -14.4; 2525.6; -2261.2; 264.4; 0.0; 108.2; 7494.9; 0.0; 7494.9; -196.4; -196.4; -432.6; -187.6; 6678.3; 7706.5; 58.4; -432.6
2022-09-30; 779.0; 394.6; 72.4; 467.0; 201.5; 0.0; -30.7; -504.0; -527.9; 718.1; -45.4; -86.3; 0.0; 0.0; -1445.9; -1445.9; 0.0; -1577.6; -15592.2; 0.0; -15592.2; -332.3; -332.3; -432.9; 54.8; -16302.6; -17207.0; 50.6; -432.9
2022-06-30; 625.5; 396.3; 121.3; 517.6; 47.1; 0.0; 24.9; -321.5; -230.2; 912.9; -47.6; -96.7; 0.0; 0.0; -906.4; -906.4; 0.0; -1050.7; -7978.3; 0.0; -7978.3; -464.5; -464.5; -434.3; 151.8; -8725.3; -8947.6; 55.5; -434.3
2022-03-31; 928.5; 396.0; -23.2; 372.8; -507.6; 0.0; -21.4; -268.3; -330.3; 971.0; -43.0; -101.6; 0.0; 0.0; -2350.7; -2350.7; 0.0; -2495.3; 13620.0; 0.0; 13620.0; -468.3; -468.3; -437.7; 0.0; 12714.0; 11196.4; 48.3; -437.7
2021-12-31; 694.4; 389.9; 65.5; 455.4; 25.8; 0.0; 42.0; -174.4; -56.1; 1093.7; -39.9; -87.5; -11.7; 0.0; -2092.9; -2092.9; 0.0; -2232.0; -685.1; 0.0; -685.1; -395.4; -395.4; -393.8; -45.8; -1520.1; -2658.1; 55.6; -393.8
2021-09-30; 700.5; 389.1; 54.0; 443.1; -51.8; 0.0; -61.9; -494.2; -1021.7; 121.9; -9.7; -93.2; 0.0; 0.0; -1133.5; -1133.5; 0.0; -1236.4; 12100.4; 0.0; 12100.4; -544.7; -544.7; -393.2; 22.3; 11184.8; 10049.1; 42.3; -393.2
2021-06-30; 538.2; 381.6; -157.9; 223.7; 25.4; 0.0; 27.1; -235.4; -109.1; 652.8; -22.3; -87.1; 0.0; 0.0; -1039.2; -1039.2; 0.0; -1148.6; -5673.5; 0.0; -5673.5; -439.2; -439.2; -396.0; 22.5; -6486.2; -6978.6; 48.9; -396.0
2021-03-31; 810.7; 382.5; 8.8; 391.3; -278.7; 0.0; -0.4; -150.7; 50.2; 1252.2; -58.3; -92.1; 0.0; 0.0; -1266.4; -1266.4; 0.0; -1416.8; 4963.0; 0.0; 4963.0; -393.0; -393.0; -397.8; 0.0; 4172.2; 3993.3; 45.5; -397.8
2020-12-31; 647.5; 375.6; 10.9; 386.5; -7.8; 0.0; 4.5; -188.5; -327.6; 706.4; -35.9; -71.7; 0.0; 0.0; -1106.2; -1106.2; 0.0; -1213.8; 6832.6; 0.0; 6832.6; -214.5; -214.5; -390.7; 0.0; 6227.4; 5766.8; 47.1; -390.7
2020-09-30; 602.1; 375.8; 54.9; 430.7; -78.7; 0.0; 5.7; -454.8; -550.9; 481.9; -43.3; -76.4; 0.0; 0.0; 383.9; 383.9; 0.0; 264.2; 3193.8; 0.0; 3193.8; -221.5; -221.5; -391.0; -57.2; 2524.1; 3308.1; 33.8; -391.0
2020-06-30; 411.6; 361.6; 41.9; 403.5; 167.8; 0.0; -14.7; -148.1; -38.5; 776.6; -27.6; -182.7; 0.0; 0.0; 2888.0; 2888.0; 0.0; 2677.7; -4565.3; 0.0; -4565.3; 16.7; 16.7; -391.6; 13.6; -4926.6; -1465.4; 24.1; -391.6
2020-03-31; 820.9; 366.4; 71.2; 437.6; -82.8; 0.0; -15.9; -156.9; -139.8; 1118.7; -38.6; -93.3; 0.0; 0.0; 735.4; 735.4; 0.0; 603.5; -5742.7; 0.0; -5742.7; -353.5; -353.5; -392.9; 0.0; -6489.1; -4796.1; 33.4; -392.9
