Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 683.3; 821.8; 594.5; 1416.3; -49.9; -24.1; -115.4; 126.9; -357.1; 1742.5; -1603.2; 0.0; -24.2; 0.0; -24.9; -24.9; 28.8; -1623.5; -321.5; 572.3; 250.8; 14.5; 14.5; -409.0; -19.2; -162.9; -43.9; 0.0; -409.0
2022-06-30; 520.8; 779.7; 120.5; 900.2; -421.5; -138.1; 485.8; 187.7; -52.5; 1368.5; -1243.0; 0.0; -36.6; 0.0; 1.2; 1.2; -27.4; -1305.8; 1516.6; -1250.3; 266.3; 3.2; 3.2; -404.7; -31.8; -167.0; -104.3; 0.0; -404.7
2022-03-31; 718.1; 815.3; 2.8; 818.1; -24.3; 27.6; -1.0; 135.5; 86.0; 1622.2; -1686.6; 0.0; -1238.4; 0.0; -11.1; -11.1; 42.9; -2893.2; 433.9; 766.3; 1200.2; 809.5; 809.5; -398.8; -65.8; 1545.1; 274.1; 0.0; -398.8
2021-12-31; 538.6; 942.5; -864.5; 78.0; 79.5; -47.2; 93.0; -564.8; 250.3; 866.9; -1590.0; 0.0; -41.3; 0.0; -13.1; -13.1; 116.7; -1527.7; -34.2; 110.0; 75.8; 52.5; 52.5; -396.8; -46.0; -314.5; -975.3; 0.0; -396.8
2021-09-30; 796.9; 700.3; 251.5; 951.8; 16.3; 215.1; 10.1; 172.6; 180.4; 1929.1; -1298.0; 0.0; -383.1; 0.0; -9.6; -9.6; 14.3; -1676.4; 1440.5; -624.0; 816.5; 291.1; 291.1; -376.2; 82.9; 814.3; 1067.0; 0.0; -376.2
2021-06-30; 573.8; 651.8; 263.0; 914.8; -202.6; 92.8; -74.3; 13.2; -327.5; 1161.1; -1278.9; 0.0; -288.5; 0.0; -18.9; -18.9; -9.3; -1595.6; 740.9; 79.6; 820.5; 72.3; 72.3; -374.5; -48.1; 470.2; 35.7; 0.0; -374.5
2021-03-31; 578.8; 751.8; -1268.0; -516.2; -12.9; 39.5; 171.8; -297.4; -179.8; -117.2; -1492.7; 0.0; -158.8; 0.0; -12.1; -12.1; 29.4; -1634.2; 1285.8; 569.1; 1854.9; 184.6; 184.6; -372.0; -30.4; 1637.1; -114.3; 0.0; -372.0
2020-12-31; 434.7; 740.9; -470.6; 270.3; 9.6; -45.5; -57.2; -224.2; 205.7; 910.7; -1555.9; 0.0; -1.3; 0.0; 2.0; 2.0; 28.6; -1526.6; 985.6; 82.3; 1067.9; 18.5; 18.5; -369.2; -126.8; 590.4; -25.5; 0.0; -369.2
2020-09-30; 748.2; 700.3; 134.4; 834.7; -58.2; 22.9; 86.6; -119.7; -406.9; 1176.0; -1445.5; 0.0; -30.7; 0.0; -19.4; -19.4; 35.9; -1459.7; 1272.2; -679.6; 592.6; 25.5; 25.5; -351.1; -24.2; 242.8; -40.9; 0.0; -351.1
2020-06-30; 514.5; 770.0; 165.5; 935.5; -48.1; -84.5; 46.4; -162.8; -319.5; 1130.5; -1452.2; 0.0; -36.4; 0.0; -20.0; -20.0; 27.0; -1481.6; 863.8; -1387.5; -523.7; 54.9; 54.9; -340.9; -5.3; -815.0; -1166.1; 0.0; -340.9
2020-03-31; 499.3; 695.6; 91.3; 786.9; -32.6; -35.8; -111.1; -397.1; -670.5; 615.7; -1792.7; 0.0; -1.3; 0.0; 2.9; 2.9; 25.1; -1766.0; 1103.0; 1625.8; 2728.8; 56.1; 56.1; -363.7; -32.7; 2388.5; 1238.2; 0.0; -363.7
2019-12-31; 152.7; 794.9; -381.3; 413.6; 122.8; -131.6; 38.2; -174.3; 353.9; 920.2; -1715.4; 0.0; 2.5; 0.0; -4.5; -4.5; -69.5; -1786.9; 825.7; 328.3; 1154.0; 20.6; 20.6; -348.0; -17.1; 809.5; -57.2; 0.0; -348.0
2019-09-30; 733.9; 670.7; 301.7; 972.4; -40.5; -2.0; 40.0; 35.1; -157.2; 1549.1; -1349.3; 0.0; -398.2; 0.0; -41.3; -41.3; 26.2; -1762.6; 406.5; 233.0; 639.5; 12.4; 12.4; -333.9; -4.4; 313.6; 100.1; 0.0; -333.9
