Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 446.0; 266.0; 187.0; 453.0; -147.0; -134.0; 0.0; 226.0; -115.0; 784.0; -1052.0; 0.0; -7.0; -88.0; -33.0; -121.0; -62.0; -1242.0; 319.0; 601.0; 920.0; 0.0; 0.0; -141.0; 160.0; 939.0; 383.0; 0.0; -141.0
2022-06-30; -136.0; 264.0; 583.0; 847.0; -185.0; -183.0; 0.0; -89.0; -303.0; 408.0; -893.0; 0.0; -106.0; -201.0; -76.0; -277.0; -154.0; -1430.0; 741.0; 353.0; 1094.0; 0.0; 0.0; -152.0; 164.0; 1106.0; 89.0; 0.0; -152.0
2022-03-31; 171.0; 270.0; 204.0; 474.0; -77.0; -44.0; 0.0; 50.0; -188.0; 457.0; -766.0; 0.0; 0.0; -148.0; -93.0; -241.0; -146.0; -1153.0; 893.0; 478.0; 1371.0; 0.0; 60.0; -152.0; -461.0; 818.0; 78.0; 0.0; -152.0
2021-12-31; -1330.0; 261.0; 1740.0; 2001.0; -52.0; -23.0; 0.0; -183.0; -148.0; 523.0; -582.0; 0.0; -561.0; -56.0; -106.0; -162.0; -18.0; -1323.0; -23.0; 162.0; 139.0; 0.0; 2.0; -211.0; 346.0; 276.0; -490.0; 0.0; -211.0
2021-09-30; 485.0; 257.0; 70.0; 327.0; 2.0; -77.0; 0.0; -61.0; -37.0; 775.0; -535.0; 0.0; 21.0; 95.0; -148.0; -53.0; -16.0; -583.0; -125.0; 154.0; 29.0; 0.0; -1.0; -145.0; -44.0; -161.0; -52.0; 0.0; -145.0
2021-06-30; -77.0; 263.0; 756.0; 1019.0; -41.0; -7.0; 0.0; -241.0; -591.0; 351.0; -567.0; 0.0; -23.0; -69.0; -109.0; -178.0; 10.0; -758.0; -226.0; 67.0; -159.0; 0.0; 149.0; -212.0; -89.0; -311.0; -580.0; 0.0; -212.0
2021-03-31; -29.0; 275.0; 593.0; 868.0; -79.0; 14.0; 0.0; -92.0; -586.0; 253.0; -432.0; 0.0; 0.0; 127.0; -64.0; 63.0; -18.0; -387.0; -13.0; -1.0; -14.0; 0.0; 1017.0; -117.0; 107.0; 993.0; 779.0; 0.0; -117.0
2020-12-31; 401.0; 265.0; 105.0; 370.0; 88.0; -5.0; 0.0; -95.0; -103.0; 668.0; -525.0; 0.0; 86.0; 81.0; -46.0; 35.0; -35.0; -439.0; -204.0; -643.0; -847.0; 0.0; -1.0; -323.0; 436.0; -735.0; -554.0; 0.0; -323.0
2020-09-30; -481.0; 264.0; 825.0; 1089.0; -10.0; 31.0; 0.0; 526.0; 659.0; 1267.0; -413.0; 0.0; -13.0; 15.0; -108.0; -93.0; 24.0; -495.0; -350.0; 224.0; -126.0; 0.0; 113.0; -191.0; -297.0; -501.0; 274.0; 0.0; -191.0
2020-06-30; 3.0; 271.0; 296.0; 567.0; 10.0; -69.0; 0.0; 21.0; -123.0; 447.0; -401.0; 0.0; -30.0; -99.0; -63.0; -162.0; -33.0; -626.0; 855.0; -519.0; 336.0; 0.0; 0.0; -172.0; -36.0; 128.0; -103.0; 0.0; -172.0
