Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 3041.0; 1232.0; 502.0; 1734.0; -1088.0; 0.0; 0.0; -882.0; -1388.0; 3387.0; 0.0; 0.0; 0.0; -5153.0; -530.0; -5683.0; 884.0; -4799.0; 4373.0; 0.0; 4373.0; -1293.0; -1293.0; -247.0; -1611.0; 1222.0; -232.0; 0.0; -240.0
2022-06-30; 3392.0; 1251.0; -435.0; 816.0; -2239.0; 0.0; 0.0; -2114.0; -3634.0; 574.0; 0.0; 0.0; 0.0; -940.0; 520.0; -420.0; 2101.0; 1681.0; 179.0; 0.0; 179.0; -1711.0; -1711.0; -256.0; -410.0; -2198.0; -1.0; 0.0; -248.0
2022-03-31; 4656.0; 1447.0; -1972.0; -525.0; -5387.0; 0.0; 0.0; 190.0; -4074.0; 57.0; 0.0; 0.0; 0.0; 2584.0; -2349.0; 235.0; 618.0; 853.0; 1554.0; 0.0; 1554.0; -1394.0; -1394.0; -265.0; -490.0; -595.0; 302.0; 0.0; -258.0
2021-12-31; 4106.0; 1024.0; -4213.0; -3189.0; 1230.0; 0.0; 0.0; -2449.0; -402.0; 515.0; 0.0; 0.0; 4546.0; -56.0; -9098.0; -9154.0; 4252.0; -356.0; -1443.0; 0.0; -1443.0; -941.0; -941.0; -271.0; 1680.0; -975.0; -407.0; 0.0; -264.0
2021-09-30; 1737.0; 1239.0; -683.0; 556.0; 183.0; 0.0; 0.0; 180.0; 661.0; 2954.0; 0.0; 0.0; 137.0; 2174.0; -4670.0; -2496.0; 1080.0; -1279.0; 35.0; 0.0; 35.0; -1059.0; -1059.0; -276.0; -160.0; -1460.0; -227.0; 0.0; -269.0
2021-06-30; 150.0; 947.0; -422.0; 525.0; 2433.0; 0.0; 0.0; -381.0; 1495.0; 2170.0; 0.0; 0.0; 0.0; -1033.0; -3826.0; -4859.0; 1709.0; -3150.0; 1522.0; 0.0; 1522.0; -230.0; -230.0; -282.0; -196.0; 814.0; -183.0; 0.0; -274.0
2021-03-31; 3930.0; 1423.0; -1276.0; 147.0; -5742.0; 0.0; 0.0; 1549.0; -3437.0; 640.0; 0.0; 0.0; 0.0; 4003.0; -1695.0; 2308.0; -803.0; 1505.0; -1367.0; 0.0; -1367.0; -362.0; -362.0; -283.0; -102.0; -2114.0; 14.0; 0.0; -276.0
2020-12-31; -16.0; 897.0; 657.0; 1554.0; 1889.0; 0.0; 0.0; -2357.0; -1109.0; 429.0; 0.0; 0.0; 54.0; 187.0; -1747.0; -1560.0; 525.0; -981.0; 320.0; 0.0; 320.0; 0.0; 0.0; -283.0; 116.0; 153.0; -377.0; 0.0; -276.0
2020-09-30; 299.0; 663.0; -516.0; 147.0; 521.0; 0.0; 0.0; -58.0; 402.0; 848.0; 0.0; 0.0; 0.0; 3264.0; -3274.0; -10.0; -2308.0; -2318.0; 790.0; 0.0; 790.0; 0.0; 0.0; -283.0; 694.0; 1201.0; -245.0; 0.0; -276.0
2020-06-30; -7766.0; 682.0; 9859.0; 10541.0; 1676.0; 0.0; 0.0; -1530.0; -2428.0; 347.0; 0.0; 0.0; 2119.0; -2036.0; -3692.0; -5728.0; 1339.0; -2270.0; 2736.0; 0.0; 2736.0; 0.0; 0.0; -283.0; 19.0; 2472.0; 533.0; 0.0; -275.0
2020-03-31; 1654.0; 1878.0; -3037.0; -1159.0; -2193.0; 0.0; 0.0; 270.0; -1081.0; -586.0; 0.0; 0.0; 0.0; -6340.0; -1172.0; -7512.0; 6879.0; -633.0; 2303.0; 0.0; 2303.0; -500.0; -500.0; -283.0; -288.0; 1232.0; 32.0; 0.0; -276.0
2019-12-31; 869.0; 1173.0; -1022.0; 151.0; 1896.0; 0.0; 0.0; -4089.0; -2038.0; -1018.0; 0.0; 0.0; 0.0; -3554.0; -4560.0; -8114.0; 7432.0; -682.0; 1343.0; 0.0; 1343.0; 0.0; 0.0; -1121.0; 1081.0; 1303.0; -420.0; 0.0; -1114.0
2019-09-30; 973.0; 1176.0; -870.0; 306.0; 1070.0; 0.0; 0.0; -2100.0; -796.0; 483.0; 0.0; 0.0; 2.0; 5163.0; -6456.0; -1293.0; 645.0; -646.0; 565.0; 0.0; 565.0; 0.0; 0.0; 549.0; -377.0; 737.0; 585.0; 0.0; 557.0
2019-06-30; 1390.0; 1358.0; -37.0; 1321.0; -132.0; 0.0; 0.0; -3231.0; -3007.0; -296.0; 0.0; 0.0; 0.0; -10104.0; 4576.0; -5528.0; 3360.0; -2168.0; 2107.0; 0.0; 2107.0; 0.0; 0.0; -286.0; 633.0; 2454.0; 6.0; 0.0; -279.0
2019-03-31; 937.0; 1299.0; 379.0; 1678.0; -2180.0; 0.0; 0.0; -1578.0; -3591.0; -976.0; 0.0; 0.0; 0.0; 4862.0; -9010.0; -4148.0; 2169.0; -1979.0; 2294.0; 0.0; 2294.0; 0.0; 485.0; -278.0; 263.0; 2764.0; -179.0; 0.0; -278.0
2018-12-31; -560.0; 1549.0; -6076.0; -4527.0; -1313.0; 0.0; 0.0; 6268.0; 4731.0; -356.0; 0.0; 0.0; -665.0; 550.0; -848.0; -298.0; 1657.0; 694.0; 1279.0; 0.0; 1279.0; -745.0; -745.0; -280.0; -338.0; -84.0; 235.0; 0.0; -280.0
