Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 819.7; 898.1; -409.4; 488.7; 0.0; 0.0; 0.0; -376.1; -376.1; 932.3; -459.2; 0.0; -140.8; 6.8; 0.0; 6.8; -9.5; -602.7; -2041.7; 13.5; -2028.2; 1.2; 1.2; -668.9; 2490.8; -205.1; 46.5; 39.2; -668.9
2022-06-30; 890.9; 826.5; -361.0; 465.5; 0.0; 0.0; 0.0; -441.1; -441.1; 915.3; -370.1; 0.0; -89.7; 6.0; 0.0; 6.0; 63.4; -390.4; -2193.3; 0.0; -2193.3; 2303.5; 2303.5; -639.0; 24.3; -504.5; -68.3; 42.2; -639.0
2022-03-31; 702.7; 815.8; -202.7; 613.1; 0.0; 0.0; 0.0; -652.2; -652.2; 663.6; -386.1; 0.0; -128.6; 3.2; 0.0; 3.2; -1.6; -513.1; 432.9; 0.0; 432.9; 8.0; 8.0; -641.2; -50.6; -250.9; -71.9; 56.7; -641.2
2021-12-31; 441.2; 683.8; -51.8; 632.0; -191.7; 0.0; 0.0; -278.7; -394.3; 678.9; -460.0; 0.0; -9708.6; 0.5; 0.0; 0.5; 0.4; -10167.7; 8916.9; -12.1; 8904.8; 36.4; 36.4; -596.7; -202.8; 8141.7; -1356.0; 21.5; -596.7
2021-09-30; 726.2; 611.4; -104.4; 507.0; 0.0; 0.0; 0.0; 863.2; 863.2; 2096.4; -314.0; 0.0; -712.7; 5.9; 0.0; 5.9; 1.9; -1018.9; -1807.9; 0.0; -1807.9; 33.8; 33.8; -575.4; 3045.3; 695.8; 1698.5; 28.1; -575.4
2021-06-30; 747.9; 554.8; -79.1; 475.7; 0.0; 0.0; 0.0; -271.7; -271.7; 951.9; -277.9; 0.0; -8767.8; 3.5; -25.0; -21.5; 0.3; -9066.9; 6543.5; -61.9; 6481.6; 2386.5; 2386.5; -777.2; -23.9; 8067.0; 7.5; 31.9; -777.2
2021-03-31; 652.3; 522.5; -19.7; 502.8; 0.0; 0.0; 0.0; -62.4; -62.4; 1092.7; -324.8; 0.0; -114.8; 4.4; 0.0; 4.4; -3.5; -438.7; 134.9; 0.0; 134.9; 1.9; 1.9; -544.9; -71.9; -480.0; 131.9; 38.0; -544.9
2020-12-31; 361.6; 514.1; 279.2; 793.3; -175.5; 0.0; 0.0; 223.9; -22.6; 1132.3; -362.9; 0.0; -3465.5; 4.9; 0.0; 4.9; 9.5; -3814.0; -9264.2; 12849.9; 3585.7; 15.6; 15.6; -504.9; -361.7; 2734.7; 131.2; 21.8; -504.9
2020-09-30; 462.9; 473.9; 139.7; 613.6; 0.0; 0.0; 0.0; -116.2; -116.2; 960.3; -243.9; 0.0; -100.9; 5.4; 0.0; 5.4; 7.6; -331.8; 12340.5; -12884.6; -544.1; 48.2; 48.2; -501.8; -14.9; -1012.6; -375.9; 24.1; -501.8
2020-06-30; 448.4; 454.9; 114.5; 569.4; 0.0; 0.0; 0.0; -29.0; -29.0; 988.8; -210.5; 0.0; -183.4; 3.5; 0.0; 3.5; 5.0; -385.4; 606.7; 0.0; 606.7; 6.9; 6.9; -478.9; -35.5; 99.2; 705.8; 27.2; -478.9
2020-03-31; 418.6; 472.3; 164.9; 637.2; 0.0; 0.0; 0.0; -255.8; -255.8; 800.0; -214.4; 0.0; -49.3; 5.8; 0.0; 5.8; 4.5; -253.4; 537.1; -33.5; 503.6; -28.6; -28.6; -454.9; -626.1; -606.0; -177.7; 47.7; -454.9
2019-12-31; 569.4; 475.7; -43.0; 432.7; 12.5; 0.0; 0.0; -6.5; -8.4; 993.7; -266.7; 0.0; -2272.0; 5.1; 0.0; 5.1; -53.1; -2586.7; 2235.1; -21.0; 2214.1; -6.8; -6.8; -432.6; -78.4; 1696.3; 129.7; 23.5; -432.6
2019-09-30; 505.3; 442.8; 112.5; 555.3; 0.0; 0.0; 0.0; -123.4; -123.4; 937.2; -260.3; 0.0; -553.1; 9.7; 0.0; 9.7; -6.4; -810.1; 450.8; 0.0; 450.8; 36.1; 36.1; -407.1; -7.0; 72.8; 162.3; 23.5; -407.1
