Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 383.44; 234.89; -258.83; -23.94; -0.73; 0.0; 48.73; -44.46; 3.54; 363.04; -644.55; 0.0; 0.0; 0.0; 11.93; 11.93; 8.2; -624.42; 252.25; 0.0; 252.25; 199.43; 199.43; -192.57; 351.02; 610.12; 348.51; 17.79; -192.57
2022-06-30; 309.38; 228.82; -183.34; 45.48; 0.5; 0.0; 8.39; -24.71; -15.83; 339.03; -614.75; 0.0; 0.0; 0.0; -30.46; -30.46; 37.8; -607.4; -37.41; 0.0; -37.41; 0.0; 0.0; -187.7; 141.44; -83.67; -352.5; 14.34; -187.7
2022-03-31; -117.39; 229.42; 213.08; 442.5; -0.19; 0.0; -36.05; -97.78; -134.02; 191.09; -2570.16; 0.0; 0.0; 0.0; -19.74; -19.74; 101.11; -2488.8; 1527.49; 0.0; 1527.49; 646.32; 646.32; -183.85; 762.61; 2752.57; 454.94; 14.03; -183.85
2021-12-31; 99.8; 225.93; -21.28; 204.65; 0.37; 0.0; -1.39; -53.87; -54.88; 249.56; -2506.82; 0.0; 0.0; 0.0; 27.6; 27.6; 805.29; -1673.93; -470.87; 0.0; -470.87; 770.55; 770.55; -173.56; 1347.47; 1473.6; 47.17; 14.25; -173.56
2021-09-30; 124.43; 199.53; -46.32; 153.22; -1.04; 0.0; 71.04; -38.82; 31.17; 308.82; -1311.91; 0.0; 0.0; 0.0; 30.42; 30.42; -15.44; -1296.94; 449.14; 0.0; 449.14; 492.08; 492.08; -170.65; 228.11; 998.68; 10.48; 9.73; -170.65
2021-06-30; 404.52; 179.18; -311.98; -132.8; 0.85; 0.0; -18.48; -14.33; -31.96; 239.76; -1613.0; 0.0; 0.0; 0.0; -51.91; -51.91; -33.67; -1698.58; 299.17; 0.0; 299.17; 868.82; 868.82; -160.78; 274.62; 1281.83; -176.83; 12.24; -160.78
2021-03-31; 25.53; 171.04; 55.07; 226.12; -0.22; 0.0; 9.76; -49.13; -39.6; 212.05; -2310.76; 0.0; -9.05; 0.0; -19.77; -19.77; -98.3; -2437.88; 978.29; 0.0; 978.29; 1397.65; 1397.65; -150.98; -62.71; 2162.25; -63.3; 12.45; -150.98
2020-12-31; 457.13; 166.27; -388.47; -222.19; 0.32; 0.0; -31.0; -30.69; -61.37; 173.57; -581.29; 0.0; 0.0; 0.0; 12.54; 12.54; 155.6; -413.14; -262.23; 0.0; -262.23; 502.29; 502.29; -143.04; 254.55; 351.57; 112.66; 11.39; -143.04
2020-09-30; 95.8; 164.55; 36.19; 200.74; -0.41; 0.0; 36.73; -17.57; 18.75; 315.28; -1436.57; 0.0; 0.0; 0.0; -5.63; -5.63; -25.76; -1467.96; 306.47; 0.0; 306.47; 1309.23; 1309.23; -133.68; -86.21; 1395.81; 243.5; 12.99; -133.68
2020-06-30; 243.56; 156.09; -186.57; -30.48; 7.77; 0.0; -14.64; -3.83; -10.69; 202.39; -569.74; 0.0; 0.0; 0.0; -7.62; -7.62; 13.89; -563.47; 217.39; 0.0; 217.39; 0.0; 0.0; -129.98; 25.88; 113.29; -246.83; 9.19; -129.98
2020-03-31; 30.68; 160.89; 16.76; 177.65; -4.87; 0.0; 7.79; -19.98; -17.06; 191.27; -855.91; 0.0; 0.0; 0.0; -2.74; -2.74; 25.06; -833.59; 535.05; 0.0; 535.05; 504.34; 504.34; -126.28; -23.44; 889.67; 245.68; 9.93; -126.28
2019-12-31; 216.05; 133.01; -159.56; -26.54; -0.01; 0.0; 24.71; -35.92; -11.22; 178.29; -1464.44; 0.0; 0.0; 0.0; 46.65; 46.65; 127.34; -1290.45; 39.26; 0.0; 39.26; 980.96; 980.96; -115.57; -2.83; 901.81; -210.28; 10.24; -114.57
2019-09-30; -36.0; 130.76; 84.8; 215.56; -1.46; 0.0; 35.57; -16.45; 17.67; 197.23; -911.69; 0.0; 104.9; 0.0; -102.75; -102.75; 10.9; -898.63; 394.38; 0.0; 394.38; 150.09; 150.09; -114.55; 486.53; 916.46; 214.75; 10.94; -113.54
2019-06-30; 87.18; 127.98; -35.98; 92.0; 0.41; 0.0; -5.03; -2.95; -7.57; 171.61; -632.95; 0.0; -104.9; 0.0; 29.44; 29.44; -9.5; -717.9; 512.47; 0.0; 512.47; 85.39; 85.39; -110.58; -18.87; 468.41; -77.58; 11.44; -109.57
2019-03-31; 136.82; 128.37; -92.42; 35.95; 0.17; 0.0; -16.24; -19.96; -36.04; 136.73; -659.41; 0.0; 0.0; 0.0; -75.43; -75.43; 0.5; -734.33; 344.87; 0.0; 344.87; 0.0; -9.24; -110.47; 415.65; 640.81; 43.67; 11.03; -109.34
