Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 1608.0; 2588.0; -673.0; 1915.0; -674.0; -16.0; 0.0; 1094.0; 164.0; 3687.0; -247.0; 0.0; -3040.0; 1356.0; -150.0; 1206.0; 0.0; -2081.0; -2785.0; -72.0; -2857.0; -585.0; -585.0; -1154.0; 53.0; -4543.0; -3003.0; 115.0; -1154.0
2022-06-30; 1429.0; 2583.0; -178.0; 2405.0; -669.0; -13.0; 0.0; 329.0; -1573.0; 2261.0; -272.0; 0.0; -275.0; 110.0; 148.0; 258.0; 0.0; -289.0; -2877.0; 88.0; -2789.0; 0.0; 0.0; -1150.0; 419.0; -3520.0; -1619.0; 116.0; -1150.0
2022-03-31; 1283.0; 2584.0; 307.0; 2891.0; 786.0; 1.0; 0.0; -2003.0; -362.0; 3812.0; -253.0; 0.0; -40.0; 386.0; 2.0; 388.0; 0.0; 95.0; 157.0; 42.0; 199.0; -5000.0; -5000.0; -1185.0; 333.0; -5653.0; -1737.0; 107.0; -1185.0
2021-12-31; 2372.0; 2579.0; -985.0; 1594.0; -168.0; -128.0; 0.0; 241.0; -51.0; 4057.0; -320.0; 0.0; 26.0; -1884.0; 2579.0; 695.0; 0.0; 401.0; 0.0; -114.0; -114.0; -2751.0; -2751.0; -1099.0; -3.0; -3967.0; 437.0; 133.0; -1099.0
2021-09-30; 1552.0; 2727.0; 338.0; 3065.0; -260.0; 30.0; 0.0; 1064.0; 649.0; 5266.0; -270.0; 0.0; -869.0; 977.0; -814.0; 163.0; 0.0; -976.0; -500.0; 139.0; -361.0; -525.0; -525.0; -1090.0; 196.0; -1780.0; 2482.0; 142.0; -1090.0
2021-06-30; 1061.0; 2712.0; 703.0; 3415.0; -693.0; 5.0; 0.0; 439.0; -1416.0; 3060.0; -210.0; 0.0; -164.0; 145.0; 409.0; 554.0; 0.0; 180.0; -1000.0; -123.0; -1123.0; -1236.0; -1236.0; -1099.0; 276.0; -3182.0; 76.0; 157.0; -1099.0
2021-03-31; 2029.0; 2668.0; -438.0; 2230.0; 67.0; 106.0; 0.0; -1138.0; -435.0; 3824.0; -173.0; 0.0; 145.0; -520.0; 405.0; -115.0; 0.0; -143.0; -4522.0; -62.0; -4584.0; -1775.0; -1775.0; -1108.0; 172.0; -7295.0; -3652.0; 151.0; -1108.0
2020-12-31; -10027.0; 2690.0; 10873.0; 13563.0; -290.0; 101.0; 0.0; 114.0; -144.0; 3355.0; -283.0; 0.0; -12143.0; 499.0; 115.0; 614.0; 0.0; -11812.0; 5695.0; -3.0; 5692.0; -1465.0; -1465.0; -1021.0; 277.0; 3483.0; -4887.0; 171.0; -1021.0
2020-09-30; 1878.0; 2655.0; -824.0; 1831.0; -159.0; 481.0; 0.0; 1089.0; -1302.0; 2267.0; -153.0; 0.0; -91.0; 29.0; 2.0; 31.0; 0.0; -213.0; -1500.0; -242.0; -1742.0; 0.0; 0.0; -1016.0; 171.0; -2587.0; -502.0; 185.0; -1016.0
2020-06-30; -80.0; 2558.0; 824.0; 3382.0; 546.0; 642.0; 0.0; 229.0; 1150.0; 4493.0; -131.0; 0.0; -246.0; 921.0; 12.0; 933.0; 0.0; 556.0; 0.0; -48.0; -48.0; 0.0; 0.0; -1021.0; 76.0; -993.0; 4116.0; 213.0; -1021.0
