Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 420.66; 191.11; -231.66; -40.55; -6.03; 0.0; 0.0; -95.18; -84.34; 295.76; -293.07; 0.0; 0.0; -0.15; 0.0; -0.15; -39.82; -333.05; 0.0; 175.0; 175.0; 0.01; 0.01; -171.53; -20.15; -16.68; -53.96; 8.01; -171.53
2022-06-30; 267.24; 184.02; -73.08; 110.94; -7.47; 0.0; 0.0; 7.3; 18.97; 397.15; -818.32; 0.0; 0.0; -0.14; 0.0; -0.14; -10.38; -828.84; 730.0; -90.0; 640.0; -0.03; -0.03; -171.46; -16.31; 452.19; 20.51; 14.96; -171.46
2022-03-31; 176.96; 178.15; 10.72; 188.87; 17.64; 0.0; 0.0; -128.24; -146.34; 219.49; -150.47; 0.0; 0.0; 5.34; 0.0; 5.34; -6.2; -151.34; 0.0; 110.0; 110.0; -0.33; -0.33; -170.49; -26.15; -86.97; -18.82; 21.23; -170.49
2021-12-31; 223.28; 177.83; -58.36; 119.47; -8.92; 0.0; 0.0; 11.21; 3.62; 346.37; -48.7; 0.0; 0.0; -0.23; 0.0; -0.23; 7.34; -41.59; -615.44; 145.0; -470.44; 4.19; 4.19; -170.37; -248.92; -885.54; -580.76; 7.76; -170.37
2021-09-30; 139.25; 179.66; 23.7; 203.36; -3.37; 0.0; 0.0; -112.87; -116.23; 226.38; -359.1; 0.0; 0.0; -0.23; 0.0; -0.23; -75.43; -434.76; 846.32; 0.0; 846.32; 0.45; 0.45; -170.26; -23.48; 653.01; 444.64; 8.73; -170.26
2021-06-30; 141.25; 184.54; 21.55; 206.09; -8.91; 0.0; 0.0; 11.6; 61.08; 408.41; -317.99; 0.0; 0.0; -0.2; 0.0; -0.2; -3.15; -321.34; -3.3; 0.0; -3.3; -0.06; -200.06; -171.55; -24.06; -398.98; -311.9; 14.28; -171.55
2021-03-31; 128.15; 178.83; 17.64; 196.47; 26.02; 0.0; 0.0; -148.03; -172.55; 152.06; -245.41; 0.0; 0.0; 2.11; 0.0; 2.11; 1.03; -242.27; -502.74; 0.0; -502.74; 19.64; 19.64; -171.57; -25.27; -679.94; -770.15; 20.09; -171.57
2020-12-31; 24.91; 168.58; 93.58; 262.16; 4.01; 0.0; 0.0; 78.26; 87.35; 374.42; -217.59; 0.0; 0.0; -0.23; 0.0; -0.23; -7.49; -225.31; -4.37; 0.0; -4.37; 0.0; 0.0; -172.33; -17.86; -194.57; -45.46; 7.99; -172.33
2020-09-30; 118.06; 167.0; 29.81; 196.8; 0.03; 0.0; 0.0; -109.04; -86.71; 228.15; -216.16; 0.0; 0.0; -0.23; 0.0; -0.23; -51.5; -267.89; -4.32; 0.0; -4.32; 0.09; 0.09; -172.33; -10.57; -187.13; -226.87; 8.25; -172.33
2020-06-30; 298.58; 178.73; -185.99; -7.26; 0.73; 0.0; 0.0; 46.02; 87.75; 379.07; -74.98; 0.0; 0.0; -0.2; 0.0; -0.2; 28.44; -46.73; 1243.86; -250.0; 993.86; -0.17; -0.17; -172.28; -20.69; 800.73; 1133.08; 10.37; -172.28
2020-03-31; 577.15; 171.68; -375.26; -203.59; 17.78; 0.0; 0.0; -159.91; -198.36; 175.2; 13.0; 0.0; 0.0; 3.2; 0.0; 3.2; -90.0; -73.79; -4.21; 250.0; 245.79; 3.35; 3.35; -171.96; -11.88; 65.29; 166.69; 17.52; -171.96
2019-12-31; 176.01; 170.49; 14.1; 184.58; -4.2; 0.0; 0.0; 17.86; 0.78; 361.37; -260.08; 0.0; 0.0; -0.2; 0.0; -0.2; -18.35; -278.62; -30.66; 0.0; -30.66; 11.15; 11.15; -166.67; -9.45; -195.63; -112.88; 7.71; -166.67
2019-09-30; 141.37; 166.47; 54.19; 220.66; -9.16; 0.0; 0.0; -107.66; -107.84; 254.19; -394.77; 0.0; 0.0; -0.86; 0.0; -0.86; -12.89; -408.51; -5.24; 0.0; -5.24; 0.3; 0.3; -166.67; -32.23; -203.83; -358.16; 7.81; -166.67
2019-06-30; 203.46; 178.02; -33.73; 144.29; 2.49; 0.0; 0.0; -9.15; 10.62; 358.37; -186.17; 0.0; 0.0; -0.19; 0.0; -0.19; 81.93; -104.44; 844.21; 0.0; 844.21; 0.47; 0.47; -166.6; -201.39; 476.69; 730.63; 10.39; -166.6
2019-03-31; 131.16; 165.2; 44.91; 210.11; -14.0; 0.0; 0.0; -120.13; -134.03; 207.23; -195.63; 0.0; 0.0; -0.89; 0.0; -0.89; -27.0; -223.51; -6.12; 0.0; -6.12; 1.79; 1.79; -166.36; -19.93; -190.61; -206.89; 15.05; -166.36
2018-12-31; 185.24; 165.44; -17.46; 147.98; 27.63; 0.0; 0.0; 27.39; 46.4; 379.62; -13.96; 0.0; 0.0; -0.14; 0.0; -0.14; -64.71; -78.81; 291.58; -170.0; 121.58; -0.4; -0.4; -166.36; -40.22; -85.4; 215.41; 8.42; -166.36
2018-09-30; 150.44; 158.0; 11.47; 169.47; -31.43; 0.0; 0.0; -90.81; -110.13; 209.78; -205.2; 0.0; 0.0; -0.24; 0.0; -0.24; -328.82; -534.27; -5.49; 170.0; 164.51; 0.35; 0.35; -140.51; -3.15; 21.21; -303.28; 8.46; -140.51
2018-06-30; 160.56; 156.42; -4.97; 151.45; 10.22; 0.0; 0.0; 8.22; 23.06; 335.07; -285.38; 0.0; 0.0; -0.2; 0.0; -0.2; -16.43; -302.01; 496.14; -115.0; 381.14; 0.04; 0.04; -140.47; -1.84; 238.88; 271.93; 8.47; -140.47
2018-03-31; 216.31; 165.8; -75.81; 89.98; 22.79; 0.0; 0.0; -101.79; -80.52; 225.78; -134.65; 0.0; 0.0; -0.32; 0.0; -0.32; -48.82; -183.79; -5.34; 70.0; 64.66; -0.72; -0.72; -140.29; -15.88; -92.23; -50.24; 14.77; -140.29
