Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-11-30; 4495.0; -1838.0; -220.0; -2058.0; 134.0; 87.0; -176.0; -667.0; -884.0; 1553.0; 3704.0; 0.0; 0.0; -200.0; 0.0; -200.0; -37.0; 3467.0; -2261.0; 114.0; -2147.0; -1187.0; -1187.0; 0.0; 117.0; -3217.0; 1870.0; -79.0; 0.0
2022-08-31; -769.0; 625.0; 82.0; 707.0; -14.0; -8.0; 37.0; -549.0; -284.0; -344.0; -538.0; 0.0; 0.0; 151.0; 0.0; 151.0; 27.0; -360.0; -389.0; 0.0; -389.0; 1150.0; 1150.0; 0.0; -6.0; 754.0; 18.0; 25.0; 0.0
2022-05-31; -1835.0; 613.0; 54.0; 667.0; -98.0; -42.0; 163.0; 1073.0; 1173.0; 3.0; -454.0; 0.0; 0.0; 364.0; 0.0; 364.0; 16.0; -75.0; 806.0; -66.0; 740.0; 18.0; 18.0; 0.0; -25.0; 735.0; 636.0; 28.0; 0.0
2022-02-28; -1891.0; 600.0; 84.0; 684.0; -22.0; -37.0; -24.0; 143.0; -5.0; -1212.0; -2712.0; 0.0; 0.0; -315.0; 0.0; -315.0; -6.0; -3032.0; 1844.0; -48.0; 1796.0; 19.0; 19.0; 0.0; -86.0; 1728.0; -2524.0; 26.0; 0.0
2021-11-30; -2620.0; 593.0; 795.0; 1388.0; 30.0; -44.0; 191.0; 545.0; 865.0; -368.0; -487.0; 0.0; 0.0; 446.0; 0.0; 446.0; 32.0; -8.0; 2693.0; -310.0; 2383.0; 13.0; 13.0; 0.0; -347.0; 2050.0; 1648.0; 26.0; 0.0
2021-08-31; -2836.0; 610.0; 951.0; 1561.0; -68.0; -19.0; 134.0; 127.0; 396.0; -879.0; -936.0; 0.0; 0.0; 1558.0; 0.0; 1558.0; -2.0; 620.0; 778.0; 0.0; 778.0; 18.0; 18.0; 0.0; -421.0; 376.0; 111.0; 29.0; 0.0
2021-05-31; -2072.0; 608.0; 140.0; 748.0; 25.0; 1.0; 9.0; -139.0; -35.0; -1359.0; -68.0; 0.0; 0.0; -364.0; 0.0; -364.0; -134.0; -566.0; -697.0; 17.0; -680.0; -1.0; -1.0; 0.0; -11.0; -693.0; -2612.0; 26.0; 0.0
2021-02-28; -1973.0; 594.0; 143.0; 737.0; 6.0; -1.0; -128.0; -312.0; -268.0; -1503.0; -1765.0; 0.0; 0.0; -1840.0; 0.0; -1840.0; 17.0; -3589.0; 4312.0; 0.0; 4312.0; 997.0; 997.0; 0.0; -93.0; 5216.0; 138.0; 40.0; 0.0
2020-11-30; -2222.0; 584.0; 475.0; 1059.0; 100.0; 6.0; -68.0; -382.0; -486.0; -1652.0; -1658.0; 0.0; 0.0; 0.0; 0.0; 0.0; -130.0; -1788.0; 2827.0; -289.0; 2538.0; 2459.0; 2459.0; 0.0; -47.0; 4951.0; 1500.0; 53.0; 0.0
2020-08-31; -2859.0; 596.0; 1212.0; 1808.0; 227.0; 13.0; -1149.0; -714.0; -1795.0; -2845.0; -196.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -196.0; 4281.0; -192.0; 4089.0; 232.0; 232.0; 0.0; -47.0; 4274.0; 1295.0; 14.0; 0.0
