Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 186.31; 30.76; 64.65; 95.41; 6.73; -8.39; 0.0; 30.01; 35.4; 317.11; -44.09; -0.25; -561.16; 0.0; 0.0; 0.0; 0.0; -605.51; 450.0; 0.0; 450.0; -96.56; -96.56; 0.0; -39.97; 313.47; -3.49; 73.45; 0.0
2022-06-30; 186.92; 33.14; 49.97; 83.11; -35.61; -4.21; 0.0; 18.66; 54.51; 324.54; -24.07; 0.0; -25.0; 0.0; 0.0; 0.0; 0.0; -49.07; 0.0; 0.0; 0.0; -345.48; -345.48; 0.0; -7.2; -352.68; -105.21; 64.27; 0.0
2022-03-31; 235.34; 35.09; 37.26; 72.35; -28.43; 4.58; 0.0; 110.97; 28.92; 336.61; -18.13; -0.75; 0.0; 0.0; -1.0; -1.0; 0.0; -19.88; 0.0; 0.0; 0.0; -204.34; -204.34; 0.0; -56.34; -260.69; 45.81; 59.47; 0.0
2021-12-31; 176.58; 35.61; 37.25; 72.86; -13.12; -13.42; 0.0; -63.9; -33.59; 215.86; -15.32; -1.58; -6.17; 0.0; 0.0; 0.0; 0.0; -23.08; 0.0; 0.0; 0.0; -105.86; -105.86; 0.0; -9.8; -115.65; 75.12; 54.23; 0.0
2021-09-30; 176.31; 35.43; 16.46; 51.88; 63.15; -11.08; 0.0; -9.25; 68.09; 296.28; -18.84; 0.0; 0.63; 0.0; 0.13; 0.13; 0.0; -18.08; 0.0; 0.0; 0.0; -78.63; -78.63; 0.0; -30.13; -108.76; 166.66; 52.75; 0.0
2021-06-30; 155.9; 36.0; 49.85; 85.86; -2.09; -13.86; 0.0; 88.57; 138.62; 380.38; -14.17; 0.0; -31.4; 0.0; 0.0; 0.0; 0.0; -45.57; 0.0; 0.0; 0.0; -214.16; -214.16; 0.0; -22.95; -237.11; 104.18; 50.52; 0.0
2021-03-31; 187.17; 36.48; 52.12; 88.6; -45.93; -0.67; 0.0; 60.04; -67.33; 208.44; -16.97; 0.0; -189.26; 0.0; 0.0; 0.0; 0.0; -206.23; 0.0; 0.0; 0.0; -125.88; -125.88; 0.0; -56.38; -182.27; -185.45; 52.6; 0.0
2020-12-31; 173.74; 38.92; 54.55; 93.47; -35.88; -32.06; 0.0; -112.59; -131.69; 135.52; -31.07; 0.0; 0.0; 0.0; 0.22; 0.22; 0.0; -30.85; -350.0; 0.0; -350.0; -126.67; -126.67; 0.0; -24.51; -501.18; -378.13; 58.55; 0.0
2020-09-30; 161.63; 37.38; 29.9; 67.28; 12.44; -4.64; 0.0; -10.83; -22.35; 206.56; -20.21; 0.0; -2.44; 0.0; 0.0; 0.0; 0.0; -22.65; 0.0; 0.0; 0.0; -47.23; -47.23; 0.0; -31.86; -79.08; 117.38; 45.33; 0.0
2020-06-30; 131.29; 36.84; 44.12; 80.96; -28.97; 16.28; 0.0; 71.87; 132.87; 345.12; -21.36; 0.0; -1.3; 0.0; 0.0; 0.0; 0.0; -22.65; 0.0; 0.0; 0.0; -64.66; -64.66; 0.0; -16.13; -80.79; 242.9; 46.91; 0.0
