Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 225.8; 22.98; -49.86; -26.88; 445.18; 0.0; -146.7; 182.55; 424.2; 625.46; 49.27; -17.31; 0.0; 0.0; 0.0; 0.0; -63.21; -31.25; 0.0; -70.0; -70.0; -493.04; -493.04; -70.99; -2.81; -636.84; -51.39; 25.81; -70.99
2022-06-30; 348.19; 23.26; 18.6; 41.86; 45.38; 0.0; -106.77; -16.72; -98.39; 265.26; -26.73; -16.44; 0.0; 0.0; 0.0; 0.0; 60.96; 17.78; 0.0; 102.0; 102.0; -301.21; -301.21; -72.41; -7.32; -278.95; -3.88; 27.93; -72.41
2022-03-31; 270.35; 22.49; 18.4; 40.88; -424.02; 0.0; 143.98; -64.7; -325.2; -13.93; -10.05; -16.18; 0.0; 0.0; 0.0; 0.0; 2.25; -23.98; 200.0; 47.0; 247.0; -135.91; -135.91; -72.86; -16.46; 21.77; -14.6; 24.61; -72.86
2021-12-31; 230.1; 22.64; -58.09; -35.45; -257.06; 0.0; 64.99; -42.3; -119.32; 75.86; -7.69; -10.66; -0.0; 0.0; 0.0; 0.0; 0.0; -18.36; 300.0; -107.0; 193.0; -125.47; -125.47; -68.39; -1.47; -2.34; 54.76; 36.02; -68.39
2021-09-30; 247.05; 22.41; 34.16; 56.56; -573.14; 0.0; 188.16; -123.86; -377.56; -73.5; -13.65; -9.08; 0.0; 0.0; 0.0; 0.0; 0.0; -22.73; -2.05; 360.79; 358.74; -159.39; -159.39; -69.17; -2.16; 128.02; 29.85; 40.81; -69.17
2021-06-30; 193.79; 22.94; 22.52; 45.45; -279.48; 0.0; 200.64; -64.42; -90.4; 149.29; -7.42; -8.91; -14.75; 0.0; 0.0; 0.0; 0.0; -31.08; 0.0; 20.96; 20.96; -113.73; -113.73; -69.73; -2.37; -164.87; -44.81; 29.16; -69.73
2021-03-31; 173.31; 23.28; 18.75; 42.03; -437.86; 0.0; 206.24; -69.09; -272.52; -56.69; -5.43; -8.07; 0.0; 0.0; 0.0; 0.0; 0.0; -13.51; 0.0; 250.0; 250.0; -112.5; -112.5; -70.03; -20.71; 46.76; -26.18; 23.99; -70.03
2020-12-31; 147.81; 24.66; -8.52; 16.14; -84.61; 0.0; -6.48; 22.84; -3.79; 162.14; -5.69; -8.06; 0.0; 0.0; 0.0; 0.0; 0.0; -13.75; 0.0; -60.0; -60.0; -101.84; -101.84; -2.53; -1.32; -165.68; -8.77; 10.87; -2.53
2020-09-30; 136.53; 26.92; 0.24; 27.15; -318.6; 0.0; -33.52; -29.13; -333.04; -168.59; -5.83; -9.4; 0.0; 0.0; 0.0; 0.0; 0.0; -15.22; 0.0; 60.0; 60.0; 80.25; 80.25; -70.32; -1.57; 68.35; -109.67; 10.78; -70.32
2020-06-30; 143.94; 25.76; 4.04; 29.8; 84.2; 0.0; 121.33; -8.5; 261.85; 447.14; -3.78; -6.56; 0.39; 0.0; 0.0; 0.0; 5.53; -4.42; 0.0; -321.0; -321.0; 9.03; 9.03; -67.23; -1.17; -380.38; 67.66; 10.95; -67.23
2020-03-31; 78.15; 24.39; 14.96; 39.35; -133.14; 0.0; 98.95; -1.44; -59.78; 58.5; -7.84; -6.86; -223.62; 0.0; 0.0; 0.0; 0.0; -238.32; 0.0; 178.0; 178.0; -57.29; -57.29; -69.87; -13.79; 37.04; -153.29; 11.4; -69.87
2019-12-31; 99.11; 25.33; 3.01; 28.33; 104.2; 0.0; -21.84; 11.72; 83.48; 211.56; -9.63; -9.89; -0.01; 0.0; 0.0; 0.0; 0.01; -19.52; -118.0; 100.0; -18.0; -45.49; -45.49; -69.92; -0.76; -134.18; 63.43; -1.57; -69.92
2019-09-30; 146.89; 25.48; 6.67; 32.16; 14.93; 0.0; -33.51; 24.05; -6.29; 167.33; -9.89; -9.49; -0.81; 0.0; 0.0; 0.0; 16.62; -3.57; -1.0; 0.0; -1.0; -55.19; -55.19; -68.86; -1.67; -126.72; 29.12; 8.85; -68.86
2019-06-30; 169.18; 25.08; 10.28; 35.36; -28.55; 0.0; 48.12; -23.25; -5.33; 199.59; -8.15; -9.54; -14.24; 0.0; 0.0; 0.0; 0.0; -31.93; -88.0; 0.0; -88.0; -97.66; -97.66; -69.27; -0.64; -255.57; -90.17; 14.68; -69.27
2019-03-31; 161.79; 24.56; 14.07; 38.63; 117.72; 0.0; -10.74; -12.0; 55.93; 256.93; -8.62; -5.25; -44.14; 0.0; 0.0; 0.0; 0.01; -58.0; 0.0; -5.0; -5.0; -48.01; -48.01; -69.74; -12.04; -134.79; 66.86; 17.12; -69.74
2018-12-31; 187.15; 24.33; 12.05; 36.38; 78.2; 0.0; -84.57; 42.33; 40.02; 264.01; -9.21; -5.08; -4.0; 0.0; 0.0; 0.0; -2.02; -20.3; 0.0; 5.0; 5.0; -94.04; -94.04; -70.06; -0.66; -159.76; 80.81; 19.32; -70.06
2018-09-30; 175.9; 23.92; 28.43; 52.35; -53.63; 0.0; 18.88; -10.89; -8.51; 220.41; -15.22; -4.28; 0.0; 0.0; 0.0; 0.0; -0.06; -19.56; 0.0; -66.0; -66.0; -72.02; -72.02; -64.6; -1.71; -204.33; -12.77; 23.77; -64.6
2018-06-30; 159.16; 24.24; 18.73; 42.97; -204.56; 0.0; 79.97; -20.07; -94.58; 107.9; -8.85; -5.77; -1.31; 0.0; 0.0; 0.0; -0.82; -16.75; 591.01; -585.0; 6.01; -60.45; -60.45; -65.18; -0.8; -120.42; -39.21; 26.57; -65.18
2018-03-31; 142.3; 24.24; 18.51; 42.76; -10.06; 0.0; 21.8; -5.84; 15.2; 200.57; -11.72; -3.74; 0.0; 0.0; 0.0; 0.0; -0.73; -16.19; 0.0; -64.0; -64.0; -23.2; -23.2; -65.38; -18.09; -170.68; 15.89; 18.13; -65.38
2017-12-31; 152.56; 23.64; -3.46; 20.18; 13.1; 0.0; -22.11; -26.73; -10.22; 165.65; -7.99; -3.54; -0.62; 0.0; 0.0; 0.0; -0.72; -12.87; 0.0; -4.0; -4.0; -40.63; -40.63; -65.46; -0.81; -110.9; 36.58; 17.3; -65.46
2017-09-30; 119.19; 23.96; 7.52; 31.48; -132.6; 0.0; 31.02; 9.12; -83.69; 68.34; -8.03; -5.42; -46.67; 0.0; 0.0; 0.0; 1.3; -58.81; 0.0; 127.0; 127.0; -56.04; -56.04; -63.96; -1.12; 5.88; 24.12; 7.67; -63.96
2017-06-30; 111.07; 22.95; 4.45; 27.39; -149.48; 0.0; 87.93; -3.6; -81.15; 57.31; -10.57; -5.68; 0.0; 0.0; 0.0; 0.0; -1.15; -17.4; 250.0; -148.0; 102.0; -37.5; -37.5; -64.21; -0.67; -0.38; 43.39; 4.52; -64.21
2017-03-31; 122.08; 22.43; 5.03; 27.46; -95.2; 0.0; 47.2; -7.07; -56.84; 92.7; -13.54; -3.18; -1.78; 0.0; 0.0; 0.0; 0.06; -18.44; 0.0; 0.0; 0.0; -13.18; -13.18; -64.6; -18.95; -96.73; -17.87; 12.32; -64.6
2016-12-31; 122.3; 21.95; 0.69; 22.65; -35.4; 0.0; 22.41; 4.63; 5.72; 152.58; -17.33; -3.0; 0.0; 0.0; 0.0; 0.0; -0.61; -20.94; 0.0; 15.0; 15.0; -60.57; -60.57; -54.3; 0.8; -99.08; 23.22; 6.94; -54.3
2016-09-30; 129.03; 17.66; 8.36; 26.02; -43.78; 0.0; 40.67; 5.74; -25.48; 129.57; -22.64; -4.49; -220.2; 0.0; 0.0; 0.0; -0.33; -247.67; 0.0; 260.0; 260.0; -59.97; -59.97; -63.61; -0.98; 135.44; 17.37; 4.84; -63.61
2016-06-30; 143.09; 18.18; 13.23; 31.41; -136.32; 0.0; 75.63; -13.3; -31.39; 143.11; -20.36; -5.79; 0.0; 0.0; 0.0; 0.0; 0.36; -25.79; 0.0; -5.0; -5.0; -18.86; -18.86; -63.63; 0.41; -87.08; 27.68; 10.61; -63.63
2016-03-31; 118.96; 16.88; 16.97; 33.84; 42.3; 0.0; -22.78; -7.38; -48.66; 104.15; -13.12; -4.7; 0.0; 0.0; 0.0; 0.0; -0.77; -18.59; 0.0; 20.0; 20.0; -14.26; -14.26; -63.89; -18.44; -76.59; 11.18; 15.18; -63.89
2015-12-31; 126.58; 16.9; -4.03; 12.86; 146.61; 0.0; -76.31; 6.74; 107.04; 253.89; -8.8; -3.03; -2.73; 0.0; 0.0; 0.0; 0.11; -14.45; 0.0; -80.0; -80.0; -66.23; -66.23; -64.17; 0.86; -209.53; 25.14; 14.15; -64.17
2015-09-30; 139.43; 16.83; 8.86; 25.69; 48.61; 0.0; -33.85; 12.84; 48.12; 213.25; -7.78; -5.43; 2.04; 0.0; 0.0; 0.0; 0.17; -11.0; 0.0; -100.0; -100.0; -68.01; -68.01; -56.93; 0.47; -224.48; -28.36; 12.49; -56.93
2015-06-30; 137.21; 16.44; 18.55; 34.99; -60.06; 0.0; 35.79; -7.86; -21.39; 150.8; -7.65; -5.29; 0.0; 0.0; 0.0; 0.0; -0.1; -13.04; 0.0; 0.0; 0.0; -49.05; -49.05; -57.18; 0.33; -105.9; 35.67; 15.68; -57.18
2015-03-31; 106.48; 16.24; 20.18; 36.42; -27.6; 0.0; 21.11; -11.2; -42.51; 100.39; -3.9; -2.77; -369.14; 0.0; 0.0; 0.0; 359.85; -15.96; 0.0; 25.0; 25.0; -31.02; -31.02; -57.34; -4.48; -67.83; 6.84; 15.34; -57.34
2014-12-31; 112.95; 13.57; 8.89; 22.46; 69.87; 0.0; -26.87; 10.48; 71.99; 208.1; -3.07; -1.29; 0.0; 0.0; 0.0; 0.0; -359.82; -364.19; 0.0; 260.0; 260.0; -36.75; -36.75; -57.42; -0.98; 164.86; 1.22; 14.3; -57.42
2014-09-30; 124.98; 14.09; 17.0; 31.09; 54.36; 0.0; -53.98; 10.13; 20.88; 176.95; -4.43; -1.88; 0.0; 0.0; 0.0; 0.0; 0.16; -6.15; 0.0; -55.0; -55.0; -73.9; -73.9; -52.68; 0.54; -181.04; -16.5; 17.14; -52.68
2014-06-30; 118.6; 14.8; 15.75; 30.55; -92.61; 0.0; 33.06; 2.14; -35.22; 113.93; -3.74; -2.49; 0.0; 0.0; 0.0; 0.0; 0.0; -6.23; 0.0; -10.0; -10.0; -44.14; -44.14; -52.49; 0.61; -106.02; 1.4; 11.63; -52.49
2014-03-31; 93.19; 14.55; 16.34; 30.89; -168.72; 0.0; 88.05; -16.09; -109.64; 14.44; -11.12; -1.47; 0.0; 0.0; 0.0; 0.0; 0.27; -12.33; 0.0; 35.0; 35.0; 2.69; 2.69; -52.42; -6.7; -21.43; -19.23; 4.79; -52.42
2013-12-31; 92.95; 14.83; -0.2; 14.63; 110.15; 0.0; -55.74; 5.21; 56.95; 164.85; -12.49; -1.48; 0.0; 0.0; 0.0; 0.0; 0.0; -13.97; 0.0; 25.0; 25.0; -91.67; -91.67; -53.13; 1.04; -118.75; 32.32; -1.76; -53.13
