Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-12-31; -801.0; -95.0; 26.0; -69.0; 95.0; 0.0; 0.0; 0.0; 77.0; -41.0; 58.0; 0.0; 0.0; 0.0; 5488.0; 5488.0; 2982.0; 8528.0; -500.0; -508.0; -1008.0; 16.0; 16.0; 283.0; 8931.0; 8222.0; 16709.0; -48.0; 266.0
2022-09-30; 351.0; 31.0; 6.0; 37.0; -53.0; 0.0; 0.0; 0.0; 9.0; 393.0; -17.0; 0.0; 0.0; 0.0; 199.0; 199.0; -471.0; -289.0; 500.0; 508.0; 1008.0; 3.0; 3.0; -94.0; -2584.0; -1667.0; -1563.0; 9.0; -88.0
2022-06-30; 261.0; 31.0; -25.0; 6.0; -41.0; 0.0; 0.0; 0.0; 8.0; 358.0; -24.0; 0.0; 0.0; 0.0; -2888.0; -2888.0; -2130.0; -5042.0; 0.0; 0.0; 0.0; 2.0; 2.0; -94.0; -1241.0; -1333.0; -6017.0; 11.0; -89.0
2022-03-31; 189.0; 33.0; -7.0; 26.0; -1.0; 0.0; 0.0; 0.0; -94.0; -710.0; -17.0; 0.0; 0.0; 0.0; -2799.0; -2799.0; -381.0; -3197.0; 0.0; 0.0; 0.0; -21.0; -21.0; -95.0; -5106.0; -5222.0; -9129.0; 28.0; -89.0
2021-12-31; 228.0; 33.0; -80.0; -47.0; -4.0; 0.0; 0.0; 0.0; 44.0; 429.0; -20.0; 0.0; 0.0; 0.0; -276.0; -276.0; -1151.0; -1447.0; 0.0; 0.0; 0.0; -38.0; -38.0; -94.0; 240.0; 108.0; -910.0; 5.0; -88.0
2021-09-30; 262.0; 35.0; -5.0; 30.0; 16.0; 0.0; 0.0; 0.0; 69.0; 202.0; -15.0; 0.0; 0.0; 0.0; -1115.0; -1115.0; 2611.0; 1481.0; 0.0; 0.0; 0.0; -216.0; -216.0; -97.0; 5718.0; 5405.0; 7088.0; 7.0; -91.0
2021-06-30; 328.0; 34.0; -119.0; -85.0; 6.0; 0.0; 0.0; 0.0; 11.0; -156.0; -17.0; 0.0; 0.0; 0.0; -251.0; -251.0; 949.0; 681.0; 0.0; 0.0; 0.0; -443.0; -443.0; -100.0; 1648.0; 1105.0; 1630.0; 7.0; -95.0
2021-03-31; 350.0; 33.0; -141.0; -108.0; -5.0; 0.0; 0.0; 0.0; 21.0; 159.0; -18.0; 0.0; 0.0; 0.0; -643.0; -643.0; 1669.0; 1008.0; -2800.0; 0.0; -2800.0; 2.0; 2.0; -101.0; 836.0; -2063.0; -896.0; 22.0; -95.0
2020-12-31; 221.0; 34.0; -8.0; 26.0; -7.0; 0.0; 0.0; 0.0; 14.0; 208.0; -28.0; 0.0; 0.0; 0.0; -2.0; -2.0; 58.0; 28.0; 0.0; -10.0; -10.0; 2.0; 2.0; -101.0; 4499.0; 4390.0; 4626.0; 6.0; -93.0
2020-09-30; 217.0; 33.0; -11.0; 22.0; -11.0; 0.0; 0.0; 0.0; 3.0; -24.0; -22.0; 0.0; 0.0; 0.0; -2314.0; -2314.0; 1050.0; -1286.0; -750.0; -742.0; -1492.0; -3.0; -4.0; -91.0; 727.0; -860.0; -2170.0; 6.0; -91.0
