Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-12-31; 2873.0; 3472.0; -81.0; 3391.0; -753.0; 0.0; 0.0; 26.0; -382.0; 5883.0; -3673.0; -989.0; 777.0; 0.0; -185.0; -185.0; 88.0; -3982.0; 573.0; 660.0; 1233.0; -3515.0; -3515.0; -1170.0; 567.0; -2885.0; -948.0; 347.0; -1170.0
2022-09-30; -4665.0; 3333.0; 8979.0; 12312.0; -236.0; 0.0; 0.0; -537.0; -699.0; 6946.0; -2845.0; -769.0; 1088.0; 0.0; -925.0; -925.0; 84.0; -3366.0; -47.0; 0.0; -47.0; -3525.0; -3525.0; -1194.0; 103.0; -4663.0; -1129.0; 314.0; -1194.0
2022-06-30; 3241.0; 3468.0; 1211.0; 4679.0; 189.0; 0.0; 0.0; -1547.0; -1594.0; 6327.0; -2435.0; -742.0; 39.0; 0.0; -1098.0; -1098.0; 42.0; -4195.0; -101.0; 0.0; -101.0; -3065.0; -3065.0; -1211.0; 230.0; -4146.0; -2055.0; 299.0; -1211.0
2022-03-31; 3476.0; 3548.0; 462.0; 4010.0; -527.0; 0.0; 0.0; -16.0; -229.0; 7257.0; -2003.0; -641.0; 69.0; 0.0; -66.0; -66.0; 44.0; -2597.0; 13.0; 0.0; 13.0; -3223.0; -3223.0; -1166.0; -114.0; -4490.0; 135.0; 376.0; -1166.0
2021-12-31; 2979.0; 3582.0; 938.0; 4520.0; -615.0; 0.0; 0.0; 708.0; 191.0; 7689.0; -3179.0; -877.0; -1023.0; 0.0; -52.0; -52.0; 92.0; -5040.0; -2344.0; 0.0; -2344.0; -2055.0; -2055.0; -1145.0; -128.0; -5672.0; -3079.0; 296.0; -1145.0
2021-09-30; 3932.0; 3477.0; 625.0; 4102.0; -857.0; 0.0; 0.0; -1445.0; -1934.0; 6100.0; -2264.0; -723.0; 105.0; 0.0; -36.0; -36.0; 142.0; -2775.0; -1124.0; 0.0; -1124.0; -1660.0; -1660.0; -1157.0; 59.0; -3882.0; -560.0; 308.0; -1157.0
2021-06-30; 3630.0; 3383.0; 591.0; 3974.0; -417.0; 0.0; 0.0; -78.0; 2.0; 7606.0; -2420.0; -671.0; -13.0; 0.0; -34.0; -34.0; 119.0; -3019.0; -5470.0; 0.0; -5470.0; -648.0; -648.0; -1150.0; 102.0; -7166.0; -2558.0; 338.0; -1150.0
2021-03-31; 3292.0; 3362.0; 224.0; 3586.0; 554.0; 0.0; 0.0; 517.0; 873.0; 7751.0; -2287.0; -612.0; 241.0; 0.0; -52.0; -52.0; 98.0; -2612.0; 68.0; 0.0; 68.0; -309.0; -309.0; -1080.0; -577.0; -1898.0; 3208.0; 373.0; -1080.0
2020-12-31; 3437.0; 3252.0; -1448.0; 1804.0; -1002.0; 0.0; 0.0; 524.0; -199.0; 5042.0; -3215.0; -1143.0; 200.0; 0.0; -267.0; -267.0; 351.0; -4074.0; -1701.0; 0.0; -1701.0; -105.0; -105.0; -1054.0; -62.0; -2922.0; -1969.0; 271.0; -1054.0
2020-09-30; 2031.0; 3320.0; 530.0; 3850.0; 82.0; 0.0; 0.0; -1069.0; -653.0; 5228.0; -2797.0; -552.0; 62.0; 0.0; -74.0; -74.0; -134.0; -3495.0; -1332.0; 0.0; -1332.0; -160.0; -160.0; -1058.0; 484.0; -2066.0; -239.0; 301.0; -1058.0
2020-06-30; 3009.0; 3264.0; 92.0; 3356.0; 702.0; 0.0; 0.0; 1728.0; 2278.0; 8643.0; -2413.0; -601.0; 2021.0; 0.0; -402.0; -402.0; 18.0; -1377.0; 1058.0; 0.0; 1058.0; -36.0; -36.0; -1051.0; -1870.0; -1899.0; 5367.0; 323.0; -1051.0
2020-03-31; 2224.0; 3264.0; 1196.0; 4460.0; 198.0; 0.0; 0.0; -331.0; -860.0; 5824.0; -2252.0; -618.0; -177.0; 0.0; -69.0; -69.0; 15.0; -3101.0; 1842.0; 0.0; 1842.0; -233.0; -233.0; -977.0; -258.0; 374.0; 3020.0; 298.0; -977.0
2019-12-31; 3200.0; 3177.0; 579.0; 3756.0; -417.0; 0.0; 0.0; -1106.0; -721.0; 6235.0; -3467.0; -789.0; 489.0; 0.0; -202.0; -202.0; 40.0; -3929.0; 584.0; 0.0; 584.0; -72.0; -72.0; -957.0; 90.0; -355.0; 1987.0; 231.0; -957.0
2019-09-30; 3288.0; 3180.0; 602.0; 3782.0; 65.0; 0.0; 0.0; -1610.0; -1879.0; 5191.0; -2797.0; -608.0; -9.0; 0.0; -92.0; -92.0; 8.0; -3498.0; -491.0; -487.0; -978.0; -82.0; -82.0; -955.0; -79.0; -2094.0; -417.0; 257.0; -955.0
2019-06-30; 3203.0; 3276.0; 705.0; 3981.0; -154.0; 0.0; 0.0; 251.0; -144.0; 7040.0; -2493.0; -531.0; 47.0; 0.0; -1166.0; -1166.0; -45.0; -4188.0; -1931.0; 487.0; -1444.0; -103.0; -103.0; -954.0; 94.0; -2407.0; 422.0; 288.0; -954.0
2019-03-31; 3632.0; 3320.0; 95.0; 3415.0; 449.0; 0.0; 0.0; 309.0; 184.0; 7231.0; -2312.0; -547.0; -11.0; 0.0; -439.0; -439.0; 83.0; -3226.0; -1862.0; -1288.0; -3150.0; -247.0; -247.0; -869.0; -59.0; -4325.0; -312.0; 245.0; -869.0
2018-12-31; 2582.0; 3197.0; 165.0; 3362.0; -577.0; 0.0; 0.0; 732.0; -154.0; 5790.0; -3241.0; -560.0; -37990.0; 0.0; -544.0; -544.0; 71.0; -42264.0; 30538.0; -2530.0; 28008.0; -1038.0; -1038.0; -865.0; -99.0; 26006.0; -10713.0; 219.0; -865.0
