Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 679.6; 90.0; 12.1; 102.1; 0.6; 0.0; 14.2; -13.9; -114.7; 657.8; -24.0; 0.0; 0.0; 1.2; -0.8; 0.4; 0.0; -23.6; 0.0; 0.0; 0.0; 0.0; 0.0; -363.2; 1523.8; 1160.6; 1794.8; 19.4; -363.2
2022-06-30; 662.5; 90.1; -2.8; 87.3; 26.0; 0.0; 0.0; 50.7; -141.4; 617.6; -17.9; 0.0; 0.0; 0.1; -399.8; -399.7; 0.0; -417.6; -1.8; 0.0; -1.8; 0.0; 0.0; -363.3; -29307.6; -29672.7; -29472.7; 19.4; -363.3
2022-03-31; 711.0; 91.9; 23.3; 115.2; -174.0; 0.0; 32.0; -51.0; -27.1; 799.1; -23.4; 0.0; 0.0; 2.7; -2.2; 0.5; 0.0; -22.9; -13.4; 0.0; -13.4; 0.0; 0.0; -1543.5; 9778.5; 8221.6; 8997.8; 20.0; -1543.5
2021-12-31; 625.2; 94.5; -77.4; 17.1; 36.1; 0.0; -22.2; 39.9; 21.6; 668.3; 12.0; 0.0; 48.5; 3.5; -105.4; -101.9; 109.0; 67.6; 0.0; 0.0; 0.0; 0.0; 965.0; -326.8; 8757.1; 9395.3; 10131.2; 18.6; -326.8
2021-09-30; 926.3; 96.2; -426.5; -330.3; 50.7; 0.0; 24.6; -32.9; 37.8; 631.6; -31.7; 0.0; 0.0; 1.7; 84.6; 86.3; 4.2; 58.8; 0.0; 0.0; 0.0; 0.0; 0.0; -322.5; 7872.2; 7549.7; 8240.1; 15.6; -322.5
2021-06-30; 510.6; 96.5; 15.3; 111.8; 13.7; 0.0; -12.3; 73.2; -124.8; 499.8; -39.7; 0.0; 0.0; 2.0; 10.0; 12.0; -6.3; -34.0; 0.0; 0.0; 0.0; 0.0; 0.0; -322.5; 17887.2; 17564.7; 18030.5; 19.4; -322.5
2021-03-31; 574.8; 98.2; 26.1; 124.3; -146.2; 0.0; -8.7; -57.2; -96.4; 602.7; -28.5; 0.0; 0.0; 2.2; -1.5; 0.7; -6.2; -34.0; 0.0; 0.0; 0.0; 0.0; 0.0; -1217.5; 36616.5; 35399.0; 35967.7; 21.6; -1217.5
2020-12-31; 424.8; 120.5; 5.2; 125.7; 29.0; 0.0; -30.2; 77.3; 107.8; 660.3; -70.0; 0.0; 26.3; 8.4; -16.8; -8.4; 0.0; -52.1; 0.0; 0.0; 0.0; 0.0; 0.0; -304.3; 49702.1; 49397.8; 50006.0; 26.7; -304.3
2020-09-30; 411.5; 118.0; 31.5; 149.5; 41.7; 0.0; 11.5; 11.6; -256.2; 311.4; -48.3; 0.0; 0.0; 4.5; -0.1; 4.4; 0.0; -43.9; 0.0; 0.0; 0.0; 0.0; 0.0; -304.1; -36.6; -340.7; -73.2; 23.8; -304.1
2020-06-30; 503.3; 113.3; 8.4; 121.7; 267.0; 0.0; 13.7; -22.7; 365.9; 986.8; -36.4; 0.0; 0.0; -0.4; 0.3; -0.1; 0.0; -36.5; -100.0; 0.0; -100.0; 0.0; 0.0; -304.0; 7.4; -396.6; 553.7; 22.4; -304.0
2020-03-31; 766.8; 112.6; 31.9; 144.5; -309.5; 0.0; 12.4; -47.3; -158.3; 757.1; -42.8; 0.0; 0.0; -0.2; 0.0; -0.2; 0.0; -43.0; -204.6; 0.0; -204.6; 0.0; 0.0; -1197.6; -11.7; -1413.9; -699.8; 23.1; -1197.6
2019-12-31; 469.0; 116.1; 1.0; 117.1; 53.4; 0.0; 0.3; 11.4; 131.0; 719.7; -66.4; 0.0; 89.6; 15.6; -54.7; -39.1; 0.0; -15.9; 437.8; -569.2; -131.4; 0.0; 0.0; -268.1; -2342.3; -2741.8; -2038.0; 2.3; -268.1
2019-09-30; 636.3; 121.2; 27.8; 149.0; 47.8; 0.0; 9.9; 23.8; 15.6; 810.2; -57.6; 0.0; 0.0; -0.1; 10.9; 10.8; 0.0; -46.8; 38.9; -239.5; -200.6; 0.0; 0.0; -267.9; -21.7; -490.2; 273.2; 14.4; -267.9
2019-06-30; 514.6; 122.4; 64.7; 187.1; -34.9; 0.0; -13.7; -9.5; -228.0; 473.7; -72.5; 0.0; 0.0; -2.8; 34.0; 31.2; 0.0; -41.3; -462.3; 239.5; -222.8; 0.0; 0.0; -267.8; 1.0; -489.6; -57.2; 38.1; -267.8
2019-03-31; 495.9; 113.6; 12.9; 126.5; -5.5; 0.0; -50.6; -38.4; 46.8; 669.2; -49.1; 0.0; 0.0; 6.1; -5.6; 0.5; 0.0; -48.6; -106.9; 0.0; -106.9; 0.0; 0.0; -892.1; 1.3; -997.7; -377.1; 18.3; -892.1
2018-12-31; 387.0; 91.9; 123.1; 215.0; -37.6; 0.0; 9.8; -96.2; -89.6; 510.4; -55.8; 0.0; -1774.7; 0.2; -20.4; -20.2; 0.0; -1850.7; -1185.3; 1119.4; -65.9; 0.0; 0.0; -249.8; 3.5; -312.2; -1652.5; 46.0; -249.8
2018-09-30; 411.8; 53.9; 61.4; 115.3; 47.1; 0.0; 26.0; -9.6; 53.5; 582.6; -31.3; 0.0; 0.0; 0.1; 0.0; 0.1; 0.0; -31.2; -1.9; 0.0; -1.9; 0.0; 0.0; -237.6; -18.0; -257.5; 293.9; 16.6; -237.6
2018-06-30; 566.1; 51.1; -34.0; 17.1; 10.0; 0.0; 2.9; 20.5; -60.4; 522.8; -11.4; 0.0; 0.0; 0.7; 20.4; 21.1; 0.0; 9.7; 1187.2; 0.0; 1187.2; 0.0; 0.0; -237.7; -24.5; 925.0; 1457.5; 16.2; -237.7
2018-03-31; 598.8; 51.8; 16.9; 68.7; -85.0; 0.0; -6.4; -15.9; 157.5; 825.0; -18.2; 0.0; 0.0; 0.8; 0.0; 0.8; 0.0; -17.4; 0.0; 0.0; 0.0; 0.0; 0.0; -1424.8; -10.5; -1435.3; -627.7; 17.7; -1424.8
2017-12-31; 2939.2; 51.6; -2554.0; -2502.4; 29.8; 0.0; -4.9; -91.0; 23.6; 460.4; -28.9; 0.0; 267.6; -0.5; -259.1; -259.6; 0.0; -20.9; 0.0; 0.0; 0.0; -30.4; -30.4; -223.9; 37.5; -216.8; 222.7; 15.2; -223.9
2017-09-30; 308.6; 50.7; 110.2; 160.9; 26.8; 0.0; 10.7; -12.1; 37.8; 507.3; -15.4; 0.0; 0.0; -0.7; 12.1; 11.4; 0.0; -4.0; 0.0; 0.0; 0.0; 7.5; 7.5; -223.5; -18.4; -234.4; 268.9; 15.1; -223.5
2017-06-30; 415.8; 52.8; 14.3; 67.1; 10.9; 0.0; -12.9; 49.8; -218.9; 264.0; -17.6; 0.0; 0.0; 0.2; -2.0; -1.8; 0.0; -19.4; 0.0; 0.0; 0.0; 12.4; 12.4; -223.5; 0.7; -210.4; 34.2; 12.8; -223.5
2017-03-31; 399.8; 53.4; 14.1; 67.5; -61.5; 0.0; 12.2; -66.7; 52.1; 519.4; -20.0; 0.0; 0.0; 0.5; 243.7; 244.2; 0.0; 224.2; 0.0; 0.0; 0.0; 10.5; 10.5; -1322.6; -11.6; -1323.7; -580.1; 14.9; -1322.6
2016-12-31; 373.4; 57.8; 5.2; 63.0; 10.6; 0.0; -8.3; 21.7; 63.2; 499.6; -28.9; 0.0; 0.0; 0.6; 145.8; 146.4; 0.0; 117.5; 0.0; 0.0; 0.0; 22.3; 22.3; -202.9; 0.8; -179.8; 437.3; 23.9; -202.9
2016-09-30; 472.8; 55.2; -121.4; -66.2; 52.4; 0.0; -1.1; -13.3; 72.1; 478.7; -23.3; 0.0; 8.8; -0.9; -1.1; -2.0; 0.0; -16.5; 0.0; 0.0; 0.0; 9.5; 9.5; -202.6; -9.7; -202.8; 259.4; 12.3; -202.6
2016-06-30; 320.1; 54.4; 28.9; 83.3; -37.8; 0.0; 3.3; 46.1; -179.7; 223.7; -19.4; 0.0; 0.0; 0.2; -0.8; -0.6; 0.0; -20.0; 0.0; 0.0; 0.0; 13.6; 13.6; -202.4; 0.2; -188.6; 15.1; 14.0; -202.4
2016-03-31; 367.8; 57.9; 46.9; 104.8; -33.3; 0.0; 3.5; -91.3; 57.4; 530.0; -20.2; 0.0; 0.0; -4.1; -3.0; -7.1; 0.0; -27.3; 130.0; 0.0; 130.0; 6.4; 6.4; -1179.3; -6.4; -1049.3; -546.6; 16.0; -1179.3
2015-12-31; 291.7; 56.3; 51.1; 107.4; 5.0; 0.0; -9.5; 3.1; -13.4; 391.3; -23.9; 0.0; 0.0; 9.0; 54.1; 63.1; 0.0; 39.2; -70.7; 70.7; 0.0; 12.2; 12.2; -168.5; -15.9; -172.2; 258.3; 15.6; -168.5
2015-09-30; 359.9; 57.3; 12.6; 69.9; 36.1; 0.0; 16.1; -3.9; 33.7; 463.5; -29.6; 0.0; 0.0; 29.4; -20.0; 9.4; 0.0; -20.2; 0.0; 0.0; 0.0; 9.7; 9.7; -168.2; -1.5; -160.0; 283.3; 11.5; -168.2
2015-06-30; 265.0; 58.3; 107.1; 165.4; -16.6; 0.0; -11.8; 61.4; -171.6; 258.8; -29.3; 0.0; 0.0; -0.1; 52.7; 52.6; 0.0; 23.3; -673.0; 0.0; -673.0; 13.5; 13.5; -167.9; 1.5; -825.9; -543.8; 19.0; -167.9
2015-03-31; 330.4; 56.7; 18.5; 75.2; -41.8; 0.0; -3.0; -91.0; 13.3; 418.9; -31.4; 0.0; 0.0; 0.0; 0.0; 0.0; 7.0; -24.4; 743.7; 0.0; 743.7; 28.6; 28.6; -838.8; 0.7; -65.8; 328.7; 14.7; -838.8
2014-12-31; 306.5; 56.4; 60.3; 116.7; 3.4; 0.0; 1.9; 38.2; 79.3; 502.5; -36.5; 0.0; 0.0; 0.0; -55.0; -55.0; 0.0; -91.5; 750.0; -750.0; 0.0; 26.7; 26.7; -157.6; -1.9; -132.8; 278.2; 13.9; -157.6
2014-09-30; 290.0; 58.0; 40.1; 98.1; -10.0; 0.0; 2.9; -32.9; -153.9; 234.2; -26.8; 0.0; 0.0; 0.0; -10.5; -10.5; 0.0; -37.3; 0.0; 0.0; 0.0; 15.1; 15.1; -157.1; -4.3; -146.3; 50.6; 14.5; -157.1
2014-06-30; 263.8; 59.5; -3.3; 56.2; 10.0; 0.0; -11.0; 14.0; -147.1; 171.7; -40.9; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -40.9; 0.0; 0.0; 0.0; 7.0; 7.0; -157.1; 2.9; -147.2; -16.4; 13.2; -157.1
