Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-10-31; 65.6; 89.0; 89.1; 178.1; -33.8; -40.4; 49.9; -93.7; -113.0; 130.7; -94.9; 0.0; -4.8; 0.0; 0.0; 0.0; 0.0; -99.7; -3.9; -133.4; -137.3; 18.7; 18.7; -1.5; -14.0; -134.1; -108.0; 54.2; -1.5
2022-07-31; 98.4; 81.7; 40.1; 121.8; 0.0; 0.0; 0.0; 43.7; 43.7; 263.9; -46.6; 0.0; 0.1; 0.0; 0.0; 0.0; 0.0; -46.5; -0.6; -369.6; -370.2; -6.0; -6.0; 0.0; 7.5; -368.7; -153.0; 0.0; 0.0
2022-04-30; 126.5; 93.4; -29.5; 63.9; 0.0; 0.0; 0.0; -58.6; -58.6; 131.8; -43.4; 0.0; 27.7; 0.0; 0.0; 0.0; 0.0; -15.7; -0.4; 1.9; 1.5; 1.8; 1.8; -1.5; 1.1; 2.9; 116.4; 0.0; -1.5
2022-01-31; 95.3; 82.0; -17.5; 64.5; 0.0; 0.0; 0.0; 6.2; 6.2; 166.0; -57.1; 0.0; -1612.2; 0.0; 0.0; 0.0; 0.0; -1669.3; 954.4; 830.4; 1784.8; -76.9; -76.9; 0.0; -14.3; 1693.6; 186.6; 0.0; 0.0
2021-10-31; 110.3; 77.4; 55.1; 132.5; -75.5; -9.2; -16.0; -36.7; -68.3; 174.5; -65.0; 0.0; -1.0; 0.0; 0.0; 0.0; 0.0; -66.0; 215.8; -354.3; -138.5; 29.4; 29.4; -1.5; -13.2; -123.8; -16.4; 43.8; -1.5
2021-07-31; 615.8; 78.9; -450.7; -371.8; 0.0; 0.0; 0.0; -20.2; -20.2; 223.8; -43.6; 0.0; -64.0; 0.0; 0.0; 0.0; 0.0; -107.6; -145.1; 27.6; -117.5; 7.6; 7.6; 0.0; 1.3; -108.6; 6.6; 0.0; 0.0
2021-04-30; 117.5; 77.5; 9.1; 86.6; 0.0; 0.0; 0.0; -11.5; -11.5; 192.6; -49.9; 0.0; -91.1; 0.0; 0.0; 0.0; 0.0; -141.0; -89.1; 14.2; -74.9; 1.3; 1.3; -1.5; 9.7; -65.4; -13.3; 0.0; -1.5
2021-01-31; 2101.1; 75.5; -1979.0; -1903.5; 0.0; 0.0; 0.0; -49.9; -49.9; 147.7; -55.9; 0.0; -79.8; 0.0; 0.0; 0.0; 0.0; -135.7; 29.8; -8.8; 21.0; -23.6; -23.6; 0.0; -11.0; -13.6; 2.9; 0.0; 0.0
2020-10-31; 81.2; 77.1; 29.9; 107.0; 8.5; -62.3; 23.2; 82.4; 30.1; 218.3; -107.0; 0.0; -36.2; 0.0; 0.0; 0.0; 0.0; -143.2; -99.7; 8.5; -91.2; 22.2; 22.2; -1.5; -14.8; -85.3; -11.5; 37.6; -1.5
2020-07-31; 55.2; 70.6; 23.1; 93.7; 0.0; 0.0; 0.0; -36.1; -36.1; 112.8; -45.1; 0.0; -6.7; 0.0; 0.0; 0.0; 0.0; -51.8; -17.1; -3.0; -20.1; 1.5; 1.5; 0.0; 0.0; -18.6; 47.5; 0.0; 0.0
2020-04-30; 11.5; 68.8; 14.7; 83.5; 0.0; 0.0; 0.0; -69.2; -69.2; 25.8; -89.3; 0.0; -1.8; 0.0; 0.0; 0.0; 0.0; -91.1; 109.8; 10.8; 120.6; -55.3; -55.3; -1.5; 7.8; 71.6; 3.4; 0.0; -1.5
2020-01-31; 90.5; 70.6; 19.2; 89.8; 0.0; 0.0; 0.0; -50.6; -50.6; 129.7; -69.0; 0.0; -9.4; 0.0; 0.0; 0.0; 0.0; -78.4; -29.1; -20.8; -49.9; 0.0; 0.0; 0.0; -13.3; -63.2; -12.1; 0.0; 0.0
2019-10-31; 121.0; 70.6; 26.3; 96.9; -55.6; -37.3; 3.6; 29.5; -18.0; 199.9; -84.8; 0.0; -0.1; 0.0; 0.0; 0.0; 0.0; -84.9; -161.0; 173.5; 12.5; -127.8; -127.8; -1.5; -22.3; -139.1; -23.7; 35.1; -1.5
2019-07-31; 120.2; 70.7; 8.2; 78.9; 0.0; 0.0; 0.0; -2.4; -2.4; 196.7; -75.4; 0.0; -8.3; 0.0; 0.0; 0.0; 0.0; -83.7; -50.0; -65.6; -115.6; 12.0; 12.0; 0.0; 0.0; -103.6; 8.3; 0.0; 0.0
2019-04-30; 122.3; 70.7; -11.8; 58.9; 0.0; 0.0; 0.0; 33.6; 33.6; 214.8; -52.7; 0.0; -0.8; 0.0; 0.0; 0.0; 0.0; -53.5; -215.0; 9.9; -205.1; -4.3; -4.3; -1.5; 9.0; -201.9; -42.0; 0.0; -1.5
2019-01-31; 103.2; 68.8; -16.9; 51.9; 0.0; 0.0; 0.0; -53.3; -53.3; 101.8; -79.2; 0.0; -50.0; 0.0; 0.0; 0.0; 0.0; -129.2; -299.0; 407.5; 108.5; -6.1; -6.1; 0.0; -9.2; 93.2; 66.7; 0.0; 0.0
2018-10-31; 100.7; 70.5; -195.3; -124.8; -59.5; -5.0; 2.9; 236.7; 260.7; 236.6; -43.4; 0.0; -3.1; 0.0; 0.0; 0.0; 0.0; -46.5; -266.0; -7.4; -273.4; 22.3; 22.3; -1.4; -10.8; -263.3; -75.4; 43.2; -1.4
2018-07-31; 100.8; 69.0; 18.9; 87.9; 0.0; 0.0; 0.0; 46.5; 46.5; 235.2; -52.3; 0.0; -0.1; 0.0; 0.0; 0.0; 0.0; -52.4; -194.0; 4.6; -189.4; 10.5; 10.5; 0.0; -9.7; -188.6; -9.3; 0.0; 0.0
2018-04-30; 60.9; 69.0; 51.6; 120.6; 0.0; 0.0; 0.0; -10.6; -10.6; 170.9; -46.5; 0.0; -127.5; 0.0; 0.0; 0.0; 0.0; -174.0; 69.0; 11.6; 80.6; -10.5; -10.5; -1.5; 10.3; 78.9; 73.2; 0.0; -1.5
2018-01-31; -122.5; 66.6; 259.1; 325.7; 0.0; 0.0; 0.0; -177.0; -177.0; 26.2; -51.4; 0.0; -1193.2; 0.0; 0.0; 0.0; 0.0; -1244.6; 1227.0; 4.8; 1231.8; 0.0; 0.0; 0.0; -14.4; 1217.4; 2.9; 0.0; 0.0
2017-10-31; 88.6; 47.2; 10.7; 57.9; -25.1; -30.9; 25.0; 54.7; 52.5; 199.0; -31.8; 0.0; -57.1; 0.0; 0.0; 0.0; 0.0; -88.9; -31.0; -9.4; -40.4; -14.8; -14.8; -1.4; -10.4; -67.0; 42.8; 37.2; -1.4
2017-07-31; 103.6; 47.2; 2.9; 50.1; 0.0; 0.0; 0.0; 0.8; 0.8; 154.5; -38.1; 0.0; -23.2; 0.0; 0.0; 0.0; 0.0; -61.3; -164.8; -9.9; -174.7; 0.0; 0.0; 0.0; 3.8; -170.9; -75.3; 0.0; 0.0
2017-04-30; 104.9; 46.2; 9.8; 56.0; 0.0; 0.0; 0.0; -29.2; -29.2; 131.7; -28.6; 0.0; -0.4; 0.0; 0.0; 0.0; 0.0; -29.0; 148.0; -186.5; -38.5; -29.5; -29.5; -1.5; -4.0; -73.5; 30.2; 0.0; -1.5
2017-01-31; 75.8; 47.8; 15.1; 62.9; 0.0; 0.0; 0.0; -30.3; -30.3; 108.4; -28.7; 0.0; -173.4; 0.0; 0.0; 0.0; 0.0; -202.1; 97.0; -5.9; 91.1; 0.0; 0.0; 0.0; -7.6; 83.5; -9.7; 0.0; 0.0
2016-10-31; 60.5; 47.4; 27.0; 74.4; 1.6; 12.2; -10.5; 54.9; 58.4; 193.3; -35.2; 0.0; -14.8; 0.0; 0.0; 0.0; 0.0; -50.0; 0.0; -108.9; -108.9; 20.4; 20.4; -1.4; -13.0; -102.9; 38.2; 29.9; -1.4
2016-07-31; 88.2; 49.5; -15.8; 33.7; 0.0; 0.0; 0.0; 7.0; 7.0; 128.9; -31.1; 0.0; -105.8; 0.0; 0.0; 0.0; 0.0; -136.9; 0.0; 0.6; 0.6; 0.0; 0.0; -0.3; 28.7; 29.0; 18.1; 0.0; -0.3
2016-04-30; 74.5; 47.9; 6.7; 54.6; 0.0; 0.0; 0.0; -31.2; -31.2; 97.9; -41.2; 0.0; -84.6; 0.0; 0.0; 0.0; 0.0; -125.8; 88.1; -22.9; 65.2; 0.0; 0.0; -1.9; -8.6; 54.7; 28.5; 0.0; -1.9
2016-01-31; 51.7; 53.5; 14.7; 68.2; 0.0; 0.0; 0.0; -30.4; -30.4; 89.5; -45.1; 0.0; -60.9; 0.0; 0.0; 0.0; 0.0; -106.0; 28.8; -0.7; 28.1; 0.0; 0.0; 0.0; -10.3; 17.8; -0.4; 0.0; 0.0
2015-10-31; 36.97; 50.1; 26.61; 76.71; -4.5; -37.4; 10.1; 37.57; -9.23; 104.45; -58.29; 0.0; -43.72; 0.0; 0.0; 0.0; 0.0; -102.01; 39.23; 1.95; 41.18; -31.5; -31.5; -1.74; -10.47; -2.53; -0.58; 32.9; -1.74
