Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-10-31; 266.9; 190.1; 70.9; 261.0; 0.0; 0.0; 0.0; -314.4; -314.4; 213.5; -392.5; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -392.5; 0.0; 350.0; 350.0; -395.2; -395.2; 0.0; -9.3; -54.5; -235.5; 24.7; 0.0
2022-07-31; 359.9; 194.7; 37.9; 232.6; 0.0; 0.0; 0.0; -610.4; -610.4; -17.9; -277.1; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -277.1; 0.0; 0.0; 0.0; -233.9; -233.9; 0.0; -0.3; -234.2; -529.5; 30.3; 0.0
2022-04-30; 536.4; 190.0; 125.8; 315.8; 0.0; 0.0; 0.0; -313.7; -313.7; 538.5; -256.3; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -256.3; 0.0; 0.0; 0.0; -11.3; -11.3; 0.0; -37.8; -49.1; 233.6; 35.8; 0.0
2022-01-31; 454.2; 192.7; -45.0; 147.7; 0.0; -940.4; 403.8; 351.2; -189.1; 412.8; -273.6; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -273.6; 197.4; 0.0; 197.4; 8.8; 8.8; 0.0; -61.1; 145.1; 283.5; 16.8; 0.0
2021-10-31; 216.8; 180.1; 83.8; 263.9; 0.0; 0.0; 0.0; -198.1; -198.1; 282.6; -295.4; 0.0; 0.0; 0.0; 0.0; 0.0; 0.6; -294.8; 0.0; 0.0; 0.0; -0.1; -0.1; 0.0; -0.7; -0.8; -12.9; 13.5; 0.0
2021-07-31; 282.4; 177.8; 17.9; 195.7; 0.0; 0.0; 0.0; -298.2; -298.2; 179.9; -228.7; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -228.7; 0.0; 0.0; 0.0; -703.6; -703.6; 0.0; -0.6; -704.2; -753.1; 17.8; 0.0
2021-04-30; 374.5; 174.3; 55.0; 229.3; 0.0; 0.0; 0.0; -47.6; -47.6; 556.2; -225.1; 0.0; 0.0; 0.0; 0.0; 0.0; 2.3; -222.8; 0.0; 0.0; 0.0; -237.3; -237.3; 0.0; -39.3; -276.6; 57.2; 31.8; 0.0
2021-01-31; 502.8; 183.8; -3.7; 180.1; 0.0; 97.1; 142.6; 36.4; 299.7; 982.6; -182.2; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -182.2; -300.0; 0.0; -300.0; -203.1; -203.1; 0.0; -0.1; -503.2; 298.4; 13.4; 0.0
2020-10-31; 330.0; 171.1; 54.3; 225.4; 0.0; 0.0; 0.0; -258.7; -258.7; 296.7; -236.4; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -236.4; 0.0; -500.0; -500.0; -191.7; -191.7; 0.0; -0.4; -692.1; -632.0; 14.8; 0.0
2020-07-31; 261.5; 169.1; -4.3; 164.8; 0.0; 0.0; 0.0; 51.7; 51.7; 478.0; -235.2; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -235.2; 0.0; -250.0; -250.0; 2.1; 2.1; 0.0; -0.3; -248.2; -4.8; 23.1; 0.0
2020-04-30; 247.6; 166.6; 87.3; 253.9; 0.0; 0.0; 0.0; 457.5; 457.5; 959.0; -235.9; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -235.9; -250.0; 750.0; 500.0; 9.7; 9.7; 0.0; -16.1; 493.6; 1216.0; 32.6; 0.0
2020-01-31; 123.0; 494.1; -32.0; 462.1; 0.0; 13.6; -79.8; 333.7; 270.2; 855.3; -251.5; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -251.5; -500.0; 0.0; -500.0; 2.9; 2.9; 0.0; -0.7; -497.8; 105.7; 8.9; 0.0
2019-10-31; 255.8; 161.6; 56.6; 218.2; 0.0; 0.0; 0.0; -303.5; -303.5; 170.5; -280.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -280.0; 0.0; 0.0; 0.0; -57.6; -57.6; 0.0; -0.4; -58.0; -168.0; 8.4; 0.0
2019-07-31; 180.3; 156.8; 34.0; 190.8; 0.0; 0.0; 0.0; -141.2; -141.2; 229.9; -296.3; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -296.3; 0.0; 0.0; 0.0; -35.9; -35.9; 0.0; -0.6; -36.5; -102.2; 13.6; 0.0
2019-04-30; 267.9; 152.8; 36.4; 189.2; 0.0; 0.0; 0.0; 157.0; 157.0; 614.1; -208.9; 0.0; 0.0; 0.0; 0.0; 0.0; 16.5; -192.4; 0.0; 0.0; 0.0; -94.2; -94.2; 0.0; -23.3; -117.5; 303.8; 30.5; 0.0
2019-01-31; -2307.0; 2897.2; -18.3; 2878.9; 0.0; -369.2; 242.6; 241.3; 143.2; 715.1; -197.3; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -197.3; -782.0; 0.0; -782.0; 3.3; 3.3; 0.0; -0.6; -779.3; -261.6; 63.1; 0.0
2018-10-31; 281.8; 152.4; 37.4; 189.8; 0.0; 0.0; 0.0; -189.5; -189.5; 282.1; -224.7; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -224.7; 0.0; 0.0; 0.0; 4.0; 4.0; 0.0; -0.9; 3.1; 61.0; 0.0; 0.0
2018-07-31; 273.9; 154.5; 15.1; 169.6; 0.0; 0.0; 0.0; -62.3; -62.3; 381.2; -213.6; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -213.6; 0.0; 0.0; 0.0; 5.6; 5.6; 0.0; -0.5; 5.1; 172.1; 0.0; 0.0
2018-04-30; 160.5; 201.2; 139.3; 340.5; 0.0; 0.0; 0.0; -113.4; -113.4; 387.6; -181.1; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -181.1; -656.9; 0.0; -656.9; 4.6; 4.6; 0.0; -176.5; -828.8; -622.6; 0.0; 0.0
2018-01-31; 1040.1; 160.0; -509.3; -349.3; 0.0; -300.9; 54.5; 531.7; 226.8; 917.6; -182.4; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -182.4; -48.3; 0.0; -48.3; 10.6; 10.6; 0.0; -0.2; -37.9; 697.7; 65.7; 0.0
2017-10-31; 239.9; 153.0; 35.0; 188.0; 0.0; 0.0; 0.0; -510.5; -510.5; -82.6; -179.9; 0.0; 0.0; 0.0; 4.0; 4.0; 0.0; -175.9; -41.5; 0.0; -41.5; 9.5; 9.5; 0.0; -2.5; -34.5; -293.2; 0.0; 0.0
2017-07-31; 233.8; 156.1; 35.1; 191.2; 0.0; 0.0; 0.0; -180.5; -180.5; 244.5; -161.5; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -161.5; -541.5; 0.0; -541.5; 3.1; 3.1; 0.0; -7.1; -545.5; -461.6; 0.0; 0.0
2017-04-30; 200.5; 157.5; 60.8; 218.3; 0.0; 0.0; 0.0; 11.9; 11.9; 430.7; -108.1; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -108.1; -27.8; 0.0; -27.8; 11.8; 11.8; 0.0; -17.6; -33.6; 288.5; 0.0; 0.0
2017-01-31; 321.8; 171.4; -20.6; 150.8; 0.0; 21.9; -133.8; 580.2; 545.4; 1018.0; -115.3; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -115.3; -777.7; 0.0; -777.7; 8.2; 8.2; 0.0; -1.0; -770.5; 132.6; 61.6; 0.0
2016-10-31; 171.6; 187.6; -44.5; 143.1; 0.0; 0.0; 0.0; -339.7; -339.7; -25.0; -95.9; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -95.9; -242.0; 0.0; -242.0; 10.6; 10.6; 0.0; -6.7; -238.1; -359.4; 0.0; 0.0
2016-07-31; 170.1; 166.7; 4.7; 171.4; 0.0; 0.0; 0.0; 27.8; 27.8; 369.3; -179.6; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -179.6; -33.2; 0.0; -33.2; 8.3; 8.3; 0.0; -2.2; -27.1; 163.5; 0.0; 0.0
2016-04-30; 232.7; 167.0; 7.3; 174.3; 0.0; 0.0; 0.0; -96.0; -96.0; 311.0; -174.8; 0.0; 0.0; 0.0; 82.0; 82.0; 0.0; -92.8; -20.8; 0.0; -20.8; 14.4; 14.4; 0.0; -18.4; -24.8; 193.6; 0.0; 0.0
2016-01-31; 229.0; 230.0; 106.7; 336.7; 0.0; -87.8; 183.9; 166.6; 265.8; 831.5; -143.1; 0.0; 0.0; 0.0; 41.3; 41.3; 0.0; -101.8; -1040.5; 0.0; -1040.5; 7.7; 7.7; 0.0; -67.3; -1100.1; -370.8; 53.2; 0.0
2015-10-31; 81.9; 180.0; -60.1; 119.9; 0.0; 0.0; 0.0; -206.4; -206.4; -4.6; -169.6; 0.0; -2.1; 0.0; -12.0; -12.0; 12.0; -171.7; -20.8; 0.0; -20.8; 2.3; 2.3; 0.0; -1.1; -19.6; -195.6; 0.0; 0.0
2015-07-31; -98.0; 86.9; 16.5; 103.4; 0.0; 0.0; 0.0; -180.2; -180.2; -174.8; -100.4; 0.0; -6525.6; 0.0; 0.0; 0.0; 7232.1; 606.1; 84.6; 0.0; 84.6; 1.3; 1.3; 0.0; -84.0; 1.9; 432.1; 0.0; 0.0
2015-04-30; 69.5; 55.4; 23.4; 78.8; 0.0; 0.0; 0.0; 2.1; 2.1; 150.4; -66.9; 0.0; 0.0; 0.0; 0.0; 0.0; -7244.1; -7311.0; 7180.2; 0.0; 7180.2; 2.6; 2.6; 0.0; -16.2; 7166.6; 6.3; 0.0; 0.0
