Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 100.5; 20.24; 8.57; 28.81; 0.54; 0.0; 0.0; 46.88; 47.43; 176.74; -17.84; 0.0; 0.0; 0.0; 0.0; 0.0; -0.94; -18.78; 106.09; 0.0; 106.09; -195.31; -195.31; -40.03; -8.3; -137.54; 20.43; 5.85; -40.03
2022-06-30; 102.49; 19.43; 9.81; 29.24; 0.86; 0.0; 0.0; -57.97; -57.1; 74.63; -20.21; 0.0; 6.81; 0.0; 0.0; 0.0; -5.88; -19.28; -13.67; 0.0; -13.67; -49.74; -49.74; -39.61; -1.61; -104.62; -50.28; 8.47; -39.61
2022-03-31; 90.96; 20.3; 8.69; 28.99; 1.46; 0.0; 0.0; -42.62; -41.16; 78.79; -12.45; 0.0; -6.81; 0.0; 0.0; 0.0; -1.37; -20.64; -13.86; 0.0; -13.86; -47.4; -47.4; -0.05; -0.79; -62.1; -3.57; 7.26; -0.05
2021-12-31; 155.69; 24.44; -27.84; -3.4; -7.98; -9.42; 0.0; -16.63; 17.32; 169.6; -43.5; 0.0; 0.0; -9.08; 0.0; -9.08; 0.21; -52.38; -14.02; 0.0; -14.02; -212.48; -212.48; -68.18; -0.0; -294.68; -177.83; 9.22; -68.18
2021-09-30; 120.4; 17.91; -5.73; 12.18; 0.24; 0.0; 0.0; 56.37; 56.61; 189.19; -17.49; 0.0; 0.0; 0.0; 0.0; 0.0; 0.01; -17.48; -13.65; 0.0; -13.65; -72.76; -72.76; -34.79; -5.73; -126.93; 44.54; 5.95; -34.79
2021-06-30; 116.62; 20.41; 6.22; 26.64; 0.12; 0.0; 0.0; -0.81; -0.69; 142.56; -16.6; 0.0; 0.0; 0.0; 0.0; 0.0; 0.17; -16.43; 968.16; 0.0; 968.16; -994.67; -994.67; -36.37; -15.22; -78.1; 48.17; 8.3; -36.37
2021-03-31; 117.76; 17.67; 3.53; 21.2; 0.18; 0.0; 0.0; 13.71; 13.89; 152.85; -16.56; 0.0; 0.0; -40.0; 0.0; -40.0; 0.12; -56.44; -0.7; 0.0; -0.7; -21.31; -21.31; -0.06; -1.04; -23.12; 73.45; 5.2; -0.06
2020-12-31; 151.9; 22.59; 17.94; 40.54; -32.74; -24.96; 0.0; 18.7; 29.96; 222.4; -37.43; 0.0; 0.0; 0.0; 0.0; 0.0; -0.43; -37.86; -11.21; 0.0; -11.21; -220.56; -220.56; -60.83; -0.22; -292.82; -107.77; 9.31; -60.83
2020-09-30; 99.13; 16.61; 4.64; 21.25; -0.06; 0.0; 0.0; 38.25; 38.2; 158.57; -17.43; 0.0; 0.0; 0.0; 0.0; 0.0; 0.57; -16.86; -68.8; 0.0; -68.8; 1.73; 1.73; -30.83; -4.76; -102.66; 39.55; 4.91; -30.83
2020-06-30; 118.67; 16.04; -16.83; -0.79; 0.0; 0.0; 0.0; -1.41; -1.41; 116.47; -16.27; 0.0; 0.0; -40.0; 0.0; -40.0; -0.05; -56.32; 46.81; 0.0; 46.81; 14.7; 14.7; -30.19; -0.18; 31.14; 92.0; 5.12; -30.19
