Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 352.0; 232.8; -32.5; 200.3; -116.8; -134.9; 96.4; 36.6; -118.7; 436.7; -191.8; 0.0; 0.0; 0.0; 0.0; 0.0; -3.8; -195.6; 0.0; -120.4; -120.4; -34.5; -34.5; -144.9; 52.4; -247.4; -12.0; 14.4; -144.9
2022-06-30; 312.7; 234.7; -41.4; 193.3; -204.4; -156.0; 138.3; 28.4; -193.7; 322.4; -168.4; 0.0; -7.2; 0.0; 0.0; 0.0; -6.0; -181.6; 0.0; 125.9; 125.9; -137.2; -137.2; -146.1; 34.5; -122.9; 25.5; 24.6; -146.1
2022-03-31; 174.7; 234.7; -14.6; 220.1; -29.6; -94.8; 25.5; -125.8; -224.7; 170.1; -148.4; 0.0; 0.0; 0.0; 0.0; 0.0; 19.2; -129.2; 0.0; 82.1; 82.1; -252.9; -252.9; -154.0; 19.5; -305.3; -260.5; 28.2; -154.0
2021-12-31; 305.3; 215.6; -39.8; 175.8; -77.2; 6.8; 128.9; 105.1; 163.6; 640.9; -219.3; 0.0; -3713.8; 0.0; 0.0; 0.0; -8.1; -3941.2; 2481.3; 393.1; 2874.4; 20.4; 20.4; -139.9; 7.6; 2762.5; -538.0; 17.0; -139.9
2021-09-30; 328.6; 206.9; 28.5; 235.4; -81.9; 23.7; 38.0; 71.2; 51.0; 622.7; -166.2; 0.0; -120.1; 0.0; 0.0; 0.0; -4.4; -290.7; -753.6; 1.5; -752.1; 46.7; 46.7; -139.9; 4.3; -841.0; -504.5; 13.6; -139.9
2021-06-30; 313.6; 205.4; 19.9; 225.3; -42.7; -57.6; 78.1; -21.3; -43.5; 503.0; -143.3; 0.0; -1.8; 0.0; 0.0; 0.0; -10.3; -155.4; 0.0; -6.8; -6.8; 11.5; 11.5; -139.9; 0.0; -135.2; 212.9; 27.6; -139.9
2021-03-31; 196.5; 215.2; 49.7; 264.9; 23.6; -45.9; -44.6; -103.6; -170.5; 295.3; -102.0; 0.0; -88.0; 0.0; 0.0; 0.0; -2.4; -192.4; 0.0; 5.8; 5.8; -41.7; -41.7; -146.7; -0.5; -183.1; -70.7; 31.3; -146.7
2020-12-31; 2475.2; 207.5; -2171.8; -1964.3; 57.1; -3.4; 44.1; 24.3; 122.1; 649.8; -123.9; 0.0; 60.8; 0.0; 0.0; 0.0; 1.3; -61.8; 0.0; -231.0; -231.0; 20.2; 20.2; -139.0; -20.7; -370.5; 225.5; 17.0; -139.0
2020-09-30; 249.3; 209.0; 105.6; 314.6; 2.4; -24.2; -8.3; -72.4; -102.5; 451.8; -110.9; 0.0; -0.2; 0.0; 0.0; 0.0; 4.9; -106.2; -260.1; -288.9; -549.0; -8.9; -8.9; -138.6; 6.2; -690.3; -334.3; 11.4; -138.6
2020-06-30; -2029.9; 197.5; 2205.2; 2402.7; 134.0; -113.9; 55.4; -111.7; -36.2; 386.8; -102.0; 0.0; -429.9; 0.0; 0.0; 0.0; 451.1; -80.8; 4.9; -503.2; -498.3; 95.6; 95.6; -137.7; -6.4; -546.8; -292.9; 26.3; -137.7
2020-03-31; 290.2; 198.7; 71.9; 270.6; -37.9; -38.0; -35.3; -81.4; -192.6; 371.8; -146.9; 0.0; -1.5; 0.0; 0.0; 0.0; -17.3; -165.7; 464.0; 957.6; 1421.6; -11.6; -11.6; -145.5; 1.3; 1265.8; 1475.5; 27.4; -145.5
2019-12-31; 301.0; 196.3; 125.7; 322.0; -54.8; 64.5; 26.4; 155.4; 191.5; 821.0; -226.4; 0.0; -4.8; 0.0; 0.0; 0.0; -38.7; -269.9; 0.0; -401.5; -401.5; 10.0; 10.0; -136.8; 26.2; -502.1; 50.5; 16.3; -136.8
2019-09-30; 539.0; 194.3; -33.9; 160.4; -37.1; 9.4; -33.9; 43.6; -18.0; 682.1; -159.4; 0.0; -91.4; 0.0; 0.0; 0.0; -20.9; -271.7; -0.6; -284.9; -285.5; 50.9; 50.9; -136.3; -1.0; -371.9; 50.1; 12.3; -136.3
2019-06-30; 302.5; 145.9; 181.2; 327.1; -89.2; 31.4; 65.7; -102.0; -94.1; 539.5; -152.4; 0.0; -6.6; 0.0; 0.0; 0.0; -21.1; -180.1; 0.3; -53.5; -53.2; -164.1; -164.1; -138.4; -2.4; -358.1; 6.8; 23.2; -138.4
2019-03-31; 300.4; 238.8; 29.4; 268.2; 8.0; -83.0; -35.3; -86.6; -196.9; 378.1; -185.6; 0.0; -281.8; 0.0; 0.0; 0.0; -10.0; -477.4; -400.3; 487.9; 87.6; -63.7; -63.7; -141.4; 0.0; -117.5; -215.0; 32.2; -141.4
