Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 490.0; 178.0; 16.0; 194.0; -579.0; -229.0; -375.0; -16.0; -1334.0; -650.0; -152.0; 0.0; 0.0; 0.0; 138.0; 138.0; 0.0; -14.0; -254.0; 249.0; -5.0; -110.0; -110.0; -215.0; 26.0; -304.0; -1019.0; 53.0; -215.0
2022-06-30; 50.0; 181.0; 18.0; 199.0; 538.0; -204.0; 409.0; -53.0; 822.0; 1071.0; -382.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -382.0; -2.0; 0.0; -2.0; -311.0; -311.0; -216.0; 9.0; -520.0; 121.0; 48.0; -216.0
2022-03-31; 573.0; 182.0; 272.0; 454.0; -141.0; -234.0; -159.0; -238.0; -904.0; 123.0; -199.0; 0.0; 0.0; 0.0; 50.0; 50.0; 0.0; -149.0; -6.0; 0.0; -6.0; -570.0; -570.0; -215.0; 50.0; -741.0; -767.0; 91.0; -215.0
2021-12-31; 1090.0; 181.0; 132.0; 313.0; 176.0; 14.0; 151.0; 168.0; 524.0; 1927.0; -254.0; 0.0; -3.0; 0.0; -4.0; -4.0; 0.0; -261.0; -6.0; -7.0; -13.0; -871.0; -871.0; -217.0; 40.0; -1061.0; 608.0; 113.0; -217.0
2021-09-30; 695.0; 183.0; 37.0; 220.0; -583.0; -178.0; -191.0; -29.0; -996.0; -81.0; -205.0; 0.0; 0.0; 0.0; 52.0; 52.0; 0.0; -153.0; -4.0; 3.0; -1.0; -557.0; -557.0; -192.0; 36.0; -714.0; -963.0; 79.0; -192.0
2021-06-30; 1015.0; 176.0; -852.0; -676.0; 108.0; -153.0; 385.0; 804.0; 515.0; 854.0; -251.0; 0.0; -1057.0; 0.0; 21.0; 21.0; 0.0; -1287.0; -453.0; 2.0; -451.0; -417.0; -417.0; -192.0; 30.0; -1030.0; -1441.0; 72.0; -192.0
2021-03-31; 458.0; 159.0; 186.0; 345.0; 214.0; -54.0; -8.0; -785.0; -4.0; 799.0; -136.0; 0.0; -2.0; 0.0; -42.0; -42.0; 0.0; -180.0; 594.0; 1.0; 595.0; -214.0; -214.0; -193.0; 69.0; 257.0; 854.0; 86.0; -193.0
2020-12-31; 877.0; 160.0; 184.0; 344.0; -113.0; 161.0; 84.0; 267.0; 399.0; 1620.0; -134.0; 0.0; 0.0; 0.0; -21.0; -21.0; 0.0; -155.0; -2.0; 0.0; -2.0; -77.0; -77.0; -194.0; 44.0; -229.0; 1278.0; 105.0; -194.0
2020-09-30; 525.0; 156.0; 33.0; 189.0; -607.0; -94.0; -21.0; 366.0; -356.0; 358.0; -116.0; 0.0; -6.0; 0.0; -152.0; -152.0; 32.0; -242.0; -2.0; -747.0; -749.0; -25.0; -25.0; -174.0; 58.0; -890.0; -755.0; 64.0; -174.0
2020-06-30; -459.0; 164.0; 256.0; 420.0; 673.0; 38.0; 9.0; -346.0; 374.0; 335.0; -155.0; 0.0; 0.0; 0.0; 14.0; 14.0; 0.0; -141.0; 696.0; -759.0; -63.0; -10.0; -10.0; -1.0; 10.0; -64.0; 146.0; 3.0; -1.0
