Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 351.29; 413.43; 21.73; 435.16; -118.25; 0.0; 95.37; 8.33; 60.64; 847.09; -803.66; 0.0; 0.0; -329.9; 0.0; -329.9; 4.47; -1129.09; 711.61; 214.0; 925.61; 70.83; 70.83; -217.58; -51.27; 727.58; 445.58; 0.0; -215.7
2022-06-30; 293.74; 364.65; -281.43; 83.22; 115.59; 19.5; -14.64; -56.08; 92.92; 469.88; -784.49; 0.0; 0.0; -161.12; 0.0; -161.12; 4.79; -940.81; 2050.0; -1481.3; 568.7; 126.28; 126.28; -215.92; -16.05; 463.02; -7.91; 0.0; -214.04
2022-03-31; 445.33; 526.28; -231.3; 294.98; -291.72; -19.5; -68.91; -44.76; -368.37; 371.94; -764.59; 0.0; 0.0; -99.63; 0.0; -99.63; 5.98; -858.25; 508.39; 163.35; 671.75; 0.0; 0.0; -215.77; -26.09; 429.89; -56.42; 0.0; -213.89
2021-12-31; 308.58; 353.92; -127.99; 225.93; 22.7; -1.86; 229.31; -187.71; -92.18; 442.33; -963.94; 0.0; 0.0; -69.89; 0.0; -69.89; 4.74; -1029.09; 36.79; 714.45; 751.24; 0.0; 0.0; -203.71; 42.11; 589.64; 2.88; 0.0; -201.83
2021-09-30; 285.05; 322.08; 79.26; 401.34; -72.94; 0.0; 27.16; 19.11; 26.44; 712.83; -787.91; 0.0; 0.0; -137.17; 0.0; -137.17; 4.78; -920.31; 1526.11; -1211.5; 314.61; 0.0; 0.0; -203.28; -53.72; 57.6; -149.88; 0.0; -201.4
2021-06-30; 266.4; 280.26; -29.5; 250.76; 39.08; 42.49; -103.94; -25.57; -121.13; 396.03; -734.24; 0.0; 0.0; -64.75; 0.0; -64.75; 5.53; -793.46; 725.0; 83.26; 808.26; 0.0; 0.0; -203.08; -15.34; 589.84; 192.41; 0.0; -201.2
2021-03-31; 368.02; 378.72; -8.45; 370.27; -124.34; -42.49; -181.72; -42.39; -326.87; 411.42; -688.98; 0.0; 0.0; -22.67; 0.0; -22.67; 7.13; -704.52; -243.6; 669.92; 426.31; 0.0; 0.0; -202.89; -19.67; 203.75; -89.35; 0.0; -201.01
2020-12-31; 273.8; 307.19; -320.95; -13.76; -157.95; -36.51; 243.6; -76.89; -73.68; 186.36; -841.43; 0.0; -1113.25; -171.04; 0.0; -171.04; 6.16; -2119.56; 375.0; 1188.83; 1563.83; -0.03; -0.03; -190.89; -3.76; 1369.14; -564.05; 0.0; -189.01
2020-09-30; 348.14; 301.97; -62.19; 239.78; -127.44; -38.23; 48.22; 51.32; -97.09; 490.83; -701.37; 0.0; 0.0; -34.9; 0.0; -34.9; 117.05; -619.21; 1345.01; -433.0; 912.01; 0.0; 0.0; -190.72; 59.17; 780.46; 652.08; 0.0; -188.84
2020-06-30; 254.11; 263.91; 51.57; 315.48; -11.17; 110.36; -41.88; -70.4; 15.48; 585.07; -674.68; 0.0; 0.0; -3.22; 0.0; -3.22; 5.01; -672.89; 139.8; -332.92; -193.12; 509.24; 509.24; -187.09; 2.03; 131.05; 43.23; 0.0; -185.21
