Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; -963.07; 1069.15; 38.54; 1107.69; 0.0; 0.0; 0.0; 61.94; 61.94; 206.56; -8.06; -6.4; 0.0; 11.0; 0.0; 11.0; 0.0; -3.46; -1.57; 0.0; -1.57; -147.82; -147.82; 0.0; -6.38; -155.76; 31.12; 52.91; 0.0
2022-06-30; 73.12; 25.03; 58.97; 84.0; 0.0; 0.0; 0.0; -31.37; -31.37; 125.75; -7.98; 0.0; 0.0; -8.33; 0.0; -8.33; 0.0; -16.32; -1.62; 0.0; -1.62; -60.1; -60.1; 0.0; -32.64; -94.36; 2.64; 64.36; 0.0
2022-03-31; 86.11; 24.75; 39.62; 64.37; 0.0; 0.0; 0.0; -90.94; -90.94; 59.54; -9.22; 0.0; 0.0; -0.94; 0.0; -0.94; 0.0; -10.15; -1.6; 0.0; -1.6; -59.17; -59.17; 0.0; -11.51; -72.28; -23.96; 49.27; 0.0
2021-12-31; 161.56; 28.71; 33.31; 62.02; -19.26; 0.0; -14.17; 15.51; 66.88; 290.46; -12.85; 1.86; -9.15; -2.97; 0.0; -2.97; 0.0; -23.11; -1.58; 0.0; -1.58; -56.51; -56.51; 0.0; -47.33; -105.42; 160.79; 49.86; 0.0
2021-09-30; 89.93; 23.21; -13.28; 9.93; 0.0; 0.0; 0.0; -8.93; -8.93; 90.93; -8.26; -1.86; -1690.82; 246.28; 0.0; 246.28; 0.0; -1454.66; -2.44; 0.0; -2.44; -51.6; -51.6; 0.0; -13.1; -67.14; -1434.48; 42.26; 0.0
2021-06-30; 98.25; 12.98; 17.2; 30.18; 0.0; 0.0; 0.0; -6.74; -6.74; 121.7; -5.25; 0.0; 0.0; 106.06; 0.0; 106.06; 0.0; 100.81; 896.0; 0.0; 896.0; -175.89; -175.89; 0.0; -55.42; 664.69; 890.2; 27.44; 0.0
2021-03-31; 143.77; 13.08; 18.94; 32.02; 0.0; 0.0; 0.0; -27.32; -27.32; 148.47; -3.75; 0.0; 0.0; -177.26; 0.0; -177.26; 0.0; -181.01; -29.74; 0.0; -29.74; 3.93; 3.93; 0.0; -13.57; -39.38; -80.42; 20.35; 0.0
2020-12-31; 148.54; 15.85; 26.61; 42.46; -22.54; 0.0; 14.55; -85.98; 52.67; 243.67; -3.92; 0.0; 0.0; -49.1; 0.0; -49.1; 0.0; -53.02; -2.16; 0.0; -2.16; -70.66; -70.66; 0.0; -28.48; -101.29; 99.12; 17.45; 0.0
2020-09-30; 91.76; 15.75; 44.87; 60.62; 0.0; 0.0; 0.0; 32.81; 32.81; 185.19; -1.82; 0.0; 0.0; 20.73; 0.0; 20.73; 0.0; 18.91; 436.02; 0.0; 436.02; -159.86; -159.86; 0.0; -17.08; 259.08; 467.45; 17.13; 0.0
2020-06-30; 96.42; 14.17; 41.17; 55.34; 0.0; 0.0; 0.0; 68.66; 68.66; 220.43; -0.42; 0.0; 0.0; 17.06; 0.0; 17.06; 0.0; 16.64; -2.36; 0.0; -2.36; 7.28; 7.28; 0.0; -10.74; -5.83; 235.17; 16.73; 0.0
2020-03-31; 12.52; 15.16; 31.92; 47.09; 0.0; 0.0; 0.0; -29.94; -29.94; 29.66; -1.83; 0.0; 0.0; 7.92; 0.0; 7.92; 0.0; 6.09; -2.57; 0.0; -2.57; -20.1; -20.1; 0.0; -10.02; -32.68; -0.94; 13.81; 0.0
2019-12-31; 31.29; 17.28; 9.32; 26.6; -12.66; 0.0; -0.95; -3.11; 20.69; 78.58; -3.21; 0.0; 0.94; -277.85; 0.0; -277.85; 0.0; -280.12; -2.66; 0.0; -2.66; -21.34; -21.34; 0.0; -4.59; -28.58; -228.48; 13.34; 0.0
2019-09-30; 14.8; 12.81; 15.53; 28.34; 0.0; 0.0; 0.0; 3.91; 3.91; 47.05; -5.61; 0.0; -271.35; 116.67; 0.0; 116.67; 0.0; -160.3; 571.12; 0.0; 571.12; -126.2; -126.2; 0.0; -16.12; 428.79; 312.61; 12.14; 0.0
2019-06-30; 18.22; 9.81; 14.26; 24.07; 0.0; 0.0; 0.0; 7.54; 7.54; 49.84; -4.34; 0.0; 0.0; -21.61; 0.0; -21.61; 0.0; -25.95; -2.73; 0.0; -2.73; 1.91; 1.91; 0.0; -10.48; -11.3; 13.48; 10.84; 0.0
2019-03-31; 31.58; 10.14; 11.88; 22.02; 0.0; 0.0; 0.0; -22.14; -22.14; 31.46; -4.07; 0.0; 0.0; -17.93; 0.0; -17.93; 0.0; -22.0; -2.75; 0.0; -2.75; -21.56; -21.56; 0.0; -5.0; -29.31; -21.31; 8.08; 0.0
2018-12-31; 41.25; 8.82; 0.96; 9.78; 17.21; 0.0; 13.36; -2.63; 51.02; 102.05; -6.61; 0.0; 0.0; -393.79; 359.18; -34.6; 0.0; -41.22; -3.66; 0.0; -3.66; -42.31; -42.31; 0.0; -11.03; -57.0; 4.26; 14.24; 0.0
2018-09-30; 19.89; 6.44; 9.78; 16.22; 0.0; 0.0; 0.0; -6.0; -6.0; 30.11; -5.67; 0.0; 0.0; 348.12; -359.18; -11.06; 0.0; -16.73; -3.67; 0.0; -3.67; 12.75; 12.75; 0.0; -14.58; -5.51; 4.91; 8.92; 0.0
2018-06-30; 3.38; 6.36; 16.95; 23.3; 0.0; 0.0; 0.0; 13.91; 13.91; 40.59; -40.48; 0.0; 0.0; -141.31; 0.0; -141.31; 0.0; -181.8; -3.92; 0.0; -3.92; -28.5; -28.5; 0.0; 5.09; -27.32; -176.03; 8.62; 0.0
2018-03-31; 12.97; 6.32; 6.47; 12.79; 0.0; 0.0; 0.0; 0.41; 0.41; 26.17; -3.29; 0.0; 0.0; -42.36; 0.0; -42.36; 0.0; -45.65; 305.8; 0.0; 305.8; -58.34; -58.34; 0.0; -13.63; 233.84; 218.41; 6.45; 0.0
2017-12-31; 44.75; 6.88; -20.83; -13.96; -6.69; 0.0; 5.41; 9.86; 5.99; 36.78; -1.24; 0.0; 0.0; 25.26; 0.0; 25.26; 0.0; 24.02; -3.51; 0.0; -3.51; 0.08; 0.08; 0.0; 3.12; -0.32; 55.15; 5.99; 0.0
2017-09-30; 25.8; 7.08; -19.63; -12.55; -3.15; 0.0; -0.29; 11.06; 3.63; 16.87; -1.72; 0.0; 0.0; 9.9; 0.0; 9.9; 0.0; 8.19; -5.2; 0.0; -5.2; 12.69; 12.69; 0.0; 0.0; 7.49; 33.4; 7.52; 0.0
2017-06-30; 11.67; 6.71; -5.12; 1.59; -0.09; 0.0; 1.12; -8.32; -1.12; 12.14; -3.54; 0.0; 0.0; 20.78; 0.0; 20.78; 0.0; 17.24; -3.13; 0.0; -3.13; 4.54; 4.54; 0.0; 0.0; 1.41; 32.08; 8.16; 0.0
2017-03-31; -0.42; 6.99; 4.91; 11.9; 1.09; 0.0; -3.4; -3.63; -8.17; 3.31; -6.66; 0.0; 0.0; 19.05; 0.0; 19.05; 0.0; 12.39; -1.83; 0.0; -1.83; -0.2; -0.2; 0.0; 0.0; -2.03; 13.21; 4.88; 0.0
2016-12-31; -21.38; 11.86; 33.52; 45.38; -6.44; 0.0; 2.47; -3.18; -5.88; 18.11; -5.16; 0.0; 0.0; -18.28; 0.0; -18.28; 0.0; -23.44; -1.7; 0.0; -1.7; 2.13; 2.13; 0.0; -3.1; -2.67; -6.44; 4.31; 0.0
2016-09-30; -2.4; 8.79; 7.05; 15.84; -1.89; 0.0; -0.26; 0.72; -3.17; 10.27; -10.71; 0.0; -7.88; -81.31; 108.22; 26.9; 0.0; 8.32; -1.57; 0.0; -1.57; 4.46; 4.46; 0.0; 0.0; 2.89; 20.55; 4.08; 0.0
2016-06-30; -7.31; 4.92; 12.24; 17.16; -0.66; 0.0; -5.98; 1.44; 6.91; 16.76; -18.85; 0.0; 0.0; 121.19; -108.22; 12.97; 0.0; -5.88; -1.46; 0.0; -1.46; 1.49; 1.49; 0.0; 0.0; 0.04; 9.1; 4.27; 0.0
2016-03-31; 1.19; 14.27; -4.31; 9.96; 0.8; 0.0; 0.17; 1.51; -8.33; 2.82; -13.04; 0.0; 0.0; -101.39; 0.0; -101.39; 0.0; -114.43; -1.35; 0.0; -1.35; 1.22; 1.22; 0.0; -0.65; -0.78; -112.86; 3.24; 0.0
2015-12-31; -4.23; 6.59; 6.64; 13.24; -4.77; 0.0; 10.26; 4.98; 5.14; 14.15; -3.98; 0.0; 0.0; -1.17; 0.0; -1.17; 0.0; -5.15; -1.11; 0.0; -1.11; 1.34; 1.34; 0.0; -3.6; -3.38; 4.96; 1.12; 0.0
2015-09-30; -6.89; 10.23; 2.4; 12.63; -1.76; 0.0; -2.6; -5.49; -0.37; 5.38; -7.19; 0.0; 0.0; 1.07; 0.0; 1.07; 0.0; -6.12; -1.01; 0.0; -1.01; 0.23; 0.23; 0.0; 0.66; -0.12; -1.87; 2.92; 0.0
2015-06-30; -6.35; 6.74; 2.21; 8.95; -0.26; 0.0; -0.51; -1.36; 2.14; 4.74; -5.39; 0.0; 0.0; -5.41; 5.4; -0.01; 0.0; -5.39; -0.75; 0.0; -0.75; 200.34; 200.34; 0.0; -2.1; 197.49; 197.42; 2.82; 0.0
2015-03-31; -36.59; 12.29; 26.64; 38.93; 0.05; 0.0; -0.42; 2.95; 6.55; 8.89; -4.28; 0.0; 0.0; 3.06; -5.4; -2.35; 0.0; -6.62; -0.5; 0.0; -0.5; 1.19; 1.19; 0.0; 0.99; 1.68; 1.08; 3.97; 0.0
2014-12-31; -5.36; 4.76; 2.94; -2.9; -3.34; 0.0; 0.81; -4.79; -1.42; 0.09; -2.68; 0.0; 0.01; -0.75; 0.0; -0.75; 0.0; -3.43; -0.43; 0.0; -0.43; 0.37; 0.36; 0.0; 4.28; 4.21; -1.54; 4.04; 0.0
2014-09-30; -6.27; 4.5; 3.54; 8.03; -2.8; 0.0; 4.09; 4.26; 3.31; 5.07; -2.07; 0.0; -0.27; 1.38; 0.0; 1.38; 0.0; -0.97; -0.39; 0.0; -0.39; 0.56; 0.56; 0.0; -0.44; -0.28; 2.75; 2.75; 0.0
