Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 676.0; 825.0; 148.0; 973.0; -254.0; -133.0; 279.0; -620.0; -748.0; 901.0; -1672.0; 0.0; 0.0; 516.0; -516.0; 0.0; 32.0; -1640.0; 290.0; -313.0; -23.0; 572.0; 572.0; -336.0; -37.0; 176.0; -563.0; 0.0; -336.0
2022-06-30; 465.0; 830.0; 79.0; 909.0; -84.0; -113.0; 253.0; 82.0; 84.0; 1458.0; -1585.0; 0.0; 0.0; -516.0; 516.0; 0.0; 58.0; -1527.0; -851.0; 103.0; -748.0; 8.0; 8.0; -331.0; -22.0; -1093.0; -1162.0; 0.0; -331.0
2022-03-31; 598.0; 1024.0; 494.0; 1518.0; -711.0; 125.0; 291.0; -116.0; -334.0; 1782.0; -1906.0; 0.0; 0.0; 0.0; -28.0; -28.0; 115.0; -1819.0; 4295.0; 100.0; 4395.0; 9.0; 9.0; -332.0; -2656.0; 1416.0; 1379.0; 0.0; -332.0
2021-12-31; 388.0; 1369.0; 124.0; 1493.0; -449.0; -40.0; 86.0; -2484.0; -2810.0; -1129.0; -1935.0; 0.0; 0.0; 0.0; -7.0; -7.0; 836.0; -1106.0; 53.0; 663.0; 716.0; 17.0; 17.0; -376.0; 13.0; 370.0; -1865.0; 0.0; -376.0
2021-09-30; 1230.0; 2024.0; -449.0; 1575.0; -238.0; -102.0; 441.0; 37.0; 198.0; 3003.0; -1853.0; 0.0; 0.0; 4538.0; -4572.0; -34.0; 866.0; -1021.0; -37.0; 802.0; 765.0; 16.0; 16.0; -374.0; -914.0; -507.0; 1475.0; 0.0; -374.0
2021-06-30; 475.0; 2075.0; -383.0; 1692.0; 356.0; -76.0; 89.0; -214.0; 232.0; 2399.0; -1856.0; 0.0; 0.0; -4538.0; 4469.0; -69.0; 640.0; -1285.0; 199.0; -1263.0; -1064.0; 16.0; 16.0; -373.0; -18.0; -1439.0; -325.0; 0.0; -373.0
2021-03-31; -264.0; 2105.0; -656.0; 1449.0; -372.0; 77.0; -176.0; -2088.0; -2446.0; -1261.0; -1460.0; 0.0; 0.0; 0.0; -31.0; -31.0; 1586.0; 95.0; 1626.0; 1097.0; 2723.0; 31.0; 31.0; -374.0; -46.0; 2334.0; 1168.0; 0.0; -374.0
2020-12-31; 435.0; 2108.0; -1342.0; 766.0; -498.0; -18.0; 390.0; -1825.0; -1780.0; 13.0; -2442.0; 0.0; 0.0; 0.0; -55.0; -55.0; 1273.0; -1224.0; -531.0; 850.0; 319.0; -17.0; -17.0; -373.0; -32.0; -103.0; -1314.0; 0.0; -373.0
2020-09-30; 569.0; 1678.0; 470.0; 2148.0; -123.0; -53.0; 279.0; -1361.0; -1175.0; 1542.0; -1787.0; 0.0; 0.0; 0.0; -16.0; -16.0; 1410.0; -393.0; -1034.0; 62.0; -972.0; 16.0; 16.0; -373.0; -20.0; -1349.0; -200.0; 0.0; -373.0
2020-06-30; 574.0; 1363.0; 171.0; 1534.0; 518.0; -95.0; 178.0; -1051.0; -508.0; 1600.0; -1757.0; 0.0; 0.0; 0.0; -1.0; -1.0; 1114.0; -644.0; 1012.0; -860.0; 152.0; 16.0; 16.0; -373.0; -63.0; -268.0; 688.0; 0.0; -373.0
2020-03-31; 376.0; 1378.0; 555.0; 1933.0; 800.0; 81.0; -976.0; -1078.0; -1229.0; 1080.0; -2016.0; 0.0; 0.0; 0.0; -51.0; -51.0; -8.0; -2075.0; 1620.0; 609.0; 2229.0; 30.0; 30.0; -373.0; -21.0; 1865.0; 870.0; 0.0; -373.0
2019-12-31; 808.0; 1387.0; -1092.0; 295.0; -688.0; 7.0; 246.0; 186.0; -456.0; 1260.0; -1994.0; 0.0; 0.0; -8443.0; 8401.0; -42.0; -9.0; -2045.0; -268.0; 351.0; 83.0; 18.0; 18.0; -353.0; -19.0; -271.0; -1056.0; 0.0; -353.0
2019-09-30; 760.0; 1471.0; 420.0; 1891.0; -173.0; -113.0; 253.0; -109.0; -150.0; 2501.0; -1684.0; 0.0; 0.0; 1523.0; -1590.0; -67.0; -5.0; -1756.0; 656.0; -40.0; 616.0; 19.0; 19.0; -351.0; -29.0; 255.0; 1000.0; 0.0; -351.0
2019-06-30; 494.0; 1462.0; 524.0; 1986.0; 539.0; -109.0; -160.0; -906.0; -626.0; 1854.0; -1693.0; 0.0; 0.0; 6920.0; -6894.0; 26.0; -6.0; -1673.0; 226.0; -195.0; 31.0; 24.0; 24.0; -352.0; -20.0; -317.0; -136.0; 0.0; -352.0
2019-03-31; 966.0; 1460.0; -284.0; 1176.0; 79.0; 128.0; -764.0; -682.0; -1098.0; 1044.0; -1865.0; 0.0; 0.0; 0.0; 47.0; 47.0; 32.0; -1786.0; 50.0; 540.0; 590.0; 51.0; 51.0; -352.0; -14.0; 275.0; -467.0; 0.0; -352.0
2018-12-31; 100.0; 1460.0; 673.0; 2133.0; -398.0; -13.0; 467.0; -494.0; -264.0; 1969.0; -2096.0; 0.0; -97.0; 0.0; -61.0; -61.0; 29.0; -2225.0; 145.0; -120.0; 25.0; 38.0; 38.0; -333.0; -14.0; -284.0; -540.0; 0.0; -333.0
