Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 248.88; 79.03; 74.5; 153.54; 275.47; 0.0; 0.0; -267.41; -5.67; 396.75; -41.0; 0.0; -126.37; 0.0; 0.0; 0.0; 0.0; -167.38; -141.5; 486.0; 344.5; -497.07; -497.07; 0.0; -9.95; -162.51; -55.55; 34.18; 0.0
2022-06-30; 262.17; 80.64; 50.57; 131.21; -406.74; 0.0; 0.0; -106.0; -239.28; 154.11; -35.24; 0.0; 2.12; 0.0; 0.0; 0.0; 0.0; -33.12; 432.06; 102.69; 534.75; -362.54; -362.54; 0.0; 0.0; 172.21; 267.0; 34.02; 0.0
2022-03-31; 217.95; 78.77; 60.27; 139.04; -818.97; 0.0; 0.0; -32.2; -469.25; -112.25; -31.39; 0.0; -35.86; 0.0; 0.0; 0.0; 0.0; -67.25; 272.94; 91.5; 364.44; -413.93; -413.93; 0.0; -0.34; -49.82; -161.26; 32.63; 0.0
2021-12-31; 225.0; 76.94; 56.56; 133.5; 289.76; 0.0; 0.0; 4.19; 239.02; 597.52; -37.08; 0.0; -57.07; 0.0; 0.0; 0.0; 0.0; -94.14; 724.94; -410.0; 314.94; -532.82; -532.82; 0.0; -17.41; -235.3; 241.76; 27.99; 0.0
2021-09-30; 234.01; 75.89; 29.19; 105.08; -314.33; 0.0; 0.0; 82.96; -95.99; 243.1; -28.69; 0.0; -430.06; 0.0; 0.0; 0.0; 0.0; -458.75; 54.81; 560.11; 614.92; -393.45; -393.45; 0.0; -0.91; 220.55; -50.37; 16.45; 0.0
2021-06-30; 196.25; 71.0; 33.9; 104.9; -237.98; 0.0; 0.0; 72.08; -22.55; 278.59; -26.24; 0.0; -71.27; 0.0; -0.01; -0.01; -2.28; -99.8; 856.94; -212.85; 644.09; -245.97; -245.97; 0.0; -22.87; 375.25; 627.78; 17.89; 0.0
2021-03-31; 184.24; 67.2; 24.77; 91.97; -468.59; 0.0; 0.0; 63.88; -198.36; 77.85; -19.53; 0.0; -43.73; 0.0; 0.01; 0.01; 0.0; -63.24; 173.81; -57.16; 116.65; -134.7; -134.7; 0.0; 1.47; -16.58; -45.1; 17.75; 0.0
2020-12-31; 209.85; 66.14; 34.29; 100.43; 214.45; 0.0; 0.0; -34.1; -52.39; 257.89; -23.41; 0.0; -8.23; 0.0; 0.0; 0.0; 0.0; -31.64; -29.19; -144.94; -174.13; -20.48; -20.48; 0.0; -0.26; -194.87; 105.76; 8.31; 0.0
2020-09-30; 188.82; 65.62; 29.49; 95.11; -310.0; 0.0; 0.0; -14.81; 128.6; 412.53; -18.15; 0.0; -72.06; 0.0; 52.96; 52.96; 0.0; -37.25; -7.19; 47.51; 40.33; -228.25; -228.25; 0.0; -1.57; -189.49; 179.51; 11.9; 0.0
2020-06-30; 158.49; 63.69; -5.1; 58.59; 203.63; 0.0; 0.0; 95.24; 165.06; 382.13; -18.61; 0.0; -0.03; 0.0; 0.0; 0.0; 0.0; -18.64; -206.19; -503.32; -709.51; -7.42; -7.42; 0.0; -1.05; -717.98; -360.89; 8.99; 0.0
2020-03-31; 147.06; 65.83; 126.93; 192.76; 156.05; 0.0; 0.0; -48.2; 80.21; 420.03; -18.26; 0.0; -0.47; 0.0; 0.0; 0.0; 0.0; -18.72; -203.69; 346.3; 142.6; -456.96; -456.96; 0.0; -0.09; -314.45; -123.0; 14.18; 0.0
2019-12-31; 235.51; 69.88; 51.26; 121.13; 276.35; 0.0; 0.0; -87.77; 14.29; 370.94; -26.49; 0.0; -113.42; 0.0; 0.0; 0.0; -0.26; -140.16; 43.79; 596.97; 640.75; -584.25; -584.25; 0.0; -106.21; -49.7; 209.36; 14.83; 0.0
2019-09-30; 225.81; 68.66; 105.69; 174.35; -53.57; 0.0; 0.0; -95.28; -159.04; 241.11; -16.71; 0.0; -83.93; 0.0; 0.0; 0.0; 0.0; -100.64; 579.56; -797.69; -218.13; 5.34; 5.34; 0.0; 103.87; -108.92; -22.75; 15.27; 0.0
2019-06-30; 261.65; 72.13; -25.91; 46.22; -116.41; 0.0; 0.0; 4.74; -55.35; 252.53; -17.47; 0.0; -250.93; 0.0; 0.0; 0.0; 0.0; -268.39; -0.44; 95.49; 95.05; 26.45; 26.45; 0.0; -0.13; 121.37; 116.06; 18.31; 0.0
2019-03-31; 172.11; 68.65; 46.09; 114.75; -302.39; 0.0; 0.0; -13.87; 10.64; 297.49; -14.51; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -14.51; 23.56; -322.61; -299.04; 26.47; 26.47; 0.0; -0.35; -272.92; 7.68; 12.54; 0.0
2018-12-31; 302.0; 68.54; -101.73; -33.19; 481.83; 0.0; 0.0; -13.54; 79.2; 348.0; -25.07; 0.0; 81.69; 0.0; 0.0; 0.0; -11.58; 45.03; -76.38; 429.22; 352.85; -570.69; -570.69; 0.0; -3.64; -221.48; 176.34; 15.73; 0.0
2018-09-30; 157.69; 68.62; 44.98; 113.6; -121.33; 0.0; 0.0; -3.68; 9.0; 280.29; -21.7; 0.0; 0.01; 0.0; 0.0; 0.0; 0.0; -21.69; -42.5; -227.65; -270.15; 18.82; 18.82; 0.0; -0.25; -251.57; 3.11; 20.7; 0.0
2018-06-30; 176.85; 69.95; 31.91; 101.86; -231.38; 0.0; 0.0; -60.83; -204.32; 74.39; -19.4; 0.0; 0.06; 0.0; 0.0; 0.0; -7.55; -26.89; 75.5; 201.63; 277.13; -282.84; -282.84; 0.0; -0.06; -5.77; -37.06; 19.1; 0.0
2018-03-31; 174.94; 72.84; 21.51; 94.36; -288.15; 0.0; 0.0; 24.97; -68.59; 200.7; -15.21; 0.0; -3.88; 0.0; 0.0; 0.0; -3.64; -22.73; -16.5; -14.08; -30.58; -68.32; -68.32; 0.0; -0.09; -98.99; 91.63; 14.4; 0.0
2017-12-31; 282.7; 67.37; -175.66; -108.29; 9.01; 0.0; 0.0; 107.17; 74.05; 248.46; -20.63; 0.0; -102.96; 0.0; 0.0; 0.0; -32.63; -156.22; -17.5; -3.4; -20.9; 24.5; 24.5; 0.0; -1.76; 1.84; 112.6; 24.4; 0.0
2017-09-30; 202.82; 70.77; -96.45; -25.68; -59.81; 0.0; 0.0; -68.2; 46.71; 223.85; -16.86; 0.0; -282.22; 0.0; 0.0; 0.0; 0.0; -299.08; 511.73; 163.65; 675.37; -346.24; -346.24; 0.0; -11.23; 317.9; 252.65; 24.65; 0.0
2017-06-30; 130.99; 66.6; 8.96; 75.55; -143.63; 0.0; 0.0; -14.7; -72.3; 134.25; -17.8; 0.0; -3.58; 0.0; 0.0; 0.0; 0.0; -21.38; 31.64; -67.35; -35.71; -51.19; -51.19; 0.0; 0.0; -86.9; 30.62; 21.15; 0.0
2017-03-31; 123.69; 66.78; 35.01; 101.78; -236.56; 0.0; 0.0; -19.13; -151.98; 73.5; -14.8; 0.0; 0.0; 0.0; 0.0; 0.0; -6.33; -21.12; 51.64; -48.31; 3.33; 15.23; 15.23; 0.0; 0.54; 19.09; 91.22; 23.09; 0.0
2016-12-31; 95.42; 63.42; 58.78; 122.2; 188.46; 0.0; 0.0; 24.11; 86.3; 303.93; -17.13; 0.0; -0.91; 0.0; 0.0; 0.0; 0.0; -18.04; -98.38; 25.51; -72.87; -149.57; -149.57; 0.0; -0.0; -222.44; 70.84; 13.92; 0.0
2016-09-30; 129.62; 59.0; 16.37; 75.37; -134.71; 0.0; 0.0; -38.71; -12.74; 192.24; -17.12; 0.0; -1325.78; 0.0; 0.0; 0.0; 9.28; -1333.62; 509.62; 589.36; 1098.98; 1.2; 1.2; 0.0; -2.28; 1097.9; -87.65; 17.41; 0.0
2016-06-30; 116.25; 50.27; 9.79; 60.06; -209.78; 0.0; 0.0; -10.4; -86.89; 89.42; -13.02; 0.0; -1.21; 0.0; 0.0; 0.0; -2.95; -17.18; 136.12; -80.0; 56.12; -18.46; -18.46; 0.0; -0.65; 37.02; 93.77; 17.43; 0.0
2016-03-31; 111.09; 38.15; 21.87; 60.02; -182.76; 0.0; 0.0; 9.96; -48.49; 122.62; -11.74; 0.0; -4.09; 0.0; 0.0; 0.0; -4.91; -20.75; -88.88; -70.0; -158.88; 0.39; 0.39; 0.0; -0.02; -158.51; -47.83; 15.19; 0.0
2015-12-31; 52.83; 49.77; 152.32; 202.09; 111.33; 0.0; 0.0; -57.86; -24.79; 230.13; -12.35; 0.0; -39.83; 0.0; 0.0; 0.0; -0.69; -52.87; -76.88; -74.94; -151.82; 5.95; 5.95; 0.0; 0.07; -145.8; 24.76; 45.73; 0.0
2015-09-30; 116.77; 50.3; 36.81; 87.11; 162.22; 0.0; 0.0; -12.54; 122.16; 326.04; -13.29; 0.0; -1.28; 0.0; 0.0; 0.0; -7.78; -22.36; -124.88; -145.04; -269.92; 6.87; 6.87; 0.0; 14.12; -248.93; 38.22; 13.89; 0.0
2015-06-30; 98.68; 50.6; 1.04; 51.64; -119.14; 0.0; 0.0; -5.81; -19.31; 131.01; -8.13; 0.0; -7.1; 0.0; 0.0; 0.0; 0.0; -15.23; 59.12; -177.51; -118.38; 4.53; 4.53; 0.0; 3.15; -110.69; 4.78; 13.55; 0.0
