Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 613.0; 103.0; 187.0; 290.0; -260.0; -333.0; -127.0; 87.0; -633.0; 270.0; -74.0; 0.0; 0.0; 0.0; -31.0; -31.0; -13.0; -118.0; 0.0; 0.0; 0.0; -250.0; -250.0; -147.0; -5.0; -402.0; -250.0; 7.0; -147.0
2022-06-30; 308.0; 103.0; 308.0; 411.0; 230.0; -145.0; 151.0; -22.0; 214.0; 933.0; -116.0; 0.0; 0.0; 0.0; 0.0; 0.0; -11.0; -127.0; 0.0; 0.0; 0.0; -252.0; -252.0; -12.0; 24.0; -240.0; 566.0; 27.0; -12.0
2022-03-31; 290.0; 97.0; 313.0; 410.0; 631.0; 338.0; 9.0; -71.0; 907.0; 1607.0; -70.0; 0.0; -14.0; 0.0; 0.0; 0.0; -6.0; -90.0; -750.0; 0.0; -750.0; -251.0; -251.0; -145.0; 8.0; -1138.0; 379.0; 28.0; -145.0
2021-12-31; -73.0; 97.0; 218.0; 315.0; -766.0; 5.0; -43.0; -123.0; -927.0; -685.0; -68.0; 0.0; -154.0; 0.0; 1.0; 1.0; 0.0; -221.0; 0.0; 0.0; 0.0; -247.0; -247.0; 0.0; -3.0; -250.0; -1156.0; 32.0; 0.0
2021-09-30; 708.0; 84.0; 114.0; 198.0; -174.0; -499.0; -171.0; -33.0; -877.0; 29.0; -53.0; 0.0; -75.0; 0.0; -29.0; -29.0; 82.0; -75.0; 0.0; 0.0; 0.0; -250.0; -250.0; -150.0; -29.0; -429.0; -475.0; 15.0; -150.0
2021-06-30; 272.0; 89.0; 214.0; 303.0; 113.0; -67.0; 194.0; -42.0; 198.0; 773.0; -151.0; 0.0; -51.0; 0.0; 0.0; 0.0; 3.0; -199.0; 0.0; 0.0; 0.0; -288.0; -288.0; -148.0; -17.0; -453.0; 121.0; 35.0; -148.0
2021-03-31; 582.0; 84.0; 83.0; 167.0; 629.0; 317.0; -68.0; 2.0; 880.0; 1629.0; -91.0; 0.0; 0.0; 0.0; 0.0; 0.0; 91.0; 0.0; 0.0; 0.0; 0.0; -364.0; -364.0; -6.0; 4.0; -366.0; 1263.0; 37.0; -6.0
2020-12-31; 230.0; 76.0; -98.0; -22.0; -818.0; 380.0; 218.0; -18.0; -238.0; -30.0; -125.0; 0.0; 1.0; 0.0; -55.0; -55.0; -1.0; -180.0; 0.0; 0.0; 0.0; -149.0; -149.0; -161.0; -39.0; -349.0; -559.0; 44.0; -161.0
2020-09-30; 1117.0; 73.0; -62.0; 11.0; -193.0; -440.0; -62.0; -166.0; -861.0; 267.0; -117.0; 0.0; -1.0; 0.0; -31.0; -31.0; 0.0; -149.0; 0.0; 0.0; 0.0; -267.0; -267.0; -15.0; 580.0; 298.0; 416.0; 31.0; -15.0
2020-06-30; 145.0; 99.0; 91.0; 190.0; 619.0; 14.0; 91.0; -39.0; 685.0; 1020.0; -167.0; 0.0; -495.0; 0.0; -103.0; -103.0; 62.0; -703.0; 1191.0; 0.0; 1191.0; 0.0; 0.0; -14.0; -45.0; 1132.0; 1449.0; 36.0; -14.0
