Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-12-31; 992.0; 240.0; -21.0; 219.0; -213.0; -65.0; 292.0; 115.0; -307.0; 669.0; -494.0; 0.0; 0.0; 0.0; 0.0; 0.0; 3.0; -491.0; -1000.0; 0.0; -1000.0; -110.0; -110.0; -345.0; 24.0; -1431.0; -1254.0; 25.0; -345.0
2022-09-30; 902.0; 219.0; 106.0; 325.0; 431.0; -99.0; -39.0; -386.0; -93.0; 1283.0; -255.0; 0.0; 0.0; 0.0; 0.0; 0.0; -378.0; -633.0; 0.0; 0.0; 0.0; -25.0; -25.0; -345.0; -7.0; -377.0; 273.0; 20.0; -345.0
2022-06-30; 766.0; 212.0; -88.0; 124.0; -198.0; -582.0; -52.0; 805.0; -27.0; 659.0; -224.0; 0.0; 0.0; 0.0; 0.0; 0.0; 6.0; -218.0; 0.0; 0.0; 0.0; -800.0; -800.0; -349.0; 3.0; -1146.0; -684.0; 24.0; -349.0
2022-03-31; 730.0; 213.0; -10.0; 203.0; 26.0; -234.0; 23.0; 1292.0; 1107.0; 1968.0; -141.0; 0.0; 0.0; 0.0; 0.0; 0.0; -6.0; -147.0; 0.0; 0.0; 0.0; -294.0; -294.0; -330.0; 107.0; -517.0; 1304.0; 96.0; -330.0
2021-12-31; 952.0; 240.0; 2.0; 242.0; 5.0; 311.0; 485.0; 423.0; 1224.0; 1682.0; -385.0; 0.0; 0.0; 0.0; 0.0; 0.0; 4.0; -381.0; -1991.0; 0.0; -1991.0; -337.0; -337.0; -332.0; -173.0; -2833.0; -1536.0; 30.0; -332.0
2021-09-30; 860.0; 211.0; 23.0; 234.0; 227.0; 152.0; 73.0; -387.0; 65.0; 1471.0; -196.0; 0.0; 0.0; 0.0; 0.0; 0.0; 3.0; -193.0; -500.0; 0.0; -500.0; -139.0; -139.0; -332.0; -115.0; -1086.0; 189.0; 24.0; -332.0
2021-06-30; 737.0; 224.0; 14.0; 238.0; -64.0; -115.0; -148.0; 400.0; 73.0; 1115.0; -172.0; 0.0; 0.0; 0.0; 0.0; 0.0; -5.0; -177.0; 994.0; 0.0; 994.0; -593.0; -593.0; -336.0; 137.0; 202.0; 1139.0; 32.0; -336.0
2021-03-31; 708.0; 215.0; 21.0; 236.0; -30.0; 57.0; -216.0; -492.0; -681.0; 3.0; -134.0; 0.0; 0.0; 0.0; 0.0; 0.0; 3.0; -131.0; 0.0; 0.0; 0.0; -759.0; -759.0; -315.0; 201.0; -873.0; -1013.0; 40.0; -315.0
2020-12-31; 1002.0; 235.0; 22.0; 257.0; 707.0; 636.0; 343.0; -41.0; 1645.0; 2562.0; -345.0; 0.0; 0.0; 0.0; 0.0; 0.0; -40.0; -385.0; -441.0; 0.0; -441.0; -86.0; -86.0; -315.0; 39.0; -803.0; 1355.0; 37.0; -315.0
2020-09-30; 834.0; 212.0; 1.0; 213.0; -335.0; 299.0; 224.0; -79.0; 109.0; 1119.0; -216.0; 0.0; 0.0; 0.0; 0.0; 0.0; -151.0; -367.0; -1236.0; 0.0; -1236.0; 0.0; 0.0; -315.0; -16.0; -1567.0; -831.0; 30.0; -315.0
