Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 3252.0; 2773.0; -31.0; 2742.0; 0.0; 0.0; 0.0; -803.0; -803.0; 5191.0; 4099.0; 0.0; 0.0; -8753.0; -9062.0; -17815.0; 10972.0; -2744.0; 3072.0; 193.0; 3265.0; -1500.0; -1494.0; -189.0; -121.0; 1461.0; 3784.0; 0.0; -189.0
2022-06-30; 1642.0; 2856.0; -238.0; 2618.0; 0.0; 0.0; 0.0; -1135.0; -1135.0; 3124.0; -5381.0; 0.0; 0.0; -9316.0; 0.0; -9316.0; 10377.0; -4318.0; 1474.0; 293.0; 1767.0; 0.0; -3.0; -8.0; -666.0; 1090.0; -263.0; 0.0; -8.0
2022-03-31; 2807.0; 2891.0; -812.0; 2079.0; 0.0; 0.0; 0.0; -2784.0; -2784.0; 2104.0; -4651.0; 0.0; 0.0; -9680.0; 0.0; -9680.0; 10423.0; -3909.0; -142.0; 722.0; 580.0; 0.0; -2124.0; -73.0; -235.0; -1852.0; -3564.0; 0.0; -73.0
2021-12-31; 1766.0; 2937.0; -532.0; 2405.0; 493.0; -3155.0; -1166.0; 10119.0; 5317.0; 6809.0; -3408.0; 0.0; 0.0; -9558.0; 16698.0; 7140.0; -9148.0; -5416.0; 917.0; -291.0; 626.0; 0.0; 0.0; -16.0; -78.0; 532.0; 1891.0; 0.0; -16.0
2021-09-30; 2386.0; 3081.0; -807.0; 2274.0; 0.0; 0.0; 0.0; -4709.0; -4709.0; -49.0; 10580.0; 0.0; 0.0; -8417.0; -16698.0; -25115.0; 10606.0; -3929.0; -2343.0; 838.0; -1505.0; 0.0; 0.0; -76.0; -44.0; -1625.0; -5714.0; 0.0; -76.0
2021-06-30; 2779.0; 3018.0; 532.0; 3550.0; 0.0; 0.0; 0.0; 833.0; 833.0; 7162.0; -7899.0; 0.0; 0.0; -7742.0; 0.0; -7742.0; 11615.0; -4026.0; -1728.0; 822.0; -906.0; 0.0; 199.0; -18.0; -55.0; -780.0; 2489.0; 0.0; -18.0
2021-03-31; 3014.0; 3015.0; 44.0; 3059.0; 0.0; 0.0; 0.0; -4807.0; -4807.0; 1266.0; -6991.0; 0.0; 0.0; -6907.0; 0.0; -6907.0; 10914.0; -2984.0; 648.0; 1543.0; 2191.0; 0.0; 1537.0; -76.0; -35.0; 3617.0; 1759.0; 0.0; -76.0
2020-12-31; 2797.0; 3080.0; 513.0; 3593.0; -1341.0; -104.0; 42.0; 5670.0; 2406.0; 6693.0; 6662.0; 0.0; 0.0; -6887.0; 0.0; -6887.0; -4782.0; -5007.0; -8408.0; -303.0; -8711.0; 0.0; 0.0; -16.0; 120.0; -8607.0; -6739.0; 0.0; -16.0
2020-09-30; 4018.0; 3162.0; 9.0; 3171.0; 0.0; 0.0; 0.0; 4042.0; 4042.0; 11231.0; -10943.0; 0.0; 0.0; -8575.0; 0.0; -8575.0; 15035.0; -4483.0; -9681.0; -266.0; -9947.0; 0.0; 492.0; -61.0; -41.0; -9557.0; -2784.0; 0.0; -61.0
2020-06-30; -780.0; 3265.0; -214.0; 3051.0; 0.0; 0.0; 0.0; -5086.0; -5086.0; -2815.0; -984.0; 0.0; 0.0; -9539.0; 0.0; -9539.0; 4757.0; -5766.0; -571.0; 833.0; 262.0; 0.0; 0.0; -2.0; -224.0; 36.0; -8526.0; 0.0; -2.0
