Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 13910.0; 4046.0; 4601.0; 8647.0; -97.0; 0.0; 1907.0; -2535.0; 796.0; 23353.0; -7276.0; 0.0; -5649.0; 11659.0; -358.0; 11301.0; 791.0; -833.0; -674.0; 0.0; -674.0; -15382.0; -15382.0; 0.0; -2041.0; -18097.0; 4048.0; 4976.0; 0.0
2022-06-30; 16002.0; 3899.0; 3738.0; 7637.0; -1969.0; 0.0; 1201.0; -759.0; -4217.0; 19422.0; -6828.0; 0.0; -1063.0; 3858.0; -375.0; 3483.0; 221.0; -4187.0; -356.0; 0.0; -356.0; -15197.0; -15197.0; 0.0; -2264.0; -17817.0; -2950.0; 4782.0; 0.0
2022-03-31; 16436.0; 3782.0; 3991.0; 7773.0; 4364.0; 0.0; -2373.0; -870.0; 897.0; 25106.0; -9786.0; 0.0; -173.0; 1317.0; -764.0; 553.0; 355.0; -9051.0; 2.0; 0.0; 2.0; -13300.0; -13300.0; 0.0; -2916.0; -16214.0; -59.0; 4504.0; 0.0
2021-12-31; 20642.0; 3439.0; 3078.0; 6517.0; -5819.0; 0.0; 1157.0; -31.0; -2225.0; 24934.0; -6383.0; 0.0; -385.0; -3922.0; -426.0; -4348.0; 100.0; -11016.0; -115.0; 0.0; -115.0; -13473.0; -13473.0; 0.0; -2923.0; -16511.0; -2774.0; 3954.0; 0.0
2021-09-30; 18936.0; 3304.0; 493.0; 3797.0; -2409.0; 0.0; 238.0; -983.0; 2806.0; 25539.0; -6819.0; 0.0; -259.0; -3038.0; -322.0; -3360.0; 388.0; -10050.0; -42.0; 0.0; -42.0; -12610.0; -12610.0; 0.0; -2602.0; -15254.0; 89.0; 3874.0; 0.0
2021-06-30; 18525.0; 2945.0; 1291.0; 4236.0; -3661.0; 0.0; -130.0; -202.0; -871.0; 21890.0; -5496.0; 0.0; -308.0; -2764.0; -529.0; -3293.0; 23.0; -9074.0; -1042.0; 0.0; -1042.0; -12496.0; -12496.0; 0.0; -2453.0; -15991.0; -2992.0; 3803.0; 0.0
2021-03-31; 17930.0; 2753.0; -161.0; 2592.0; 2794.0; 0.0; -982.0; 144.0; -1233.0; 19289.0; -5942.0; 0.0; -1666.0; 2822.0; -627.0; 2195.0; 30.0; -5383.0; -37.0; 0.0; -37.0; -11385.0; -11385.0; 0.0; -2184.0; -13606.0; 157.0; 3745.0; 0.0
2020-12-31; 15227.0; 3725.0; 2023.0; 5748.0; -5445.0; 0.0; 963.0; -531.0; 1702.0; 22677.0; -5479.0; 0.0; -370.0; 3511.0; -4886.0; -1375.0; -57.0; -7281.0; -57.0; 0.0; -57.0; -7566.0; -7566.0; 0.0; -1647.0; -9270.0; 6336.0; 3223.0; 0.0
2020-09-30; 11247.0; 3478.0; 1522.0; 5000.0; -3601.0; 0.0; 420.0; 47.0; 756.0; 17003.0; -5406.0; 0.0; -13.0; -8944.0; -428.0; -9372.0; -406.0; -15197.0; 9802.0; 0.0; 9802.0; -7899.0; -7899.0; 0.0; -1357.0; 546.0; 2387.0; 3195.0; 0.0
2020-06-30; 6959.0; 3386.0; 1321.0; 4707.0; -80.0; 0.0; 146.0; -133.0; 2327.0; 13993.0; -5391.0; 0.0; -165.0; -2485.0; -526.0; -3011.0; 119.0; -8448.0; -35.0; 0.0; -35.0; -5988.0; -5988.0; 0.0; -1475.0; -7498.0; -1902.0; 3382.0; 0.0
2020-03-31; 6836.0; 3108.0; 4465.0; 7573.0; 2602.0; 0.0; -835.0; -78.0; -2958.0; 11451.0; -6005.0; 0.0; -190.0; 4248.0; -312.0; 3936.0; 412.0; -1847.0; -49.0; 0.0; -49.0; -6896.0; -6896.0; 0.0; -1241.0; -8186.0; 1146.0; 3191.0; 0.0
2019-12-31; 10671.0; 3413.0; 1565.0; 4978.0; -4365.0; 0.0; 814.0; 352.0; -1222.0; 14427.0; -23548.0; 17496.0; -2142.0; 3695.0; -325.0; 3370.0; 121.0; -4703.0; -47.0; 0.0; -47.0; -6080.0; -6080.0; 0.0; -1199.0; -7326.0; 2466.0; 2645.0; 0.0
2019-09-30; 7068.0; 2920.0; 3793.0; 6713.0; -1.0; 0.0; 57.0; -670.0; 1685.0; 15466.0; 10764.0; -17496.0; -126.0; -2153.0; -313.0; -2466.0; 379.0; -8945.0; -145.0; 0.0; -145.0; -5678.0; -5678.0; 0.0; -1131.0; -6954.0; -555.0; 2624.0; 0.0
2019-06-30; 9947.0; 2835.0; 582.0; 3417.0; -1146.0; 0.0; -18.0; 80.0; -737.0; 12627.0; -6126.0; 0.0; -148.0; -4155.0; -81.0; -4236.0; 55.0; -10455.0; -46.0; 0.0; -46.0; -3440.0; -3440.0; 0.0; -1260.0; -4746.0; -2561.0; 2756.0; 0.0
2019-03-31; 6657.0; 2613.0; 1637.0; 4250.0; 1172.0; 0.0; -425.0; -346.0; 1093.0; 12000.0; -4638.0; 0.0; -99.0; 123.0; -808.0; -685.0; 34.0; -5388.0; -30.0; 0.0; -30.0; -2978.0; -2978.0; 0.0; -1175.0; -4183.0; 2447.0; 2769.0; 0.0
2018-12-31; 8948.0; 2580.0; 964.0; 3544.0; -2887.0; 0.0; 774.0; 132.0; 495.0; 12987.0; -7081.0; 0.0; -39.0; 763.0; -548.0; 215.0; 29.0; -6876.0; -5.0; 0.0; -5.0; -1700.0; -1700.0; 0.0; -1041.0; -2746.0; 3258.0; 2253.0; 0.0
2018-09-30; 9192.0; 2355.0; 1795.0; 4150.0; -670.0; 0.0; 316.0; -507.0; -132.0; 13210.0; -5282.0; 0.0; -18.0; -4896.0; -232.0; -5128.0; 20.0; -10408.0; -25.0; 0.0; -25.0; -2200.0; -2200.0; 0.0; -1253.0; -3478.0; -705.0; 2230.0; 0.0
