Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 210.85; 39.5; 7.87; 47.37; 34.24; -147.55; -34.37; 19.96; -104.1; 154.12; -50.11; -0.52; -2.63; 0.0; 131.27; 131.27; 0.0; 78.01; 0.0; 0.0; 0.0; -80.11; -80.11; -140.82; 0.0; -220.94; -5.08; 18.12; -140.82
2022-06-30; 257.87; 41.64; 1.23; 42.88; -115.71; -159.96; 32.11; 47.76; -220.91; 79.84; -74.54; -0.34; 0.0; 0.0; -186.39; -186.39; 0.0; -261.27; 0.0; 0.0; 0.0; -4.33; -4.33; -129.39; 0.0; -133.72; -330.19; 15.05; -129.39
2022-03-31; 211.59; 41.21; -7.53; 33.68; 238.13; -134.81; -61.94; -122.59; -59.64; 185.63; -58.58; -0.55; -10.83; 0.0; -65.92; -65.92; 0.0; -135.88; 0.0; 0.0; 0.0; 5.54; 5.54; -128.86; 0.0; -123.32; -80.53; 24.71; -128.86
2021-12-31; 286.14; 41.06; 22.08; 63.14; -216.13; -119.07; 51.34; 103.62; -180.31; 168.96; -119.68; -0.53; -4.28; 0.0; -39.17; -39.17; 0.0; -163.66; 0.0; 0.0; 0.0; -13.35; -13.35; -128.85; 0.0; -142.2; -140.99; 23.87; -128.85
2021-09-30; 259.04; 39.08; 38.24; 77.32; 93.1; -180.19; 13.46; -2.6; -90.93; 245.42; -41.4; -0.24; 0.0; 0.0; -72.05; -72.05; 0.0; -113.69; 0.0; 0.0; 0.0; -0.03; -0.03; -128.74; 0.0; -128.77; -0.39; 23.36; -128.74
2021-06-30; 317.0; 37.79; 32.27; 70.06; -177.6; -89.74; 47.61; 45.63; -157.38; 229.68; -109.64; -0.41; 0.0; 0.0; 16.14; 16.14; 0.0; -93.91; 0.0; 0.0; 0.0; 17.75; 17.75; -117.2; 0.0; -99.45; 39.98; 22.6; -117.2
2021-03-31; 220.03; 36.89; 30.63; 67.52; 281.52; -87.45; -3.47; -113.74; 80.82; 368.36; -36.89; -0.76; -15.89; 0.0; -50.56; -50.56; 0.0; -104.11; 0.0; 0.0; 0.0; 0.38; 0.38; -116.66; 0.0; -116.28; 141.49; 22.7; -116.66
2020-12-31; 333.55; 36.6; 5.63; 42.24; -168.33; 84.79; 13.39; 97.44; 60.03; 435.82; -48.32; -0.42; 0.0; 0.0; -32.45; -32.45; 0.0; -81.19; 0.0; 0.0; 0.0; -13.26; -13.26; -116.66; 0.0; -129.91; 234.94; 27.37; -116.66
2020-09-30; 313.42; 32.58; 22.82; 55.4; -118.65; 1.06; 39.52; 23.96; -94.48; 274.34; -38.75; -0.27; -140.75; 0.0; -114.49; -114.49; 0.0; -294.27; 0.0; 0.0; 0.0; -1.19; -1.19; -116.53; 0.0; -117.72; -131.4; 22.03; -116.53
2020-06-30; 184.18; 29.33; 5.62; 34.95; -19.04; -9.81; -11.61; 28.58; -19.89; 199.24; -56.9; -0.42; -1.83; 0.0; 252.97; 252.97; 0.0; 193.81; 0.0; 0.0; 0.0; 14.9; 14.9; -108.88; 0.0; -93.98; 306.32; 15.93; -108.88
2020-03-31; 161.18; 28.2; 40.67; 68.88; 197.16; -47.32; -39.85; -109.15; -4.18; 225.87; -39.45; -0.95; -6.06; 0.0; -32.41; -32.41; 0.0; -78.87; 0.0; 0.0; 0.0; -11.58; -11.58; -108.57; 0.0; -120.15; 21.25; 15.56; -108.57
2019-12-31; 360.79; 28.56; -87.33; -58.77; -138.65; 7.95; -1.33; 91.25; -67.64; 234.38; -26.4; -0.52; -24.98; 0.0; -31.04; -31.04; 0.0; -82.94; 0.0; 0.0; 0.0; 1.23; 1.23; -108.36; 0.0; -107.13; 50.2; 15.85; -108.36
2019-09-30; 227.87; 26.88; 48.74; 75.62; 9.05; -109.9; 21.56; -38.62; -114.53; 188.95; -30.88; -1.01; 0.7; 0.0; 9.77; 9.77; 0.0; -21.41; 0.0; 0.0; 0.0; -0.02; -0.02; 0.0; 0.0; -0.02; 157.18; 16.59; 0.0
