Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 1552.0; 300.0; -15.0; 285.0; 244.0; 44.0; -125.0; 163.0; 246.0; 2083.0; -184.0; 0.0; 0.0; 0.0; -126.0; -126.0; 436.0; 126.0; -1728.0; -12.0; -1740.0; -344.0; -344.0; -669.0; -24.0; -2777.0; -799.0; 50.0; -669.0
2022-06-30; 1261.0; 275.0; 164.0; 439.0; -619.0; -103.0; -41.0; -9.0; -911.0; 789.0; -157.0; 0.0; -2.0; 0.0; 95.0; 95.0; 488.0; 424.0; -49.0; -2.0; -51.0; -1367.0; -1367.0; -691.0; -4.0; -2113.0; -1033.0; 53.0; -691.0
2022-03-31; 1134.0; 330.0; 18.0; 348.0; -285.0; -331.0; -199.0; -29.0; -1446.0; 36.0; -173.0; 0.0; -176.0; 0.0; 81.0; 81.0; 258.0; -10.0; -39.0; 0.0; -39.0; -995.0; -995.0; -668.0; -17.0; -1719.0; -1678.0; 60.0; -668.0
2021-12-31; 1428.0; 290.0; -117.0; 173.0; 411.0; -169.0; 365.0; 48.0; 1062.0; 2663.0; -272.0; 0.0; 8.0; 0.0; 235.0; 235.0; 315.0; 286.0; -1554.0; 1.0; -1553.0; -823.0; -823.0; -676.0; -7.0; -3059.0; -128.0; 45.0; -676.0
2021-09-30; 1257.0; 308.0; -22.0; 286.0; -292.0; -245.0; -23.0; -226.0; -424.0; 1119.0; -204.0; 0.0; 6.0; 0.0; -17.0; -17.0; 111.0; -104.0; -38.0; 0.0; -38.0; -593.0; -593.0; -646.0; -41.0; -1318.0; -340.0; 56.0; -646.0
2021-06-30; 1430.0; 284.0; -469.0; -185.0; -270.0; -113.0; 345.0; -32.0; 33.0; 1278.0; -185.0; 0.0; -24.0; 0.0; 58.0; 58.0; 212.0; 61.0; -14.0; 1.0; -13.0; -980.0; -980.0; -664.0; -3.0; -1660.0; -291.0; 39.0; -664.0
2021-03-31; 1427.0; 341.0; -407.0; -66.0; 143.0; -158.0; 57.0; -66.0; -383.0; 978.0; -207.0; 0.0; -1113.0; 0.0; -124.0; -124.0; 140.0; -1304.0; -794.0; 2.0; -792.0; -755.0; -755.0; -640.0; -30.0; -2217.0; -2557.0; 77.0; -640.0
2020-12-31; 1359.0; 254.0; 90.0; 344.0; 54.0; 217.0; 475.0; -55.0; 1079.0; 2782.0; -251.0; 0.0; -261.0; 0.0; 9.0; 9.0; -74.0; -577.0; -51.0; 9.0; -42.0; -1335.0; -1335.0; -671.0; -5.0; -2053.0; 239.0; 50.0; -671.0
2020-09-30; 758.0; 255.0; -129.0; 126.0; -161.0; 47.0; -96.0; 140.0; 123.0; 1007.0; -239.0; 0.0; 0.0; 0.0; 345.0; 345.0; -158.0; -52.0; -15.0; -6.0; -21.0; -98.0; -98.0; -636.0; -14.0; -769.0; 258.0; 40.0; -636.0
2020-06-30; 1081.0; 250.0; -429.0; -179.0; 735.0; -168.0; -310.0; -60.0; 578.0; 1480.0; -227.0; 0.0; 0.0; 0.0; -277.0; -277.0; -204.0; -708.0; 5881.0; -11.0; 5870.0; -31.0; -31.0; -650.0; -2.0; 5187.0; 6057.0; 34.0; -650.0
