Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 80.0; 65.0; 34.0; 99.0; -77.0; -80.0; 12.0; -25.0; -114.0; 65.0; -42.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; -41.0; 0.0; 0.0; 0.0; -96.0; -96.0; -9.0; -1.0; -106.0; -84.0; 14.0; -9.0
2022-06-30; 147.0; 67.0; 64.0; 131.0; -46.0; -104.0; 50.0; -29.0; -120.0; 158.0; -3.0; 0.0; 0.0; 0.0; 0.0; 0.0; -1.0; -4.0; -60.0; -1.0; -61.0; -57.0; -57.0; -9.0; -10.0; -137.0; 16.0; 18.0; -9.0
2022-03-31; 131.0; 66.0; 72.0; 138.0; -123.0; -87.0; 68.0; -24.0; -214.0; 55.0; -61.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -61.0; 0.0; -3.0; -3.0; -168.0; -168.0; -9.0; -14.0; -194.0; -200.0; 11.0; -9.0
2021-12-31; 77.0; 67.0; 99.0; 166.0; 45.0; 11.0; 81.0; -26.0; 60.0; 303.0; -37.0; 0.0; 0.0; 0.0; 1.0; 1.0; -1.0; -37.0; -47.0; -9.0; -56.0; -200.0; -200.0; -8.0; -6.0; -270.0; -4.0; 13.0; -8.0
2021-09-30; 27.0; 68.0; 161.0; 229.0; -151.0; 30.0; 15.0; -16.0; -189.0; 67.0; -47.0; 0.0; 0.0; 0.0; 0.0; 0.0; 97.0; 50.0; 47.0; 1.0; 48.0; -23.0; -23.0; -10.0; -121.0; -106.0; 10.0; 14.0; -10.0
2021-06-30; 74.0; 67.0; 56.0; 123.0; -87.0; -1.0; 22.0; -57.0; -112.0; 85.0; -28.0; 0.0; 0.0; 0.0; 5.0; 5.0; 114.0; 91.0; -477.0; 1.0; -476.0; -193.0; -193.0; 0.0; -31.0; -700.0; -523.0; 8.0; 0.0
2021-03-31; 80.0; 68.0; 46.0; 114.0; -144.0; 20.0; 26.0; -22.0; -200.0; -6.0; -55.0; 0.0; 0.0; 0.0; 0.0; 0.0; 58.0; 3.0; -361.0; -2.0; -363.0; 8.0; 8.0; -1.0; -12.0; -368.0; -372.0; 6.0; -1.0
2020-12-31; 106.0; 67.0; 10.0; 77.0; -121.0; 116.0; 58.0; -102.0; -32.0; 151.0; -47.0; 0.0; 0.0; 0.0; 0.0; 0.0; 166.0; 119.0; -2.0; -7.0; -9.0; -19.0; -19.0; -1.0; -1.0; -30.0; 243.0; 10.0; -1.0
2020-09-30; 36.0; 68.0; 59.0; 127.0; -47.0; 94.0; -119.0; 3.0; -128.0; 35.0; -36.0; 0.0; 0.0; 0.0; 0.0; 0.0; 144.0; 108.0; 0.0; -6.0; -6.0; -51.0; -51.0; 0.0; -5.0; -62.0; 83.0; 12.0; 0.0
2020-06-30; -96.0; 74.0; 154.0; 228.0; 140.0; 0.0; -188.0; -59.0; -101.0; 31.0; -32.0; 0.0; 0.0; 0.0; 0.0; 0.0; 65.0; 33.0; -841.0; -4.0; -845.0; 0.0; 0.0; -1.0; -576.0; -1422.0; -1358.0; 10.0; -1.0
