Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 1019.0; 3252.0; 1540.0; 4792.0; -1406.0; -657.0; -602.0; -359.0; -4781.0; 1030.0; -7299.0; 0.0; 0.0; 3567.0; 105.0; 3672.0; -947.0; -4574.0; 4661.0; 0.0; 4661.0; 383.0; 383.0; -1502.0; 141.0; 3683.0; 139.0; 793.0; -1502.0
2022-06-30; -454.0; 3148.0; 1092.0; 4240.0; 1013.0; -239.0; 245.0; -444.0; -2977.0; 809.0; -7255.0; 0.0; 35.0; 8494.0; 93.0; 8587.0; -1199.0; 168.0; -1688.0; 0.0; -1688.0; 0.0; 0.0; -1499.0; 385.0; -2802.0; -1825.0; 892.0; -1499.0
2022-03-31; 8113.0; 3348.0; -4722.0; -1374.0; 2384.0; -1147.0; -128.0; -1292.0; -848.0; 5891.0; -4797.0; 0.0; 6544.0; -8601.0; 4682.0; -3919.0; -468.0; -2640.0; -299.0; 0.0; -299.0; 589.0; 589.0; -1487.0; -666.0; -1863.0; 1388.0; 707.0; -1487.0
2021-12-31; 4623.0; 3074.0; 133.0; 3207.0; -1056.0; -1127.0; 95.0; -464.0; -1892.0; 5938.0; -7632.0; 0.0; -209.0; 1385.0; 940.0; 2325.0; -108.0; -5624.0; -2000.0; 0.0; -2000.0; 4.0; 4.0; -1413.0; 52.0; -3357.0; -3043.0; 449.0; -1413.0
2021-09-30; 6823.0; 2959.0; 27.0; 2986.0; -940.0; -1086.0; 670.0; 1315.0; 95.0; 9904.0; -4441.0; 0.0; 0.0; -6481.0; 295.0; -6186.0; -2.0; -10629.0; 4974.0; 0.0; 4974.0; 427.0; 427.0; -1410.0; -142.0; 3849.0; 3124.0; 543.0; -1410.0
2021-06-30; 5061.0; 2857.0; 709.0; 3566.0; -252.0; -306.0; 122.0; 432.0; 174.0; 8801.0; -3868.0; 0.0; 0.0; -3010.0; 63.0; -2947.0; -98.0; -6913.0; -500.0; 0.0; -500.0; -90.0; -90.0; -1410.0; -334.0; -2334.0; -446.0; 619.0; -1410.0
2021-03-31; 3361.0; 2902.0; 2335.0; 5237.0; -426.0; 180.0; 303.0; -2407.0; -3250.0; 5348.0; -4388.0; 0.0; 0.0; 1435.0; 86.0; 1521.0; 866.0; -2001.0; 0.0; 0.0; 0.0; -1736.0; -1736.0; -1411.0; -873.0; -4020.0; -673.0; 425.0; -1411.0
2020-12-31; 5857.0; 3003.0; -1139.0; 1864.0; 358.0; -117.0; 50.0; -166.0; 2169.0; 9890.0; -4061.0; 0.0; -837.0; -3483.0; 1395.0; -2088.0; 1302.0; -5684.0; 0.0; 0.0; 0.0; 0.0; 0.0; -1353.0; -344.0; -1697.0; 2509.0; 461.0; -1353.0
2020-09-30; 4276.0; 3123.0; 414.0; 3537.0; 301.0; -299.0; 147.0; 471.0; 366.0; 8179.0; -3716.0; 0.0; 0.0; -821.0; 3272.0; 2451.0; 499.0; -766.0; -1750.0; 0.0; -1750.0; -9615.0; -9615.0; -1404.0; -24.0; -12793.0; -5380.0; 452.0; -1404.0
2020-06-30; 5105.0; 3063.0; 275.0; 3338.0; 1020.0; 277.0; 91.0; 296.0; 2714.0; 11157.0; -3408.0; 0.0; 0.0; -2459.0; -4670.0; -7129.0; -73.0; -10610.0; -1700.0; 0.0; -1700.0; 9.0; 9.0; -1403.0; -97.0; -3191.0; -2644.0; 492.0; -1403.0
2020-03-31; 5661.0; 3050.0; 745.0; 3795.0; -796.0; -548.0; 117.0; -1219.0; -3298.0; 6158.0; -3268.0; 0.0; 0.0; -237.0; 112.0; -125.0; -343.0; -3736.0; 9172.0; 0.0; 9172.0; -3726.0; -3726.0; -1408.0; 726.0; 4764.0; 7186.0; 449.0; -1408.0
2019-12-31; 6905.0; 2968.0; 311.0; 3279.0; -779.0; -105.0; -32.0; 65.0; -296.0; 9888.0; -4666.0; 0.0; -1958.0; -1682.0; 1620.0; -62.0; 2201.0; -4485.0; 1593.0; -1632.0; -39.0; -2726.0; -2726.0; -1362.0; -1017.0; -5144.0; 259.0; 415.0; -1362.0
2019-09-30; 5990.0; 2679.0; 136.0; 2815.0; -646.0; 67.0; 297.0; 1091.0; 1906.0; 10711.0; -4672.0; 0.0; 0.0; 388.0; 863.0; 1251.0; -489.0; -3910.0; -396.0; 636.0; 240.0; -4826.0; -4826.0; -1386.0; 239.0; -5733.0; 1068.0; 431.0; -1386.0
2019-06-30; 4179.0; 2554.0; 644.0; 3198.0; 725.0; -931.0; 235.0; 28.0; 210.0; 7587.0; -3554.0; 0.0; 0.0; -1323.0; 1436.0; 113.0; 153.0; -3288.0; 294.0; -686.0; -392.0; -3034.0; -3034.0; -1414.0; 254.0; -4586.0; -287.0; 470.0; -1414.0
2019-03-31; 3974.0; 2625.0; 115.0; 2740.0; -235.0; -512.0; 196.0; -24.0; -1755.0; 4959.0; -3321.0; 0.0; 0.0; 633.0; 205.0; 838.0; -239.0; -2722.0; -726.0; 1682.0; 956.0; -2240.0; -2240.0; -1414.0; 596.0; -2102.0; 135.0; 389.0; -1414.0
2018-12-31; 5195.0; 2493.0; 330.0; 2823.0; -1265.0; 148.0; -219.0; 221.0; -1118.0; 6900.0; -3890.0; 0.0; 358.0; -1013.0; 2557.0; 1544.0; 168.0; -1820.0; -1098.0; -1707.0; -2805.0; -2256.0; -2256.0; -1368.0; 961.0; -5468.0; -388.0; 343.0; -1368.0
