Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-10-31; 40.0; 209.0; 417.0; 626.0; 62.0; 0.0; -71.0; -171.0; -349.0; 328.0; -77.0; 0.0; 0.0; 0.0; -122.0; -122.0; -57.0; -256.0; 0.0; 70.0; 70.0; -450.0; -450.0; -222.0; -311.0; -913.0; -857.0; 422.0; -222.0
2022-07-31; -56.0; 208.0; 381.0; 589.0; 292.0; 0.0; -181.0; -80.0; -217.0; 339.0; -61.0; 0.0; 0.0; 0.0; -114.0; -114.0; -136.0; -311.0; 0.0; 60.0; 60.0; -478.0; -478.0; -194.0; -285.0; -897.0; -873.0; 346.0; -194.0
2022-04-30; 1794.0; 209.0; 486.0; 695.0; 149.0; 0.0; 2.0; 112.0; 823.0; 3320.0; -61.0; 0.0; 0.0; 0.0; -223.0; -223.0; -144.0; -428.0; 0.0; 120.0; 120.0; -422.0; -422.0; -195.0; 54.0; -443.0; 2437.0; 346.0; -195.0
2022-01-31; 100.0; 215.0; 362.0; 577.0; -451.0; 0.0; 191.0; 101.0; -598.0; 85.0; -65.0; 0.0; -5682.0; 0.0; 346.0; 346.0; -77.0; -5478.0; 4700.0; 0.0; 4700.0; -519.0; -519.0; -195.0; -128.0; 3858.0; -1539.0; 336.0; -195.0
2021-10-31; 228.0; 114.0; 282.0; 396.0; -21.0; 0.0; -107.0; -115.0; -444.0; 145.0; -42.0; 0.0; 0.0; 0.0; 919.0; 919.0; -81.0; 796.0; 0.0; 2.0; 2.0; -280.0; -280.0; -190.0; -318.0; -786.0; 153.0; 280.0; -190.0
2021-07-31; 380.0; 113.0; 149.0; 262.0; 163.0; 0.0; 12.0; -12.0; -110.0; 542.0; -24.0; 0.0; 0.0; 0.0; -359.0; -359.0; -54.0; -437.0; 0.0; 0.0; 0.0; -404.0; -404.0; -164.0; -29.0; -597.0; -493.0; 244.0; -164.0
2021-04-30; 1464.0; 113.0; 294.0; 407.0; -89.0; 0.0; 107.0; -7.0; 514.0; 2384.0; -30.0; 0.0; -19.0; 0.0; -170.0; -170.0; -43.0; -262.0; -325.0; 0.0; -325.0; -349.0; -349.0; -161.0; -157.0; -992.0; 1134.0; 218.0; -161.0
2021-01-31; 20.0; 91.0; 187.0; 278.0; -225.0; 0.0; 145.0; 179.0; 13.0; 279.0; -33.0; 0.0; -2960.0; 0.0; -169.0; -169.0; 26.0; -3136.0; 0.0; 0.0; 0.0; -144.0; -144.0; -163.0; -127.0; -434.0; -3280.0; 180.0; -163.0
2020-10-31; 198.0; 46.0; 245.0; 291.0; 47.0; 0.0; -58.0; -152.0; -428.0; 45.0; -38.0; 0.0; -85.0; 0.0; -12.0; -12.0; 5.0; -130.0; -13.0; -1000.0; -1013.0; 88.0; 88.0; -158.0; -70.0; -1153.0; -1239.0; 111.0; -158.0
2020-07-31; 445.0; 50.0; -33.0; 17.0; 73.0; 0.0; -78.0; 41.0; -159.0; 287.0; -30.0; 0.0; 0.0; 0.0; -1.0; -1.0; 45.0; 14.0; 1971.0; 1000.0; 2971.0; 51.0; 51.0; -142.0; -50.0; 2830.0; 3137.0; 114.0; -142.0
2020-04-30; 1084.0; 54.0; 45.0; 99.0; 384.0; 0.0; -64.0; -40.0; 736.0; 1937.0; -39.0; 0.0; 0.0; 0.0; 23.0; 23.0; 1.0; -15.0; -13.0; 0.0; -13.0; -6.0; -6.0; -139.0; -96.0; -254.0; 1658.0; 103.0; -139.0
2020-01-31; 240.0; 57.0; 111.0; 168.0; -500.0; 0.0; 180.0; 135.0; -91.0; 317.0; -30.0; 0.0; 0.0; 0.0; 1.0; 1.0; -10.0; -39.0; -12.0; 0.0; -12.0; -80.0; -80.0; -139.0; 14.0; -217.0; 59.0; 107.0; -139.0
2019-10-31; 57.0; 57.0; 109.0; 166.0; -16.0; 0.0; -5.0; -131.0; -354.0; -127.0; -38.0; 0.0; 0.0; 0.0; 2.0; 2.0; -21.0; -57.0; -13.0; 0.0; -13.0; -77.0; -77.0; -141.0; -94.0; -325.0; -509.0; 111.0; -141.0
2019-07-31; -44.0; 59.0; 135.0; 194.0; 176.0; 0.0; -115.0; -11.0; -275.0; -122.0; -26.0; 0.0; -64.0; 0.0; -221.0; -221.0; -7.0; -318.0; -12.0; 0.0; -12.0; -95.0; -95.0; -127.0; -106.0; -340.0; -777.0; 98.0; -127.0
2019-04-30; 1378.0; 54.0; 75.0; 129.0; 291.0; 0.0; -5.0; -44.0; 735.0; 2248.0; -49.0; 0.0; 0.0; 0.0; -139.0; -139.0; -21.0; -209.0; -13.0; 48.0; 35.0; -57.0; -57.0; -123.0; -70.0; -215.0; 1820.0; 98.0; -123.0
2019-01-31; 189.0; 55.0; 88.0; 143.0; -477.0; 0.0; 186.0; 205.0; 5.0; 341.0; -45.0; 0.0; 0.0; 0.0; -9.0; -9.0; -3.0; -57.0; -12.0; 0.0; -12.0; -145.0; -145.0; -122.0; -20.0; -299.0; -13.0; 100.0; -122.0
2018-10-31; 34.0; 57.0; 96.0; 153.0; 21.0; 0.0; 24.0; -139.0; -332.0; -143.0; -35.0; 0.0; 0.0; 0.0; 4.0; 4.0; -20.0; -51.0; -13.0; 0.0; -13.0; 25.0; 25.0; -129.0; 6.0; -111.0; -309.0; 105.0; -129.0
2018-07-31; -38.0; 62.0; 172.0; 234.0; 212.0; 0.0; -148.0; 27.0; -240.0; -37.0; -27.0; 0.0; 0.0; 0.0; 86.0; 86.0; -50.0; 9.0; -12.0; 0.0; -12.0; 90.0; 90.0; -102.0; -146.0; -170.0; -202.0; 99.0; -102.0
