Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 283.0; 252.0; 50.0; 302.0; 55.0; 0.0; 0.0; 223.0; 278.0; 863.0; -165.0; 0.0; -548.0; -1.0; -14.0; -15.0; 11.0; -717.0; -39.0; 0.0; -39.0; -210.0; -210.0; 0.0; -2.0; -251.0; -154.0; 61.0; 0.0
2022-06-30; 256.0; 273.0; 46.0; 319.0; -197.0; 0.0; 0.0; -49.0; -246.0; 329.0; -161.0; 0.0; -34.0; 0.0; 6.0; 6.0; -10.0; -199.0; 1227.0; -750.0; 477.0; -423.0; -423.0; 0.0; -83.0; -29.0; 41.0; 45.0; 0.0
2022-03-31; 325.0; 259.0; 35.0; 294.0; 54.0; 0.0; 0.0; -165.0; -111.0; 508.0; -177.0; 0.0; -430.0; -3.0; -6.0; -9.0; 3.0; -613.0; -24.0; 650.0; 626.0; -470.0; -470.0; 0.0; -12.0; 144.0; 21.0; 30.0; 0.0
2021-12-31; 318.0; 265.0; -21.0; 244.0; -801.0; 0.0; 244.0; 689.0; 130.0; 692.0; -184.0; 0.0; -464.0; -1.0; -2.0; -3.0; 4.0; -647.0; -23.0; 100.0; 77.0; -263.0; -263.0; 0.0; 48.0; -138.0; -104.0; 42.0; 0.0
2021-09-30; 261.0; 340.0; 8.0; 348.0; 182.0; 0.0; 0.0; 53.0; 235.0; 844.0; -162.0; 0.0; -929.0; -1.0; -7.0; -8.0; 4.0; -1095.0; -74.0; 110.0; 36.0; -95.0; -95.0; 0.0; -7.0; -66.0; -337.0; 48.0; 0.0
2021-06-30; 175.0; 348.0; 31.0; 379.0; 139.0; 0.0; 0.0; -154.0; -15.0; 539.0; -145.0; 0.0; -46.0; -1.0; 11.0; 10.0; -4.0; -185.0; -36.0; 0.0; -36.0; 11.0; 11.0; 0.0; -838.0; -863.0; -498.0; 48.0; 0.0
2021-03-31; 217.0; 328.0; -8.0; 320.0; 342.0; 0.0; 0.0; -12.0; 330.0; 867.0; -149.0; 0.0; -19.0; -7.0; -2.0; -9.0; 1.0; -176.0; -7.0; 0.0; -7.0; -118.0; -118.0; 0.0; -43.0; -168.0; 491.0; 32.0; 0.0
2020-12-31; 130.0; 349.0; 3.0; 352.0; -73.0; 0.0; 253.0; 171.0; 268.0; 750.0; -176.0; 0.0; -59.0; -1.0; 2.0; 1.0; -2.0; -236.0; -72.0; -25.0; -97.0; -102.0; -102.0; 0.0; 1.0; -198.0; 350.0; 26.0; 0.0
2020-09-30; 108.0; 324.0; -31.0; 293.0; 120.0; 0.0; 0.0; 53.0; 173.0; 574.0; -157.0; 0.0; -26.0; -1.0; -7.0; -8.0; 0.0; -191.0; -36.0; 0.0; -36.0; -43.0; -43.0; 0.0; 26.0; -53.0; 355.0; 33.0; 0.0
2020-06-30; -21.0; 313.0; -47.0; 266.0; 292.0; 0.0; 0.0; -65.0; 227.0; 472.0; -142.0; 0.0; -78.0; 0.0; 2.0; 2.0; -1.0; -219.0; 60.0; -100.0; -40.0; 40.0; 40.0; 0.0; -73.0; -73.0; 182.0; 36.0; 0.0
