Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-12-31; -624.7; -146.7; -221.8; -368.5; -721.9; 397.2; 1248.3; 0.0; 923.6; 456.5; 119.8; 0.0; 0.0; 0.0; 122.6; 122.6; -4.4; -130.6; 549.6; 0.0; 549.6; 240.1; 240.1; 426.7; -417.6; -168.1; 208.1; -83.1; 249.1
2022-09-30; 168.3; 47.9; 111.0; 158.9; 212.6; -97.5; 15.1; 0.0; 130.2; 492.0; -62.7; 0.0; 0.0; 0.0; -19.2; -19.2; -0.3; -82.2; -31.7; -184.6; -216.3; -5.7; -5.7; -144.9; 101.1; -265.8; 93.2; 26.0; -85.7
2022-06-30; 218.9; 49.3; 59.3; 108.6; 371.6; -172.7; -493.3; 0.0; -294.4; 123.1; -33.2; 0.0; 0.0; 0.0; -43.5; -43.5; 0.0; -76.7; -614.8; 184.6; -430.2; -1.9; -1.9; -144.8; 99.2; -477.7; -481.3; 27.6; -85.6
2022-03-31; 237.5; 49.5; 51.5; 101.0; 137.7; -127.0; -770.1; 0.0; -759.4; -375.4; -23.9; 0.0; 0.0; 0.0; -59.9; -59.9; 4.7; -79.1; 96.9; 0.0; 96.9; -232.5; -232.5; -137.0; 217.3; -55.3; -533.0; 29.5; -77.8
2021-12-31; 557.1; 50.4; -67.1; -16.7; 329.9; -245.4; -573.5; 0.0; -489.0; -3.7; -35.6; 0.0; 0.0; 0.0; -211.1; -211.1; -13.1; -259.8; 134.1; 0.0; 134.1; -2.8; -2.8; -138.0; 109.8; 103.1; -162.4; 34.1; -78.8
2021-09-30; 545.6; 51.0; -62.9; -11.9; 1161.2; -40.8; -1065.2; 0.0; 55.2; 601.0; -26.0; 0.0; 0.0; 0.0; -338.4; -338.4; 0.0; -364.4; 514.2; 0.0; 514.2; -10.5; -10.5; -138.0; -6.6; 359.1; 572.4; 33.2; -78.8
2021-06-30; 495.1; 52.8; -120.2; -67.4; 2347.2; -5.1; -2218.7; 0.0; 123.4; 507.7; -26.9; 0.0; 0.0; 0.0; -56.9; -56.9; 0.0; -83.8; 40.5; 0.0; 40.5; 114.1; 114.1; -137.8; -499.5; -482.7; -58.8; 34.2; -78.6
2021-03-31; 371.6; 51.1; -10.0; 41.1; 1742.9; -130.3; -2018.1; 0.0; -405.5; -26.9; -20.3; 0.0; 0.0; 0.0; -110.9; -110.9; -8.7; -139.9; 225.8; 0.0; 225.8; -161.7; -161.7; -130.7; 204.4; 137.8; -43.4; 38.6; -71.5
2020-12-31; 330.8; 53.2; 32.6; 85.8; 943.7; -11.9; -720.9; 0.0; 210.9; 567.6; -41.4; 0.0; 0.0; 0.0; 3.4; 3.4; 7.4; -30.6; 31.5; -90.0; -58.5; -6.4; -6.4; -130.7; 140.0; -55.6; 518.7; 50.3; -71.5
2020-09-30; 294.7; 51.6; -48.9; 2.7; 409.2; -11.9; -261.4; 0.0; 135.9; 401.8; -26.4; 0.0; 0.0; 0.0; -86.4; -86.4; 26.8; -86.0; 56.4; -235.6; -179.2; -5.8; -5.8; -130.6; 14.0; -301.6; 49.4; 43.0; -71.4
