Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 121.5; 53.9; 75.8; 129.7; 19.9; 0.0; -12.8; -146.3; -199.4; 51.8; -23.9; 0.0; 0.0; 139.4; -2.8; 136.6; 0.8; 113.5; 0.0; 0.0; 0.0; 27.2; 27.2; -68.0; 0.0; -40.8; 109.0; 61.5; -68.0
2022-06-30; 113.4; 55.2; 13.2; 68.4; -199.7; 0.0; 43.9; -322.0; -448.7; -266.9; -24.5; 0.0; 88.5; 90.7; -1.8; 88.9; 0.9; 153.8; 0.0; 0.0; 0.0; -99.5; -99.5; -67.3; 0.0; -166.8; -292.2; 47.2; -67.3
2022-03-31; 55.7; 56.3; 62.1; 118.4; 145.5; 0.0; 44.6; -100.5; 19.0; 193.1; -25.0; 0.0; -3.3; 98.8; -7.1; 91.7; 0.5; 63.9; 0.0; 0.0; 0.0; -97.7; -97.7; -67.5; 0.0; -165.2; 90.1; 45.2; -67.5
2021-12-31; 132.9; 58.1; 134.2; 192.3; -220.9; 0.0; 7.6; -105.7; -209.2; 116.0; -30.5; 0.0; -7.6; 44.9; 18.2; 63.1; -9.4; 15.6; 0.0; 0.0; 0.0; -149.1; -149.1; -64.2; 0.0; -213.3; -90.1; 59.7; -64.2
2021-09-30; 88.9; 58.4; 66.4; 124.8; -6.0; 0.0; 11.1; -65.7; -77.0; 136.7; -28.4; 0.0; 0.0; 7.0; -1.6; 5.4; 0.6; -22.4; 0.0; 0.0; 0.0; -23.8; -23.8; -65.0; 0.0; -88.8; 23.4; 54.9; -65.0
2021-06-30; 62.0; 60.5; 72.2; 132.7; -9.7; 0.0; 10.9; -16.3; 62.5; 257.2; -21.4; 0.0; 0.0; -58.6; -2.5; -61.1; 0.7; -81.8; 0.0; 0.0; 0.0; -110.5; -110.5; -64.7; -3.4; -178.6; -2.8; 50.5; -64.7
2021-03-31; -31.1; 60.4; 125.9; 186.3; 204.8; 0.0; -29.4; 6.4; 24.6; 179.8; -19.7; 0.0; -175.0; 297.0; 1.4; 298.4; -1.3; 102.4; -423.8; 0.0; -423.8; -103.7; -103.7; -65.2; -58.3; -651.0; -370.8; 57.5; -65.2
2020-12-31; 30.8; 54.4; 59.5; 113.9; -202.2; 0.0; 5.8; 76.1; -18.9; 125.8; -32.5; 0.0; -438.1; 145.0; -2.9; 142.1; -46.4; -374.9; 416.2; 0.0; 416.2; -75.2; -75.2; -66.1; -52.9; 222.0; -18.8; 51.5; -66.1
2020-09-30; 145.4; 52.0; 62.0; 114.0; 1.4; 0.0; 29.6; -83.5; -143.0; 116.4; -24.1; 0.0; 0.2; -120.0; -4.9; -124.9; 45.3; -103.5; 0.0; 0.0; 0.0; -73.5; -73.5; -66.2; 0.0; -139.7; -119.4; 52.7; -66.2
2020-06-30; 61.2; 52.0; 48.0; 100.0; -77.9; 0.0; 2.2; -44.6; -63.6; 97.6; -22.0; 0.0; 0.0; 42.5; 0.1; 42.6; 0.0; 20.6; 0.0; 0.0; 0.0; -1.6; -1.6; -66.3; 4.8; -63.1; 61.4; 44.0; -66.3
2020-03-31; 20.4; 54.0; 62.8; 116.8; 202.6; 0.0; 18.4; -4.3; 135.0; 272.2; -21.8; 0.0; -0.2; 190.9; 0.0; 190.9; 0.0; 168.9; 0.0; 0.0; 0.0; -176.1; -176.1; -65.5; 0.0; -241.6; 183.3; 42.0; -65.5
2019-12-31; 168.4; 54.8; 67.9; 122.7; -243.3; 0.0; -12.7; 37.8; -195.4; 95.7; -26.1; 0.0; 0.0; 297.0; -87.7; 209.3; -7.3; 175.9; 0.0; 0.0; 0.0; -199.8; -199.8; -63.7; 0.0; -263.5; 10.5; 55.1; -63.7
