Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 435.0; 225.0; 314.0; 539.0; 14.0; -259.0; 97.0; -97.0; -245.0; 729.0; -197.0; 0.0; 0.0; 0.0; 0.0; 0.0; 80.0; -117.0; -497.0; 0.0; -497.0; 0.0; 0.0; -490.0; -102.0; -1089.0; -521.0; 28.0; -490.0
2022-06-30; 265.0; 233.0; 515.0; 748.0; -99.0; -386.0; 196.0; -422.0; -711.0; 302.0; -221.0; 0.0; -240.0; 0.0; 0.0; 0.0; 9.0; -452.0; -651.0; 0.0; -651.0; 0.0; 0.0; -490.0; -96.0; -1237.0; -1461.0; 45.0; -490.0
2022-03-31; 781.0; 216.0; -39.0; 177.0; -123.0; -382.0; 6.0; 27.0; -472.0; 486.0; -214.0; 0.0; -261.0; 0.0; 0.0; 0.0; 6.0; -469.0; -9.0; 0.0; -9.0; 0.0; 0.0; -490.0; 14.0; -485.0; -466.0; 34.0; -490.0
2021-12-31; -255.0; 231.0; 2260.0; 2491.0; -5.0; 120.0; 214.0; 351.0; 680.0; 2916.0; -250.0; 0.0; 1539.0; 0.0; -28.0; -28.0; 33.0; 1294.0; -2057.0; 0.0; -2057.0; 0.0; 0.0; -490.0; -464.0; -3011.0; 1172.0; 42.0; -490.0
2021-09-30; 736.0; 226.0; 105.0; 331.0; 30.0; -37.0; -26.0; -615.0; -648.0; 419.0; -224.0; 0.0; -34.0; 0.0; 0.0; 0.0; -25.0; -283.0; -1055.0; 0.0; -1055.0; 0.0; 0.0; -490.0; -233.0; -1778.0; -1668.0; 51.0; -490.0
2021-06-30; -25.0; 226.0; 214.0; 440.0; 96.0; -126.0; 231.0; 603.0; 804.0; 1219.0; -204.0; 0.0; 3435.0; 0.0; 0.0; 0.0; 12.0; 3243.0; -2076.0; 0.0; -2076.0; 0.0; 0.0; -490.0; -346.0; -2912.0; 1581.0; 53.0; -490.0
2021-03-31; 568.0; 220.0; 452.0; 672.0; -34.0; -101.0; -11.0; -284.0; -430.0; 810.0; -227.0; 0.0; 0.0; 0.0; 0.0; 0.0; 11.0; -216.0; -1014.0; 0.0; -1014.0; 0.0; 0.0; -489.0; -140.0; -1643.0; -1057.0; 51.0; -489.0
2020-12-31; 1034.0; 217.0; -47.0; 170.0; -20.0; 192.0; 145.0; 82.0; 399.0; 1603.0; -199.0; 0.0; 0.0; 0.0; 25.0; 25.0; 14.0; -160.0; -302.0; 0.0; -302.0; 0.0; 0.0; -491.0; -29.0; -822.0; 697.0; 42.0; -491.0
2020-09-30; 598.0; 201.0; 432.0; 633.0; 48.0; -239.0; 122.0; -52.0; -121.0; 1110.0; -139.0; 0.0; 0.0; 0.0; 0.0; 0.0; 14.0; -125.0; -571.0; 0.0; -571.0; 0.0; 0.0; -490.0; -11.0; -1072.0; -92.0; 41.0; -490.0
2020-06-30; -1652.0; 217.0; 2502.0; 2719.0; 369.0; 29.0; -58.0; 597.0; 937.0; 2004.0; -127.0; 0.0; 0.0; 0.0; 0.0; 0.0; 12.0; -115.0; -3917.0; 0.0; -3917.0; 0.0; 0.0; -489.0; -136.0; -4542.0; -2591.0; 40.0; -489.0
2020-03-31; 381.0; 212.0; 376.0; 588.0; -423.0; -231.0; -2.0; -101.0; -757.0; 212.0; -131.0; 0.0; 0.0; 0.0; 0.0; 0.0; 9.0; -122.0; 3593.0; 0.0; 3593.0; 0.0; 0.0; -488.0; 0.0; 3105.0; 3124.0; 33.0; -488.0
2019-12-31; 183.0; 180.0; 594.0; 774.0; 2.0; 330.0; -171.0; 444.0; 605.0; 1562.0; -2062.0; 0.0; 1875.0; 0.0; 590.0; 590.0; -3.0; 400.0; -1523.0; 0.0; -1523.0; 0.0; 0.0; -489.0; -20.0; -2032.0; -36.0; 20.0; -489.0
2019-09-30; 898.0; 167.0; -237.0; -70.0; 63.0; -153.0; 50.0; -123.0; -163.0; 665.0; 1102.0; 0.0; 1.0; 0.0; 0.0; 0.0; 26.0; 1129.0; -319.0; 0.0; -319.0; 0.0; 0.0; -488.0; -97.0; -904.0; 858.0; 11.0; -488.0
2019-06-30; 448.0; 179.0; 566.0; 745.0; -41.0; 4.0; -1.0; -134.0; -172.0; 1021.0; 441.0; 0.0; -640.0; 0.0; 0.0; 0.0; 4.0; -195.0; 15.0; 0.0; 15.0; 0.0; 0.0; -488.0; 0.0; -473.0; 356.0; 6.0; -488.0
2019-03-31; 404.0; 162.0; 243.0; 405.0; 116.0; -488.0; 64.0; -197.0; -505.0; 304.0; -249.0; 0.0; 440.0; 0.0; 0.0; 0.0; -14.0; 177.0; -1.0; 0.0; -1.0; 0.0; 0.0; -488.0; -15.0; -504.0; -34.0; 9.0; -488.0
2018-12-31; -12628.0; 193.0; 13482.0; 13675.0; -126.0; 394.0; -153.0; 534.0; 649.0; 1696.0; -214.0; 0.0; -18.0; 0.0; 24.0; 24.0; 11.0; -197.0; -7.0; -964.0; -971.0; 0.0; 0.0; -762.0; 7.0; -1726.0; -231.0; -11.0; -762.0
2018-09-30; 618.0; 172.0; 391.0; 563.0; -153.0; -217.0; 3.0; -152.0; -519.0; 662.0; -156.0; 0.0; -33.0; 0.0; 0.0; 0.0; 95.0; -94.0; -2694.0; 960.0; -1734.0; 0.0; 0.0; -762.0; -32.0; -2528.0; -2008.0; 17.0; -762.0
2018-06-30; 753.0; 158.0; 410.0; 568.0; -1289.0; -116.0; 212.0; -320.0; -1513.0; -192.0; -215.0; 0.0; 18.0; 0.0; 0.0; 0.0; 772.0; 575.0; 2984.0; -943.0; 2041.0; 0.0; 0.0; -762.0; -17.0; 1262.0; 1575.0; 20.0; -762.0
2018-03-31; 1003.0; 121.0; -36.0; 85.0; -712.0; -312.0; -85.0; 429.0; -680.0; 408.0; -223.0; 0.0; -215.0; 0.0; 0.0; 0.0; 442.0; 4.0; -6.0; 518.0; 512.0; 0.0; 0.0; -897.0; 14.0; -371.0; 31.0; 7.0; -897.0
2017-12-31; 7938.0; 160.0; -8048.0; -7888.0; -568.0; 344.0; 318.0; 341.0; 435.0; 485.0; -238.0; 0.0; 0.0; 0.0; 6.0; 6.0; 685.0; 453.0; -5.0; 8.0; 3.0; 0.0; 0.0; -727.0; -8.0; -732.0; 220.0; 10.0; -727.0
2017-09-30; 943.0; 197.0; 25.0; 222.0; -463.0; -149.0; 39.0; -398.0; -971.0; 194.0; -266.0; 0.0; 0.0; 0.0; 0.0; 0.0; 567.0; 301.0; 892.0; -650.0; 242.0; 0.0; 0.0; -727.0; 7.0; -478.0; 31.0; 12.0; -727.0
2017-06-30; 1160.0; 166.0; 132.0; 298.0; -558.0; 61.0; 22.0; -546.0; -1021.0; 437.0; -322.0; 0.0; 0.0; 0.0; 0.0; 0.0; 611.0; 289.0; -2032.0; 180.0; -1852.0; 0.0; 0.0; -698.0; 44.0; -2506.0; -1764.0; 13.0; -698.0
2017-03-31; 891.0; 180.0; 121.0; 301.0; -1040.0; -492.0; 62.0; -337.0; -1807.0; -615.0; -368.0; 0.0; 0.0; 0.0; 0.0; 0.0; 502.0; 134.0; 0.0; 256.0; 256.0; 0.0; 0.0; -736.0; -25.0; -505.0; -973.0; 11.0; -736.0
2016-12-31; 908.0; 197.0; -9.0; 188.0; -612.0; 351.0; 399.0; 398.0; 536.0; 1632.0; -411.0; 0.0; 0.0; 0.0; 0.0; 0.0; 779.0; 368.0; -11.0; 1.0; -10.0; 0.0; 0.0; -1461.0; -125.0; -1596.0; 284.0; 8.0; -1461.0
2016-09-30; 843.0; 204.0; -199.0; 5.0; -1217.0; -225.0; 390.0; -884.0; -1936.0; -1088.0; -322.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1858.0; 1536.0; -63.0; 4.0; -59.0; 0.0; 0.0; -789.0; 13.0; -835.0; -405.0; 12.0; -789.0
2016-06-30; 955.0; 276.0; -5.0; 271.0; -188.0; 17.0; 31.0; 748.0; 608.0; 1834.0; -211.0; 0.0; 0.0; 0.0; 0.0; 0.0; 52.0; -159.0; 6970.0; 632.0; 7602.0; 0.0; -8320.0; -847.0; 3.0; -1562.0; 70.0; 13.0; -667.0
2016-03-31; 900.0; 313.0; -240.0; 73.0; -38.0; -273.0; 59.0; -451.0; -703.0; 270.0; -303.0; 0.0; 0.0; 0.0; 0.0; 0.0; 10.0; -293.0; 0.0; 0.0; 0.0; 0.0; 0.0; -667.0; 40.0; -627.0; -606.0; 13.0; -667.0
2015-12-31; 648.0; 604.0; 52.0; 656.0; -1111.0; 2.0; -22.0; 353.0; -778.0; 526.0; -282.0; 0.0; 0.0; 0.0; 7.0; 7.0; 1367.0; 1092.0; 5.0; 0.0; 5.0; 0.0; 0.0; -1025.0; -124.0; -1144.0; 463.0; 35.0; -665.0
2015-09-30; -120.0; 195.0; -55.0; 140.0; 231.0; 103.0; -110.0; 91.0; 315.0; 335.0; -203.0; 0.0; -9468.0; 0.0; 175.0; 175.0; -55.0; -9551.0; 2478.0; 0.0; 2478.0; 10000.0; 10000.0; -817.0; -91.0; 11570.0; 2290.0; 93.0; -637.0
2015-06-30; -160.0; 87.0; 316.0; 403.0; -6.0; 16.0; 76.0; 165.0; 251.0; 494.0; -110.0; 0.0; 0.0; 0.0; 306.0; 306.0; 3.0; 199.0; -1.0; 0.0; -1.0; 0.0; 0.0; -180.0; 16.0; -165.0; 248.0; 3.0; 0.0
2015-03-31; 279.0; 89.0; -30.0; 59.0; -29.0; -96.0; -63.0; -233.0; -421.0; -83.0; -53.0; 0.0; 0.0; 0.0; 0.0; 0.0; 4.0; -49.0; 38.0; 0.0; 38.0; 0.0; 0.0; -180.0; -72.0; -214.0; -399.0; 2.0; 0.0
2014-12-31; 165.0; 100.0; 132.0; 232.0; 41.0; 180.0; 377.0; -186.0; 412.0; 809.0; -194.0; 0.0; 0.0; 0.0; 0.0; 0.0; 54.0; -140.0; -1030.0; 11.0; -1019.0; 0.0; 0.0; -180.0; -11.0; -1210.0; -556.0; 2.0; 540.0
2014-09-30; 174.0; 67.0; 130.0; 197.0; 75.0; -56.0; 143.0; 182.0; 113.0; 484.0; -92.0; 0.0; 0.0; 0.0; 0.0; 0.0; -2.0; -94.0; -23.0; 0.0; -23.0; 0.0; 0.0; -180.0; 2.0; -201.0; 49.0; 6.0; -540.0
2014-06-30; -180.0; 261.0; -86.0; 175.0; 177.0; 272.0; 5.0; -84.0; 601.0; 596.0; -37.0; 0.0; 0.0; 0.0; 0.0; 0.0; -2.0; -39.0; -50.0; -11.0; -61.0; 113.0; 113.0; -47.0; -38.0; -33.0; 550.0; -29.0; 313.0
2014-03-31; 513.0; 96.0; -29.0; 67.0; -149.0; -243.0; 37.0; 26.0; -329.0; 251.0; -76.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -76.0; 0.0; 0.0; 0.0; -113.0; -113.0; -313.0; 50.0; -376.0; -204.0; 29.0; -313.0
2013-12-31; -757.0; 44.0; 123.0; 167.0; -102.0; -87.0; 218.0; 832.0; 861.0; 271.0; -133.0; 0.0; 0.0; 0.0; 0.0; 0.0; 26.0; -107.0; -19.0; 1090.0; 1071.0; 0.0; 0.0; 228.0; -173.0; 1126.0; 1170.0; -16.0; 228.0
2013-09-30; 499.0; 92.0; 63.0; 155.0; 110.0; 22.0; 13.0; -291.0; -146.0; 508.0; -158.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -158.0; 0.0; 0.0; 0.0; 0.0; 0.0; -300.0; 12.0; -288.0; 67.0; 18.0; -300.0
2013-06-30; 829.0; 102.0; -300.0; -198.0; 54.0; 42.0; -10.0; -338.0; -252.0; 379.0; -124.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -124.0; 0.0; 0.0; 0.0; 0.0; 0.0; -298.0; 34.0; -264.0; -17.0; 17.0; -298.0
