Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 2822.0; 307.0; -274.0; 33.0; 0.0; 0.0; 0.0; 667.0; 667.0; 3522.0; -276.0; 0.0; -23.0; -352.0; 0.0; -352.0; -393.0; -1044.0; -850.0; 0.0; -850.0; -147.0; -147.0; -100.0; -31.0; -1128.0; 1151.0; 84.0; -100.0
2022-06-30; 1900.0; 322.0; 1159.0; 1481.0; 0.0; 0.0; 0.0; 542.0; 542.0; 3923.0; -253.0; 0.0; -1.0; -256.0; 0.0; -256.0; -781.0; -1291.0; 1433.0; 0.0; 1433.0; -461.0; -461.0; -1904.0; -43.0; -975.0; 1295.0; 102.0; -1904.0
2022-03-31; 2793.0; 324.0; -26.0; 298.0; 0.0; 0.0; 0.0; -2468.0; -2468.0; 623.0; -201.0; 0.0; 213.0; 488.0; 0.0; 488.0; -354.0; 146.0; 7.0; 0.0; 7.0; -97.0; -97.0; -1906.0; -979.0; -2975.0; -2344.0; 87.0; -1906.0
2021-12-31; 2450.0; 341.0; -554.0; -213.0; 0.0; 0.0; 0.0; 1157.0; 1157.0; 3394.0; -596.0; 0.0; -4525.0; -6592.0; 7059.0; 467.0; -30.0; -4684.0; 1417.0; 0.0; 1417.0; 202.0; 202.0; -1815.0; 1.0; -195.0; -1617.0; 101.0; -1815.0
2021-09-30; 2475.0; 362.0; 263.0; 625.0; 0.0; 0.0; 0.0; 606.0; 606.0; 3706.0; -241.0; 0.0; 185.0; 182.0; 0.0; 182.0; 40.0; 166.0; 16.0; 0.0; 16.0; 151.0; 151.0; -1814.0; 18.0; -1629.0; 2113.0; 88.0; -1814.0
2021-06-30; 2624.0; 383.0; -57.0; 326.0; 0.0; 0.0; 0.0; 939.0; 939.0; 3889.0; -217.0; 0.0; 1756.0; 471.0; 0.0; 471.0; 24.0; 2034.0; -3749.0; 0.0; -3749.0; 159.0; 159.0; -1813.0; 77.0; -5326.0; 704.0; 90.0; -1813.0
2021-03-31; 2255.0; 366.0; 392.0; 758.0; 0.0; 0.0; 0.0; -1377.0; -1377.0; 1636.0; -205.0; 0.0; -2.0; -91.0; 0.0; -91.0; 17.0; -281.0; 2544.0; 0.0; 2544.0; 79.0; 79.0; -1810.0; -449.0; 364.0; 1374.0; 58.0; -1810.0
2020-12-31; 1474.0; 430.0; 128.0; 558.0; 0.0; 0.0; 0.0; 1592.0; 1592.0; 3624.0; -385.0; 0.0; 80.0; -8014.0; 13835.0; 5821.0; 79.0; 5595.0; -10783.0; 0.0; -10783.0; 108.0; 108.0; -3525.0; 157.0; -14043.0; -4590.0; 38.0; -3525.0
2020-09-30; 1740.0; 358.0; 512.0; 870.0; 0.0; 0.0; 0.0; 824.0; 824.0; 3434.0; -179.0; 0.0; -5.0; 76.0; 0.0; 76.0; 3.0; -105.0; -550.0; 0.0; -550.0; 70.0; 70.0; -1761.0; 169.0; -2072.0; 1348.0; 52.0; -1761.0
2020-06-30; 1759.0; 381.0; 47.0; 428.0; 0.0; 0.0; 0.0; 43.0; 43.0; 2230.0; -188.0; 0.0; 10.0; -4190.0; -1603.0; -5793.0; 88.0; -5883.0; 1741.0; 0.0; 1741.0; 32.0; 32.0; -1761.0; 223.0; 235.0; -3524.0; 41.0; -1761.0
