Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-11-30; -3304.57; -56.61; -859.67; -916.28; 164.38; 3894.17; 0.0; -208.21; 3669.39; -551.45; 9.29; 0.0; 0.0; 0.0; 122.18; 122.18; 0.0; 131.47; 848.65; 0.0; 848.65; 918.68; 918.68; 329.72; -272.72; 1824.34; 1404.35; -154.71; 329.72
2022-08-31; 1472.69; 18.05; 276.11; 294.16; -290.63; -779.81; 0.0; -101.82; -1268.01; 498.84; -16.67; 0.0; 0.0; 0.0; -50.03; -50.03; 0.0; -66.7; -826.05; 404.06; -422.0; -13.14; -13.14; -108.75; 109.66; -434.22; -2.08; 38.2; -108.75
2022-05-31; 1322.56; 18.96; 107.5; 126.46; -254.25; -1200.72; 0.0; -49.44; -1324.18; 124.84; 13.16; 0.0; 0.0; 0.0; -57.94; -57.94; 0.0; -44.78; -3.82; 124.61; 120.78; -324.24; -324.24; -110.85; 182.08; -132.23; -52.16; 35.05; -110.85
2022-02-28; 509.31; 19.6; 476.06; 495.66; 380.5; -1913.63; 0.0; 359.47; -1077.21; -72.23; -5.78; 0.0; 0.0; 0.0; -14.21; -14.21; 0.0; -19.99; -18.78; -528.67; -547.44; -581.3; -581.3; -110.12; -19.02; -1257.89; -1350.11; 81.46; -110.12
2021-11-30; 1193.65; 19.59; 105.81; 125.41; -421.06; 292.21; 0.0; -337.08; -98.63; 1220.43; -20.56; 0.0; 0.0; 0.0; -315.56; -315.56; 362.2; 26.08; -532.19; 262.11; -270.08; -977.7; -977.7; -75.79; 220.76; -1102.82; 143.69; 29.23; -75.79
2021-08-31; 1409.22; 19.56; -292.57; -273.01; 13.37; -676.4; 0.0; -208.24; -541.98; 594.23; -10.71; 0.0; 0.0; 0.0; -70.38; -70.38; 0.0; -81.1; -707.91; 535.73; -172.18; -278.86; -278.86; -77.66; 44.62; -484.09; 29.05; 24.75; -77.66
2021-05-31; 836.77; 20.06; 113.28; 133.34; 72.26; -714.3; 0.0; 3.4; -637.5; 332.61; -15.79; 0.0; 3.33; 0.0; 55.75; 55.75; 0.0; 43.28; -54.54; -34.88; -89.43; -104.16; -104.16; -78.48; 83.93; -188.15; 187.75; 31.82; -78.48
2021-02-28; 1016.91; 19.96; -278.57; -258.61; 45.65; -862.12; 0.0; 260.1; -372.79; 385.51; 23.44; 0.0; 0.0; 0.0; -116.79; -116.79; 0.0; -93.35; -46.45; -500.85; -547.3; -69.48; -69.48; -77.84; 64.93; -629.69; -337.53; 48.82; -77.84
2020-11-30; 890.91; 19.64; 19.39; 39.03; -238.78; 667.93; 0.0; -165.97; 364.04; 1293.97; -29.06; 0.0; 0.0; 0.0; -204.4; -204.4; 220.72; -12.74; -429.74; -281.83; -711.58; -2.54; -2.54; -77.93; 211.46; -580.59; 700.65; 23.33; -77.93
2020-08-31; 669.32; 19.51; 96.89; 116.41; 272.4; 272.57; 0.0; 101.84; 800.31; 1586.04; -13.76; 0.0; 5.88; 0.0; -85.52; -85.52; -0.03; -93.42; -857.1; 0.0; -857.1; -22.9; -22.9; -38.97; 1.55; -917.42; 575.2; 28.66; -38.97
