Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 353.2; 157.1; 68.2; 225.3; 26.7; -11.8; 3.2; -46.4; -196.1; 373.8; -103.4; 0.0; -458.7; 0.3; -1.4; -1.1; -0.1; -563.3; 0.0; 0.0; 0.0; -368.5; -368.5; -64.9; -18.8; -452.2; -658.9; 36.3; -64.9
2022-06-30; 358.9; 160.3; 70.5; 230.8; -38.4; 1.7; 137.4; 11.9; -24.5; 572.5; -143.2; 0.0; -99.8; 0.4; -2.9; -2.5; 3.0; -242.5; 0.0; 0.0; 0.0; -399.1; -399.1; -66.7; -13.9; -479.7; -164.7; 39.4; -66.7
2022-03-31; 492.1; 161.5; 69.3; 230.8; -64.1; -37.4; -5.5; -44.0; -363.3; 356.0; -116.2; 0.0; -455.1; 0.0; -1.8; -1.8; 0.0; -573.1; 0.0; 0.0; 0.0; 18.2; 18.2; 0.0; -35.9; -17.7; -239.2; 38.2; 0.0
2021-12-31; 553.6; 188.0; 117.8; 305.8; 93.1; 9.3; -44.8; -34.6; -178.9; 697.5; -66.2; 0.0; -183.3; -38.2; 20.0; -18.2; 13.2; -254.5; 0.0; 0.0; 0.0; -999.1; -999.1; 0.0; -9.5; -1008.6; -563.8; 42.1; 0.0
2021-09-30; 587.8; 186.1; 91.5; 277.6; -215.0; 11.0; 78.9; 4.7; -54.8; 767.3; -117.0; 0.0; -292.6; 10.4; -8.1; 2.3; 0.0; -407.3; 0.0; 0.0; 0.0; -275.8; -275.8; 0.0; -5.9; -281.7; 73.3; 59.0; 0.0
2021-06-30; 468.0; 187.1; 14.2; 201.3; 60.5; -12.8; -27.4; 26.8; -187.6; 487.2; -97.1; 0.0; 13.1; 0.0; -6.4; -6.4; 0.0; -90.4; 0.0; 0.0; 0.0; -298.1; -298.1; 0.0; -27.3; -325.4; 72.4; 23.9; 0.0
2021-03-31; 770.1; 183.9; 49.2; 233.1; 104.2; -4.7; -16.9; -20.1; 157.6; 1157.6; -92.8; 0.0; -34.1; 0.0; -5.5; -5.5; 0.0; -132.4; -375.0; 0.0; -375.0; -43.8; -43.8; 0.0; -31.3; -450.1; 570.0; 28.7; 0.0
2020-12-31; 938.6; -277.0; 540.0; 263.0; -291.2; -49.1; -22.6; -27.2; -455.2; 774.6; -58.4; 0.0; -58.8; -41.1; 29.3; -11.8; 1.0; -128.0; 0.0; 0.0; 0.0; 5.3; 5.3; 0.0; -6.3; -1.0; 653.6; 26.8; 0.0
2020-09-30; 703.7; 613.2; -382.5; 230.7; -481.6; -49.1; 106.2; 8.2; -148.0; 786.2; -83.3; 0.0; -197.5; 0.0; -7.5; -7.5; 3.1; -285.2; -412.2; 0.0; -412.2; 21.8; 21.8; 0.0; -6.3; -396.7; 110.2; 27.2; 0.0
2020-06-30; 231.6; 143.9; 52.0; 195.9; -228.7; -87.8; -32.4; 76.2; -68.9; 370.7; -98.3; 0.0; -11.3; 0.1; -13.9; -13.8; 0.0; -123.4; 0.0; 0.0; 0.0; 1.9; 1.9; 0.0; -18.8; -16.9; 233.4; 39.8; 0.0
