Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; -2574.0; 616.0; 77.0; 693.0; 73.0; 46.0; -31.0; 3043.0; 2567.0; 686.0; 0.0; 0.0; 0.0; 0.0; -3032.0; -3032.0; -86.0; -3118.0; -1.0; 0.0; -1.0; -51.0; -51.0; -77.0; 2466.0; 2337.0; -95.0; 0.0; -77.0
2022-06-30; 237.0; -19.0; -312.0; -331.0; 15.0; 304.0; -109.0; 1807.0; 2049.0; 1955.0; 0.0; 0.0; 0.0; 0.0; -4464.0; -4464.0; -144.0; -4608.0; 53.0; 0.0; 53.0; -104.0; -104.0; -78.0; 2389.0; 2260.0; -393.0; 0.0; -78.0
2022-03-31; 104.0; -19.0; -70.0; -89.0; -91.0; -187.0; -262.0; 1236.0; 738.0; 753.0; 0.0; 0.0; 0.0; 0.0; -2239.0; -2239.0; 98.0; -2141.0; -3.0; 0.0; -3.0; -410.0; -410.0; -79.0; 1228.0; 736.0; -652.0; 0.0; -79.0
2021-12-31; 220.0; -19.0; 130.0; 111.0; 5.0; -327.0; 143.0; -125.0; -288.0; 43.0; 0.0; 0.0; 0.0; 0.0; -797.0; -797.0; -334.0; -1131.0; 109.0; 0.0; 109.0; -644.0; -644.0; -78.0; 1699.0; 1086.0; -2.0; 0.0; -78.0
2021-09-30; 318.0; -10.0; 135.0; 125.0; -1.0; 9.0; 204.0; -365.0; -104.0; 339.0; 0.0; 0.0; 0.0; 0.0; -646.0; -646.0; -272.0; -918.0; -8.0; 0.0; -8.0; -198.0; -198.0; -80.0; 1090.0; 804.0; 225.0; 0.0; -80.0
2021-06-30; 642.0; -8.0; 26.0; 18.0; 70.0; 112.0; 82.0; -643.0; -249.0; 411.0; 0.0; 0.0; 0.0; 0.0; -562.0; -562.0; -244.0; -806.0; 50.0; 0.0; 50.0; -145.0; -145.0; -81.0; 1610.0; 1434.0; 1039.0; 0.0; -81.0
2021-03-31; 225.0; -9.0; 19.0; 10.0; -167.0; 98.0; -40.0; -805.0; -877.0; -642.0; 0.0; 0.0; 0.0; 0.0; -118.0; -118.0; -594.0; -712.0; 0.0; 0.0; 0.0; -98.0; -98.0; -80.0; 1174.0; 996.0; -358.0; 0.0; -80.0
2020-12-31; 143.0; -9.0; 615.0; 606.0; 12.0; 229.0; 183.0; -882.0; -556.0; 193.0; 0.0; 0.0; 0.0; 0.0; -2828.0; -2828.0; -208.0; -3036.0; 40.0; 0.0; 40.0; -46.0; -46.0; -78.0; 2040.0; 1956.0; -887.0; 0.0; -78.0
2020-09-30; 398.0; -10.0; -659.0; -669.0; -8.0; 70.0; 95.0; -601.0; -359.0; -630.0; 0.0; 0.0; 0.0; 0.0; -3176.0; -3176.0; 95.0; -3081.0; 0.0; 0.0; 0.0; -1.0; -1.0; -77.0; 2183.0; 2105.0; -1606.0; 0.0; -77.0
2020-06-30; -94.0; -11.0; 862.0; 851.0; 72.0; -268.0; 21.0; 1.0; -241.0; 516.0; 0.0; 0.0; 0.0; 0.0; -4237.0; -4237.0; 131.0; -4106.0; 50.0; 0.0; 50.0; -1.0; -1.0; -77.0; 1617.0; 1589.0; -2001.0; 0.0; -77.0
