Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-12-31; 1468.51; 85.41; 66.4; 151.82; 0.0; 0.0; 0.0; -492.87; -492.87; 1140.19; -163.38; 0.0; -119.95; 17.74; 0.0; 17.74; -1.66; -267.25; -17.08; 0.0; -17.08; -410.4; -410.4; -235.98; 1.25; -662.21; 228.61; 73.08; -235.98
2022-09-30; 1425.88; 75.75; -62.51; 13.24; 0.0; 0.0; 0.0; -246.78; -246.78; 1189.59; -140.06; 0.0; 0.0; 14.7; 0.0; 14.7; -2.44; -127.8; -1.85; 0.0; -1.85; -102.98; -102.98; -205.62; -0.49; -310.94; 733.92; 71.11; -205.62
2022-06-30; 1208.93; 87.93; -104.4; -16.47; -1287.68; -1351.34; 167.88; 1565.57; -782.11; 443.93; -125.75; 0.0; 0.0; 23.49; 0.0; 23.49; 26.32; -75.94; -2.03; 0.0; -2.03; -813.29; -813.29; -208.06; -0.15; -1023.53; -672.22; 69.59; -208.06
2022-03-31; 1021.78; 84.23; 11.66; 95.89; 0.0; 0.0; 0.0; -356.84; -356.84; 757.71; -145.37; 0.0; 0.0; 79.18; 0.0; 79.18; -28.38; -94.56; -1.82; 0.0; -1.82; -1337.51; -1337.51; -210.59; 0.21; -1549.71; -891.65; 68.54; -210.59
2021-12-31; 1194.83; 81.7; 49.28; 130.99; 0.0; 0.0; 0.0; 181.2; 181.2; 1440.51; -138.49; 0.0; 0.0; 325.17; 0.0; 325.17; -0.59; 186.08; -1.7; 0.0; -1.7; -364.98; -364.98; -211.22; -0.2; -578.1; 1043.81; 62.83; -211.22
2021-09-30; 1179.74; 79.87; 45.08; 124.95; 0.0; 0.0; 0.0; -838.48; -838.48; 457.52; -136.43; 0.0; 0.0; 738.04; 0.0; 738.04; -4.92; 596.69; -6.34; 0.0; -6.34; -1236.01; -1236.01; -185.43; 0.19; -1427.59; -377.15; 58.1; -185.43
2021-06-30; 1144.66; 78.4; -89.71; -11.31; -928.93; -792.59; 184.62; 1457.93; 330.37; 1435.93; -104.62; 0.0; 0.0; 799.97; 0.0; 799.97; -6.28; 689.06; -822.05; 0.0; -822.05; -374.07; -374.07; -185.38; -0.27; -1381.77; 743.92; 56.32; -185.38
2021-03-31; 1071.12; 79.45; 54.61; 134.06; 0.0; 0.0; 0.0; -39.47; -39.47; 1165.08; -89.6; 0.0; 0.0; 233.53; 0.0; 233.53; -28.0; 115.94; -16.25; 0.0; -16.25; -1084.94; -1084.94; -186.55; -0.67; -1288.41; -13.15; 55.75; -186.55
2020-12-31; 869.23; 76.39; 49.65; 126.04; 0.0; 0.0; 0.0; -657.32; -657.32; 344.64; -92.07; 0.0; 0.0; 168.1; 0.0; 168.1; -6.09; 69.94; -4.6; 0.0; -4.6; -673.75; -673.75; -187.93; 0.96; -865.32; -442.55; 52.11; -187.93
2020-09-30; 823.45; 72.91; 54.14; 127.05; 0.0; 0.0; 0.0; -312.33; -312.33; 642.51; -62.81; 0.0; 0.0; -737.07; 0.0; -737.07; -1.79; -801.67; -19.17; 0.0; -19.17; -443.04; -443.04; -167.13; -2.14; -631.49; -786.56; 55.99; -167.13
2020-06-30; 696.67; 66.47; -39.14; 27.33; -641.83; -411.61; 208.48; 727.65; 93.92; 813.05; -50.55; 0.0; 0.0; -354.35; 0.0; -354.35; -25.3; -430.21; 721.7; 0.0; 721.7; 7.84; 7.84; -167.74; 1.59; 563.4; 953.34; 53.15; -167.74
2020-03-31; 574.78; 68.61; 47.41; 116.02; 0.0; 0.0; 0.0; -157.19; -157.19; 541.43; -51.38; 0.0; 0.0; 211.16; 0.0; 211.16; 9.99; 169.77; 632.36; 0.0; 632.36; -243.72; -243.72; -163.51; 0.33; 225.46; 925.95; 47.41; -163.51
2019-12-31; 514.51; 67.11; 123.23; 190.34; 0.0; 0.0; 0.0; -396.59; -396.59; 307.93; -62.05; 0.0; 0.0; -662.29; 0.0; -662.29; -9.99; -734.33; -17.99; 0.0; -17.99; -965.99; -965.99; -166.72; 0.0; -1150.7; -1572.04; 45.73; -166.72
