Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 125.7; 138.55; 12.07; 150.62; 0.0; 0.0; 0.0; 57.07; 57.07; 343.41; -360.76; 0.0; 0.0; 0.0; -1.77; -1.77; 5.71; -356.82; -125.35; 125.0; -0.35; 0.0; 0.0; -145.22; -9.17; -154.74; -168.15; 3.88; -144.3
2022-06-30; 216.56; 135.91; -85.53; 50.39; 0.0; 0.0; 0.0; -57.07; -57.07; 284.28; 6.61; 0.0; 0.0; 0.0; -1.54; -1.54; 20.68; 25.74; -0.35; -20.0; -20.35; 0.0; 0.0; -126.45; -14.14; -160.94; 149.08; 4.1; -125.53
2022-03-31; 113.58; 135.5; 4.96; 140.45; 0.0; 0.0; 0.0; 0.0; 0.0; 179.62; -76.13; 0.0; 0.0; 0.0; -7.41; -7.41; 0.0; -83.53; -0.34; 20.0; 19.66; 0.0; 0.0; -126.35; -47.37; -154.06; -57.97; 6.64; -125.43
2021-12-31; 190.92; 137.25; -100.32; 36.93; 0.0; 0.0; 0.0; 0.0; 0.0; 216.72; 26.18; 0.0; 0.0; 0.0; -2.68; -2.68; -7.42; 16.07; -0.34; -25.0; -25.34; 0.0; 0.0; -118.94; 0.57; -143.71; 89.08; 3.86; -118.02
2021-09-30; 87.05; 136.23; -19.8; 116.44; 0.0; 0.0; 0.0; 10.4; 10.4; 280.93; -140.15; 0.0; 0.0; 0.0; -0.77; -0.77; 3.8; -137.12; 247.09; -255.0; -7.91; 0.0; 0.0; -118.72; -18.67; -145.3; -1.48; 3.59; -117.79
2021-06-30; 223.88; 133.42; -150.46; -17.04; 0.0; 0.0; 0.0; -10.4; -10.4; 249.21; -22.82; 0.0; 0.0; 0.0; -0.84; -0.84; 3.62; -20.04; -0.33; -105.0; -105.33; 0.0; 0.0; -118.27; -5.94; -229.54; -0.37; 3.84; -117.35
2021-03-31; 48.86; 133.16; 18.86; 152.02; 0.0; 0.0; 0.0; 0.0; 0.0; 148.11; -112.61; 0.0; 0.0; 0.0; 0.11; 0.11; 0.0; -112.5; -119.15; 213.0; 93.85; 0.0; 0.0; -118.16; -3.53; -27.85; 7.76; 5.37; -117.24
2020-12-31; 86.3; 131.1; -19.99; 111.11; 0.0; 0.0; 0.0; -54.49; -54.49; 180.06; -189.82; 0.0; 0.0; 0.0; -1.76; -1.76; 0.0; -191.58; -0.89; 137.0; 136.11; 0.0; 0.0; -115.29; -1.28; 19.54; 8.03; 1.8; -114.37
2020-09-30; 62.04; 129.14; 1.65; 130.79; 0.0; 0.0; 0.0; 61.44; 61.44; 254.27; -93.72; 0.0; 0.0; 0.0; -1.6; -1.6; 0.0; -95.32; 10.85; -55.0; -44.15; 0.0; 0.0; -115.29; -7.53; -166.96; -8.01; 4.38; -114.36
2020-06-30; 77.73; 128.58; -8.84; 119.74; 0.0; 0.0; 0.0; 31.54; 31.54; 229.01; -107.11; 0.0; 0.0; 0.0; -0.74; -0.74; 0.0; -107.85; -1.74; -10.0; -11.74; 0.0; 0.0; -115.27; -7.61; -134.62; -13.45; 2.86; -114.35
2020-03-31; 37.95; 127.81; 33.33; 161.15; 0.0; 0.0; 0.0; -38.49; -38.49; 160.6; -89.09; 0.0; 0.0; 0.0; -0.9; -0.9; 0.0; -89.99; -1.74; 30.0; 28.26; 0.0; 0.0; -115.19; -5.17; -92.11; -21.49; 5.29; -114.27
2019-12-31; 155.06; 126.65; -82.86; 43.79; 0.0; 0.0; 0.0; -51.35; -51.35; 159.88; -6.84; 0.0; 0.0; 0.0; -0.75; -0.75; 0.0; -7.59; 110.3; -130.0; -19.7; 0.0; 0.0; -110.43; 5.69; -124.43; 27.86; 2.1; -109.5
2019-09-30; 81.46; 126.18; -13.21; 112.97; 0.0; 0.0; 0.0; 58.64; 58.64; 253.07; -88.24; 0.0; 0.0; 0.0; -1.62; -1.62; 0.0; -89.86; 104.61; -167.0; -62.4; 0.0; 0.0; -110.4; -5.42; -178.22; -15.0; 3.31; -109.48
2019-06-30; 64.14; 125.91; -1.44; 124.47; 0.0; 0.0; 0.0; 25.18; 25.18; 213.79; -85.43; 0.0; 0.0; 0.0; -2.52; -2.52; 0.0; -87.94; -301.82; 292.0; -9.82; 0.0; 0.0; -110.36; -7.37; -127.55; -1.7; 3.45; -109.43
2019-03-31; 65.96; 124.83; -3.64; 121.19; 0.0; 0.0; 0.0; -32.47; -32.47; 154.68; -52.88; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -52.88; 488.59; -465.0; 23.59; 0.0; 0.0; -110.25; -7.42; -94.08; 7.71; 4.79; -109.32
2018-12-31; 63.52; 121.1; 4.5; 125.6; 0.0; 0.0; 0.0; -55.88; -55.88; 133.24; -77.96; 0.0; 0.0; 0.0; -0.63; -0.63; 0.0; -78.59; -60.35; 90.0; 29.65; 0.0; 0.0; -105.94; -6.08; -82.37; -27.73; 2.57; -105.02
2018-09-30; 54.7; 123.35; 1.95; 125.31; 0.0; 0.0; 0.0; 57.04; 57.04; 237.05; -65.65; 0.0; 0.0; 0.0; -0.75; -0.75; 0.0; -66.4; -302.62; 260.0; -42.62; 0.0; 0.0; -105.91; -3.53; -152.06; 18.6; 2.89; -104.99
2018-06-30; 61.98; 121.76; 0.2; 121.96; 0.0; 0.0; 0.0; 27.36; 27.36; 211.3; -174.7; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -174.7; 395.03; -340.0; 55.03; 0.0; 0.0; -105.89; -7.05; -57.91; -21.31; 2.96; -104.97
2018-03-31; 50.82; 119.79; 3.87; 123.67; 0.0; 0.0; 0.0; -21.78; -21.78; 152.7; -45.91; 0.0; 0.0; 0.0; -0.75; -0.75; 0.0; -46.66; -41.04; 40.0; -1.04; 0.0; 0.0; -105.8; -5.96; -112.8; -6.76; 4.02; -104.88
2017-12-31; 128.01; 117.82; -66.18; 51.64; 0.0; 0.0; 0.0; -76.3; -76.3; 103.34; -50.37; 0.0; 0.0; 0.0; -0.75; -0.75; 0.0; -51.12; -68.5; 80.0; 11.5; 3.34; 3.34; -99.78; -6.53; -91.46; -39.24; 2.14; -98.85
2017-09-30; 118.96; 116.06; -56.02; 60.04; 0.0; 0.0; 0.0; 57.24; 57.24; 236.23; 5.3; 0.0; 0.0; 0.0; -0.75; -0.75; 0.0; 4.55; -166.89; 90.0; -76.89; 0.22; 0.22; -99.76; -3.77; -180.19; 60.59; 2.81; -98.84
2017-06-30; 50.16; 123.91; 2.28; 126.19; 0.0; 0.0; 0.0; 12.1; 12.1; 188.45; -98.48; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -98.48; 438.19; -410.0; 28.19; 1.1; 1.1; -99.73; -10.5; -80.95; 9.02; 2.6; -98.81
2017-03-31; 43.42; 126.94; 3.09; 130.03; 0.0; 0.0; 0.0; -40.67; -40.67; 132.77; -149.16; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -149.16; -18.87; 80.0; 61.13; -4.67; -4.67; -99.71; -3.67; -46.92; -63.3; 3.02; -98.79
2016-12-31; 42.06; 92.94; -23.95; 68.98; 0.0; 0.0; -3.16; 23.08; -15.26; 95.78; -8.82; 0.0; -424.16; 0.0; -0.04; -0.04; 0.0; -433.03; 268.73; 205.0; 473.73; 0.3; 0.3; -62.87; -6.01; 405.14; 67.9; 5.51; -61.95
2016-09-30; 88.91; 74.51; -46.13; 28.38; 0.0; 0.0; 1.62; -10.64; 33.72; 151.01; -30.75; 0.0; 0.0; 0.0; 0.03; 0.03; 0.0; -30.72; -77.49; 25.0; -52.49; -0.91; -0.91; -61.93; -3.41; -118.75; 1.54; 2.02; -61.93
2016-06-30; 47.63; 73.53; -0.8; 72.73; 0.0; 0.0; -0.76; 2.6; 13.77; 134.13; -119.84; 0.0; 0.0; 0.0; 0.38; 0.38; 0.0; -119.47; -1.77; 50.0; 48.23; 0.53; 0.53; -61.92; -3.41; -16.57; -1.91; 2.07; -61.92
2016-03-31; 45.81; 72.49; -0.2; 72.29; 0.0; 0.0; 2.3; 3.18; -14.02; 104.08; -67.33; 0.0; 0.0; 0.0; 1.42; 1.42; 0.0; -65.92; -35.49; 55.0; 19.51; -1.64; -1.64; -61.86; -3.55; -47.54; -9.38; 1.89; -61.86
2015-12-31; 45.37; 71.2; 1.25; 72.45; 0.0; 0.0; 1.21; 12.04; -15.63; 102.19; -119.94; 0.0; 0.0; 0.0; -0.0; -0.0; 59.62; -60.33; 209.09; -189.78; 19.31; -0.33; 0.29; -48.37; -20.41; -49.17; -7.32; 1.71; -48.37
2015-09-30; 96.83; 68.94; -53.44; 15.5; 0.0; 0.0; -1.55; -5.85; 22.68; 135.01; -14.07; 0.0; 0.0; 0.0; 0.0; 0.0; -32.66; -46.73; -37.01; 25.0; -12.01; 0.13; 0.13; -67.99; 6.44; -73.42; 14.85; 1.68; -67.99
2015-06-30; 143.87; 70.41; -105.34; -34.92; 0.0; 0.0; 0.78; 1.09; 14.72; 123.67; 23.57; 0.0; 0.0; 0.0; -0.03; -0.03; -20.51; 3.02; -37.73; -20.0; -57.73; 0.59; 0.59; -57.89; -3.23; -118.25; 8.45; 1.47; -57.89
2015-03-31; 64.68; 68.84; -26.46; 42.37; 0.0; 0.0; -0.43; 10.3; -4.19; 102.86; -25.75; 0.0; 0.0; 0.0; 0.01; 0.01; -6.43; -32.18; -17.47; 3.88; -13.59; -0.93; -0.93; -57.84; -3.4; -75.75; -5.07; 1.29; -57.84
2014-12-31; 36.46; 67.27; 0.52; 67.79; 0.0; 0.0; -1.68; 10.14; -16.21; 88.04; -179.1; 0.0; 0.0; 0.0; 0.0; 0.0; 30.47; -148.63; -1.92; 59.0; 57.08; 0.63; 0.63; -54.86; -3.9; -1.04; -61.64; 1.05; -54.86
2014-09-30; 70.72; 65.74; -35.13; 30.61; 0.0; 0.0; -1.89; -22.07; 7.65; 108.98; 55.76; 0.0; 0.0; 0.0; 4.42; 4.42; 11.15; 71.33; -26.8; -35.0; -61.8; 2.4; 2.4; -54.88; -3.83; -118.11; 62.2; 1.14; -54.88
2014-06-30; 33.39; 63.38; -8.44; 54.95; 0.0; 0.0; 0.12; -0.21; 3.97; 92.3; -136.34; 0.0; 0.0; 0.0; 2.68; 2.68; -21.14; -154.8; 182.87; -163.25; 19.62; 8.07; 8.07; -54.75; -6.32; -33.39; -95.88; 1.1; -54.75
2014-03-31; 15.71; 84.07; -7.05; 77.02; 0.0; 0.0; 0.11; 6.69; 3.33; 96.06; 15.07; 0.0; 0.0; 0.0; 8.87; 8.87; 4.39; 28.33; -17.64; -17.94; -35.58; 1.72; 1.72; -54.66; -3.23; -91.75; 32.63; 0.95; -54.66
2013-12-31; -9.81; 82.59; 5.82; 88.41; 0.0; 0.0; -51.05; 55.11; 11.0; 89.6; -86.75; 0.0; 63.45; 0.0; 1.37; 1.37; 32.5; 10.58; 345.35; -485.0; -139.65; 6.83; 6.83; -58.43; -0.7; -191.95; -91.77; 0.54; -58.43
2013-09-30; 46.06; 33.48; -27.58; 5.9; 0.0; 0.0; -3.15; -4.6; 7.44; 59.4; 22.23; 0.0; 0.0; 0.0; 0.11; 0.11; -45.48; -23.14; -5.9; 175.0; 169.1; 0.06; 0.06; -29.7; -3.41; 136.05; 172.31; 0.56; -29.7
2013-06-30; 61.03; 33.72; -42.64; -8.92; 0.0; 0.0; 4.44; -0.03; 15.15; 67.27; -11.15; 0.0; 0.0; 0.0; 3.07; 3.07; -11.9; -19.99; -1.43; -17.0; -18.43; 2.91; 2.91; -29.7; -1.49; -46.71; 0.57; 0.54; -29.7
2013-03-31; 22.0; 34.01; 1.15; 35.16; 0.0; 0.0; 1.09; -3.15; -15.04; 42.12; -56.19; 0.0; 0.0; 0.0; 4.95; 4.95; 0.0; -51.24; -1.37; 19.0; 17.63; 21.39; 21.39; -29.42; -1.32; 8.27; -0.85; 0.63; -29.42
2012-12-31; 23.21; 34.28; -1.61; 32.66; 0.0; 0.0; -1.08; 3.58; -2.92; 52.95; -18.51; 0.0; 0.0; 0.0; 0.27; 0.27; 0.0; -18.24; 52.82; -85.0; -32.18; 22.24; 22.24; -27.89; -1.21; -39.05; -4.35; 0.5; -27.89
