Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 630.0; 72.0; -61.0; 11.0; 0.0; 0.0; 0.0; 210.0; 233.0; 874.0; -73.0; 0.0; 0.0; 0.0; 0.0; 0.0; 27.0; -46.0; 981.0; -300.0; 681.0; -935.0; -935.0; -97.0; 24.0; -327.0; 501.0; 48.0; -97.0
2022-06-30; 678.0; 68.0; 13.0; 81.0; 0.0; 0.0; 0.0; -222.0; -109.0; 650.0; -70.0; 0.0; 0.0; 0.0; 0.0; 0.0; 2.0; -68.0; -175.0; -500.0; -675.0; -300.0; -300.0; -98.0; -9.0; -1082.0; -500.0; 52.0; -98.0
2022-03-31; 377.0; 72.0; 82.0; 154.0; 0.0; 0.0; 0.0; -194.0; -133.0; 398.0; -49.0; 0.0; 0.0; 0.0; 0.0; 0.0; 26.0; -23.0; -401.0; -250.0; -651.0; 0.0; 0.0; 0.0; -78.0; -729.0; -354.0; 44.0; 0.0
2021-12-31; 468.0; 73.0; -113.0; -40.0; 0.0; 0.0; 0.0; -7.0; 4.0; 432.0; -65.0; 0.0; 0.0; 0.0; 0.0; 0.0; -41.0; -106.0; -151.0; 300.0; 149.0; 0.0; 0.0; 0.0; 149.0; 298.0; 624.0; 44.0; 0.0
2021-09-30; 220.0; 85.0; 134.0; 219.0; 0.0; 0.0; 0.0; 195.0; 180.0; 619.0; -43.0; 0.0; 0.0; 0.0; 0.0; 0.0; 34.0; -9.0; -704.0; 350.0; -354.0; 0.0; 0.0; 0.0; -138.0; -492.0; 118.0; 42.0; 0.0
2021-06-30; 422.0; 68.0; 0.0; 68.0; 0.0; 0.0; 0.0; -164.0; -391.0; 99.0; -40.0; 0.0; 0.0; 0.0; 0.0; 0.0; -3.0; -43.0; -18.0; 0.0; -18.0; 0.0; 0.0; 0.0; -1.0; -19.0; 37.0; 43.0; 0.0
2021-03-31; -11.0; 69.0; 74.0; 143.0; 0.0; 0.0; 0.0; -55.0; -105.0; 27.0; -23.0; 0.0; 0.0; 0.0; 0.0; 0.0; -6.0; -29.0; 337.0; -500.0; -163.0; 2.0; 2.0; 0.0; -89.0; -250.0; -252.0; 53.0; 0.0
2020-12-31; -164.0; 109.0; 358.0; 467.0; 0.0; 0.0; 0.0; -98.0; -287.0; 16.0; -38.0; 0.0; 0.0; 0.0; 0.0; 0.0; -38.0; -76.0; -604.0; -30.0; -634.0; 0.0; 0.0; 0.0; -2.0; -636.0; -696.0; 58.0; 0.0
2020-09-30; 100.0; 101.0; 59.0; 160.0; 0.0; 0.0; 0.0; -1.0; -142.0; 118.0; -18.0; 0.0; 0.0; 0.0; 0.0; 0.0; -12.0; -30.0; 636.0; -1433.0; -797.0; 0.0; 0.0; 0.0; -1.0; -798.0; -710.0; 52.0; 0.0
2020-06-30; -234.0; 93.0; 264.0; 357.0; 0.0; 0.0; 0.0; 945.0; 868.0; 991.0; -20.0; 0.0; 0.0; 0.0; 0.0; 0.0; -4.0; -24.0; 1708.0; -2144.0; -436.0; 0.0; 0.0; 0.0; -13.0; -449.0; 518.0; 50.0; 0.0
2020-03-31; 31.0; 175.0; 116.0; 291.0; 0.0; 0.0; 0.0; 263.0; 192.0; 514.0; 201.0; 0.0; 0.0; 0.0; 0.0; 0.0; -36.0; 165.0; -66.0; 1317.0; 1251.0; -150.0; -150.0; -156.0; -95.0; 850.0; 1529.0; 41.0; -156.0
2019-12-31; 279.0; 196.0; -95.0; 101.0; 0.0; 0.0; 0.0; 217.0; 115.0; 495.0; -27.0; 0.0; 0.0; 0.0; 0.0; 0.0; -14.0; -41.0; 331.0; -226.0; 105.0; -432.0; -432.0; -157.0; -17.0; -501.0; -47.0; 49.0; -157.0
2019-09-30; 387.0; 68.0; -76.0; -8.0; 0.0; 0.0; 0.0; 69.0; 73.0; 452.0; -91.0; 0.0; 0.0; 0.0; 0.0; 0.0; 22.0; -69.0; 7.0; 354.0; 361.0; -599.0; -599.0; -157.0; -8.0; -403.0; -20.0; 48.0; -157.0
2019-06-30; 232.0; 71.0; 337.0; 408.0; 0.0; 0.0; 0.0; 136.0; 41.0; 587.0; -76.0; 0.0; 0.0; 0.0; 0.0; 0.0; -10.0; -86.0; -14.0; 158.0; 144.0; -430.0; -430.0; -159.0; -36.0; -481.0; 20.0; 50.0; -159.0
2019-03-31; 375.0; 68.0; 22.0; 90.0; 0.0; 0.0; 0.0; -401.0; -408.0; 151.0; -64.0; 0.0; 0.0; 0.0; 0.0; 0.0; -24.0; -88.0; 238.0; 665.0; 903.0; -792.0; -792.0; -139.0; -95.0; -123.0; -60.0; 40.0; -139.0
2018-12-31; 317.0; 76.0; 157.0; 233.0; 0.0; 0.0; 0.0; 132.0; 50.0; 533.0; -75.0; 0.0; 0.0; 0.0; 0.0; 0.0; -58.0; -133.0; 1197.0; -1174.0; 23.0; -337.0; -337.0; -139.0; 0.0; -453.0; -53.0; 44.0; -139.0
2018-09-30; 503.0; 65.0; 31.0; 96.0; 0.0; 0.0; 0.0; 65.0; 78.0; 695.0; -50.0; 0.0; 0.0; 0.0; 0.0; 0.0; 17.0; -33.0; -4.0; 338.0; 334.0; -840.0; -840.0; -142.0; -4.0; -652.0; 10.0; 47.0; -142.0
2018-06-30; 667.0; 70.0; 41.0; 111.0; 0.0; 0.0; 0.0; -68.0; -262.0; 454.0; 4.0; 0.0; 0.0; 0.0; 0.0; 0.0; 61.0; 65.0; 69.0; 80.0; 149.0; -858.0; -858.0; -144.0; -6.0; -859.0; -340.0; 51.0; -144.0
2018-03-31; 420.0; 73.0; 145.0; 218.0; 0.0; 0.0; 0.0; -98.0; -74.0; 675.0; 44.0; 0.0; 0.0; 0.0; 0.0; 0.0; 5.0; 49.0; -13.0; 627.0; 614.0; -811.0; -811.0; -118.0; -95.0; -410.0; 314.0; 42.0; -118.0
2017-12-31; 114.0; 69.0; -539.0; -470.0; 0.0; 0.0; 0.0; 94.0; 791.0; 476.0; 851.0; 0.0; 0.0; 0.0; 0.0; 0.0; 33.0; 884.0; -6.0; -420.0; -426.0; -906.0; -906.0; -120.0; -13.0; -1465.0; -105.0; 42.0; -120.0
2017-09-30; 485.0; 65.0; -46.0; 19.0; 0.0; 0.0; 0.0; -11.0; 31.0; 565.0; -51.0; 0.0; 0.0; 0.0; 0.0; 0.0; 55.0; 4.0; -4.0; 361.0; 357.0; -776.0; -776.0; -122.0; -9.0; -550.0; 19.0; 44.0; -122.0
2017-06-30; 489.0; 83.0; 39.0; 122.0; 0.0; 0.0; 0.0; 22.0; 84.0; 724.0; 115.0; 0.0; 0.0; 0.0; 0.0; 0.0; -35.0; 80.0; -297.0; 145.0; -152.0; -745.0; -745.0; -125.0; -36.0; -1058.0; -254.0; 47.0; -125.0
2017-03-31; 371.0; 62.0; 29.0; 91.0; 0.0; 0.0; 0.0; -135.0; -49.0; 462.0; 263.0; 0.0; 0.0; 0.0; 0.0; 0.0; -20.0; 243.0; -3.0; -26.0; -29.0; -580.0; -580.0; -115.0; -99.0; -823.0; -118.0; 48.0; -115.0
2016-12-31; 272.0; 62.0; 99.0; 161.0; 0.0; 0.0; 0.0; -133.0; -31.0; 413.0; 91.0; 55.0; 20.0; 0.0; 0.0; 0.0; -25.0; 141.0; -31.0; -284.0; -315.0; -308.0; -308.0; -117.0; -26.0; -766.0; -212.0; 95.0; -117.0
